Rashod Bateman,BAL,WR,6,28,15,285,19,2,53.5,8.92,3.57
Tre'Quan Smith,NO,WR,9,27,19,278,14.6,1,52.8,5.87,2.78
C.J. Uzomah,NYJ,TE,12,27,21,232,11,2,56.2,4.68,2.68
-,CAR,WR,5,27,13,206,15.8,1,37.6,7.52,2.89
Brevin Jordan,HOU,TE,9,27,14,128,9.1,0,26.8,2.98,1.91
Kenyan Drake,BAL,RB,12,26,17,89,5.2,1,104.1,8.68,0.83
JaMycal Hasty,JAC,RB,14,26,20,126,6.3,1,70,5,1.06
Dare Ogunbowale,HOU,RB,11,26,20,104,5.2,0,48.7,4.43,0.79
Miles Sanders,PHI,RB,17,26,20,78,3.9,0,216.7,12.75,0.78
Dontrell Hilliard,TEN,RB,11,26,21,177,8.4,4,77.2,7.02,1.8
Denzel Mims,NYJ,WR,9,25,11,186,16.9,0,29.6,3.29,2.69
Matt Breida,NYG,RB,17,25,20,118,5.9,0,59.8,3.52,0.81
Joshua Kelley,LAC,RB,12,25,14,101,7.2,0,64.8,5.4,0.78
Ray-Ray McCloud,SF,WR,14,25,14,243,17.4,1,58.1,4.15,3.23
Eric Saubert,DEN,TE,11,24,15,148,9.9,1,35.8,3.25,2.39
Brock Wright,DET,TE,13,24,18,216,12,4,63.6,4.89,3.53
Jeff Wilson,MIA,RB,8,24,12,94,7.8,1,84.6,10.58,0.88
Josh Oliver,BAL,TE,12,24,14,149,10.6,2,40.9,3.41,2.92
Sterling Shepard,NYG,WR,3,24,13,154,11.8,1,34.4,11.47,2.65
Ty Johnson,NYJ,RB,10,24,12,88,7.3,0,42.8,4.28,1.02
Damiere Byrd,ATL,WR,12,23,13,268,20.6,2,51.8,4.32,3.98
Trenton Irwin,CIN,WR,9,23,15,231,15.4,4,63.2,7.02,3.95
Steven Sims,PIT,WR,11,23,14,104,7.4,0,31.4,2.85,1.16
Zach Gentry,PIT,TE,14,23,19,132,6.9,0,32.2,2.3,1.69
