Alexander Mattison,MIN,RB,17,74,283,3.8,5,0,0,88.4,5.2,0.99
Jerick McKinnon,KC,RB,17,72,291,4,1,1,1,194.3,11.43,1.52
Clyde Edwards-Helaire,KC,RB,10,71,302,4.3,3,0,0,98.3,9.83,1.12
Eno Benjamin,ARI,RB,9,70,299,4.3,2,0,0,84.3,9.37,0.9
Darrell Henderson,LA,RB,10,70,283,4,3,0,0,73.5,7.35,0.84
Joshua Kelley,LAC,RB,12,69,287,4.2,2,0,0,64.8,5.4,0.78
Deon Jackson,IND,RB,12,68,236,3.5,1,1,1,84.5,7.04,0.86
Geno Smith,SEA,QB,17,68,366,5.4,1,8,4,314.9,18.52,4.63
Kyler Murray,ARI,QB,11,66,415,6.3,2,8,2,193.2,17.57,2.93
Trevor Lawrence,JAC,QB,17,62,291,4.7,5,11,8,299.6,17.62,4.83
Mark Ingram,NO,RB,10,62,233,3.8,1,2,2,48.1,4.81,0.62
Patrick Mahomes,KC,QB,17,61,358,5.9,4,4,0,423.4,24.91,6.83
Rashaad Penny,SEA,RB,5,57,346,6.1,2,1,0,52.2,10.44,0.86
Kenny Pickett,PIT,QB,13,55,237,4.3,3,4,1,154.9,11.91,2.82
Russell Wilson,DEN,QB,15,55,277,5,3,6,2,237.8,15.85,4.25
Justin Herbert,LAC,QB,17,54,147,2.7,0,8,3,289.3,17.02,5.17
Boston Scott,PHI,RB,13,54,217,4,3,0,0,46.2,3.55,0.78
Matt Breida,NYG,RB,17,54,220,4.1,1,0,0,59.8,3.52,0.81
Kenneth Gainwell,PHI,RB,17,53,240,4.5,4,0,0,87.9,5.17,1.16
Justice Hill,BAL,RB,13,49,262,5.3,0,2,1,42,3.23,0.69
Jacoby Brissett,CLE,QB,14,48,238,5,2,6,4,174.1,12.44,3.63
Mac Jones,NE,QB,14,47,102,2.2,1,5,1,179,12.79,3.81
Javonte Williams,DEN,RB,4,47,204,4.3,0,1,1,42,10.5,0.67
JaMycal Hasty,JAC,RB,14,46,194,4.2,2,0,0,70,5,1.06
Dak Prescott,DAL,QB,12,45,182,4,1,4,1,213.6,17.8,4.75
Elijah Mitchell,SF,RB,5,45,279,6.2,2,0,0,43.6,8.72,0.91
Tyler Huntley,BAL,QB,5,43,137,3.2,1,3,0,51,10.2,1.19
Jordan Mason,SF,RB,8,43,258,6,1,0,0,31.8,3.98,0.74
Dare Ogunbowale,HOU,RB,11,42,123,2.9,1,0,0,48.7,4.43,0.79
Justin Jackson,DET,RB,12,42,170,4,1,0,0,51.1,4.26,0.95
Chase Edmonds,MIA,RB,8,42,120,2.9,2,0,0,49.6,6.2,0.95
Deebo Samuel,SF,WR,13,42,232,5.5,3,2,2,168.4,12.95,1.72
Royce Freeman,HOU,RB,4,41,117,2.9,0,1,1,19,4.75,0.4
Curtis Samuel,WAS,WR,17,38,187,4.9,1,1,1,176.3,10.37,1.73
Malik Davis,DAL,RB,6,38,161,4.2,1,0,0,34.4,5.73,0.78
Jonathan Williams,WAS,RB,7,37,152,4.1,0,0,0,26.2,3.74,0.6
Sony Michel,LAC,RB,10,36,106,2.9,0,0,0,24.9,2.49,0.55
Deshaun Watson,CLE,QB,6,36,175,4.9,1,1,0,90.6,15.1,2.52
Kyren Williams,LA,RB,8,35,139,4,0,0,0,30.5,3.81,0.69
DeeJay Dallas,SEA,RB,11,35,186,5.3,0,0,0,47.2,4.29,0.91
Ryan Tannehill,TEN,QB,12,34,98,2.9,2,3,2,165.2,13.77,4.86
Tyrion Davis-Price,SF,RB,5,34,99,2.9,0,0,0,9.9,1.98,0.29
Aaron Rodgers,GB,QB,17,34,94,2.8,1,6,4,247.2,14.54,7.27
Davis Mills,HOU,QB,15,32,108,3.4,2,8,3,194.5,12.97,6.08
Gary Brightwell,NYG,RB,8,31,141,4.5,1,0,0,29,3.63,0.81
Kirk Cousins,MIN,QB,17,31,97,3.1,2,7,3,299.6,17.62,9.66
Andy Dalton,NO,QB,14,30,54,1.8,0,3,1,181.2,12.94,6.04
Ty Johnson,NYJ,RB,10,30,160,5.3,1,0,0,42.8,4.28,1.02
Jared Goff,DET,QB,17,29,73,2.5,0,7,4,287.3,16.9,9.58
James Robinson,NYJ,RB,4,29,85,2.9,0,0,0,17,4.25,0.55
Tom Brady,TB,QB,17,29,-1,0,1,5,4,276.7,16.27,9.54
Zach Wilson,NYJ,QB,9,28,102,3.6,1,1,1,105.9,11.77,3.65
Taylor Heinicke,WAS,QB,9,28,96,3.4,1,7,5,122,13.55,4.36
Malik Willis,TEN,QB,7,27,123,4.6,1,3,2,22.3,3.19,0.83
Keaontay Ingram,ARI,RB,10,27,60,2.2,1,0,0,18.1,1.81,0.58
Matt Ryan,IND,QB,12,27,70,2.6,1,14,5,168.3,14.02,6.23
Chase Edmonds,DEN,RB,5,26,125,4.8,0,0,0,24.6,4.92,0.77
Rex Burkhead,HOU,RB,15,26,80,3.1,0,0,0,71.4,4.76,1.13
Sam Darnold,CAR,QB,6,26,106,4.1,2,5,2,89.3,14.89,3.44
Hassan Haskins,TEN,RB,7,25,93,3.7,0,0,0,26,3.71,0.72
Trestan Ebner,CHI,RB,7,24,54,2.3,0,0,0,9.1,1.3,0.35
Mike Boone,DEN,RB,8,24,102,4.3,0,0,0,28.8,3.6,0.87
Derek Carr,LV,QB,15,24,102,4.3,0,4,0,233.1,15.54,9.71
Tua Tagovailoa,MIA,QB,13,24,70,2.9,0,6,1,238.9,18.38,9.96
Craig Reynolds,DET,RB,6,23,102,4.4,0,0,0,30.8,5.13,0.96
Raheem Blackshear,CAR,RB,10,23,77,3.3,3,0,0,45,4.5,1.36
Jimmy Garoppolo,SF,QB,11,23,33,1.4,2,2,2,168.8,15.34,7.34
Dontrell Hilliard,TEN,RB,11,22,145,6.6,0,0,0,77.2,7.02,1.8
Brock Purdy,SF,QB,9,22,13,0.6,1,0,0,110.3,12.25,5.01
Carson Wentz,WAS,QB,8,22,86,3.9,1,6,1,117.8,14.73,5.35
J.D. McKissic,WAS,RB,8,22,95,4.3,0,0,0,53.8,6.73,1.1
Avery Williams,ATL,RB,14,22,109,5,1,0,0,36,2.57,1.03
Darrel Williams,ARI,RB,5,21,102,4.9,1,0,0,21.1,4.22,0.84
Jeff Driskel,HOU,QB,7,20,75,3.8,0,0,0,17.2,2.46,0.82
Benny Snell,PIT,RB,3,20,90,4.5,1,0,0,18.7,6.23,0.85
Mitch Trubisky,PIT,QB,7,19,38,2,2,0,0,76.9,10.98,4.05
Travis Homer,SEA,RB,8,19,74,3.9,0,1,1,43.1,5.39,1.23
Bryce Perkins,LA,QB,5,19,90,4.7,0,0,0,17.4,3.49,0.92
Malcolm Brown,LA,RB,7,18,81,4.5,1,0,0,22.8,3.26,0.99
Kevin Harris,NE,RB,5,18,52,2.9,1,0,0,11.2,2.24,0.62
Isaiah Spiller,LAC,RB,5,18,41,2.3,0,0,0,8.4,1.68,0.4
Nyheim Hines,IND,RB,7,18,36,2,1,0,0,53.4,7.63,1.24
Zamir White,LV,RB,11,17,70,4.1,0,0,0,7,0.64,0.41
Brandon Powell,LA,WR,16,17,80,4.7,0,0,0,47.6,2.98,1.16
Sam Ehlinger,IND,QB,4,17,87,5.1,0,2,1,38.6,9.66,2.27
Ronald Jones,KC,RB,5,17,70,4.1,1,0,0,16.2,3.24,0.9
Ke'Shawn Vaughn,TB,RB,5,17,53,3.1,0,0,0,10.2,2.04,0.51
Jaret Patterson,WAS,RB,1,17,78,4.6,0,0,0,7.8,7.8,0.46
Zack Moss,BUF,RB,5,17,91,5.4,0,1,1,16.8,3.36,0.7
Brandon Bolden,LV,RB,8,17,68,4,0,0,0,27.5,3.44,1.06
Trey Lance,SF,QB,2,16,67,4.2,0,1,0,13.5,6.73,0.84
Baker Mayfield,CAR,QB,7,16,52,3.3,1,6,1,79.9,11.41,4.99
Desmond Ridder,ATL,QB,4,16,64,4,0,3,2,38.7,9.68,2.42
Marlon Mack,DEN,RB,5,16,84,5.3,1,0,0,38.3,7.66,1.6
Baker Mayfield,LA,QB,5,15,37,2.5,0,3,1,49.7,9.94,3.31
Phillip Lindsay,IND,RB,3,15,49,3.3,0,0,0,12.8,4.27,0.61
Corey Clement,ARI,RB,4,15,55,3.7,1,0,0,21.9,5.48,1.1
Trace McSorley,ARI,QB,5,15,61,4.1,0,2,2,13.6,2.72,0.91
Jarrett Stidham,LV,QB,3,14,84,6,0,3,1,45.6,15.21,3.26
Darrynton Evans,CHI,RB,3,14,64,4.6,0,0,0,10.7,3.57,0.71
Skylar Thompson,MIA,QB,7,14,21,1.5,0,2,2,20.5,2.92,1.46
Matthew Stafford,LA,QB,9,13,9,0.7,1,5,3,116.4,12.93,8.95
Colt McCoy,ARI,QB,4,13,27,2.1,0,2,0,34.9,8.73,2.68
Larry Rountree,LAC,RB,2,13,19,1.5,0,0,0,5.3,2.65,0.35
Steven Sims,PIT,WR,11,13,70,5.4,0,0,0,31.4,2.85,1.16
Jordan Wilkins,IND,RB,4,13,58,4.5,0,0,0,14.7,3.68,0.77
Devin Duvernay,BAL,WR,14,12,84,7,1,0,0,110.1,7.86,2.25
Salvon Ahmed,MIA,RB,6,12,64,5.3,1,0,0,14.2,2.37,1.09
Snoop Conner,JAC,RB,5,12,42,3.5,1,0,0,10.2,2.04,0.85
Jamal Agnew,JAC,WR,14,12,86,7.2,0,0,0,68.3,4.88,1.95
David Johnson,NO,RB,4,12,24,2,0,1,1,9.1,2.28,0.57
