Connor Heyward,PIT,TE,10,0.455,1,1,0,0,0,0,0,-4,0,0,0,0,0,0,39.6,37.3,3.73
-,NYJ,P,1,0,1,1,1,1,18,18,18,10,8,0,0,0,0,0,118.8,0.7,0.72
Tommy Townsend,KC,P,1,0,1,1,1,1,11,11,11,11,0,0,0,0,0,0,112.5,0.4,0.44
Devin Singletary,HOU,RB,15,0.533,1,1,1,1,6,6,6,6,0,1,0,0,0,0,131.3,143.2,9.55
AJ McCarron,CIN,QB,1,0.079,1,1,1,1,-1,-1,-1,-1,0,0,0,0,0,0,79.2,0,-0.04
Drake London,ATL,WR,14,0.813,1,1,1,1,22,22,22,12,10,0,0,0,0,0,118.8,154.7,11.05
Ja'Marr Chase,CIN,WR,14,0.908,1,1,1,1,-7,-7,-7,-7,0,0,0,0,0,0,79.2,249.7,17.84
Braden Mann,PHI,P,1,0,1,1,1,1,28,28,28,11,17,0,0,0,0,0,118.8,1.1,1.12
Aaron Rodgers,NYJ,QB,1,0.07,1,2,0,0,0,0,0,17,0,0,0,0,1,0.5,39.6,0,0
Garrett Wilson,NYJ,WR,15,0.933,1,1,0,0,0,0,0,10,0,0,0,0,0,0,39.6,197.9,13.19
