Quez Watkins,PHI,WR,4,10,7,49,7,0,11.9,2.98,1.7
Kendre Miller,NO,RB,6,10,9,111,12.3,0,28.4,4.73,0.77
Laviska Shenault,CAR,WR,8,10,10,60,6,0,21.5,2.69,0.98
Marvin Jones,DET,WR,4,10,5,35,7,0,6.5,1.63,1.3
Mecole Hardman,KC,WR,4,10,8,41,5.1,0,12.4,3.1,1.38
Darnell Washington,PIT,TE,8,10,7,61,8.7,0,13.1,1.64,1.87
Ben Skowronek,LA,WR,8,10,6,44,7.3,1,17.3,2.16,2.16
River Cracraft,MIA,WR,4,10,8,103,12.9,1,24.3,6.08,3.04
MyCole Pruitt,ATL,TE,7,10,7,79,11.3,1,20.9,2.99,2.99
Chase Edmonds,TB,RB,11,10,8,44,5.5,0,25.7,2.34,0.51
Keith Kirkwood,NO,WR,7,9,5,37,7.4,1,14.7,2.1,2.94
Trayveon Williams,CIN,RB,12,9,7,10,1.4,0,14.9,1.24,0.75
Mike Boone,HOU,RB,7,9,7,40,5.7,0,13.3,1.9,1.11
Devin Duvernay,BAL,WR,6,9,4,18,4.5,0,7.3,1.22,0.91
DeeJay Dallas,SEA,RB,10,9,6,26,4.3,0,12.2,1.22,0.76
C.J. Ham,MIN,FB,6,9,7,25,3.6,0,10.2,1.7,1.28
Rakim Jarrett,TB,WR,6,9,4,60,15,0,10,1.67,2
-,GB,WR,2,8,5,51,10.2,0,10.8,5.4,1.8
D.J. Montgomery,IND,WR,2,8,3,56,18.7,1,14.6,7.3,4.87
Michael Carter,ARI,RB,4,8,7,25,3.6,0,16.6,4.15,0.92
Josiah Deguara,GB,TE,4,8,8,65,8.1,0,14.5,3.63,1.81
Kayshon Boutte,NE,WR,3,7,2,19,9.5,0,3.9,1.3,1.95
Raheem Blackshear,CAR,RB,6,7,6,45,7.5,0,14.5,2.42,0.76
-,IND,RB,4,7,6,34,5.7,0,17.8,4.45,0.99
Dare Ogunbowale,HOU,RB,5,7,2,18,9,0,7.3,1.46,0.81
Brenton Strange,JAC,TE,4,7,4,34,8.5,1,13.4,3.35,3.35
Ronnie Bell,SF,WR,6,7,5,63,12.6,2,23.3,3.88,4.66
Austin Trammell,LA,WR,2,7,4,29,7.3,0,6.9,3.45,1.73
Gary Brightwell,NYG,RB,3,7,5,47,9.4,0,11.6,3.87,0.83
Payne Durham,TB,TE,6,7,5,58,11.6,0,10.8,1.8,2.16
Pierre Strong,CLE,RB,11,7,5,47,9.4,0,35.4,3.22,0.71
Jack Stoll,PHI,TE,4,7,4,27,6.8,0,6.7,1.68,1.68
Davis Allen,LA,TE,3,7,6,70,11.7,1,19,6.33,3.17
Jimmy Graham,NO,TE,5,7,6,39,6.5,4,33.9,6.78,5.65
Velus Jones,CHI,WR,9,7,4,20,5,0,10.9,1.21,0.99
Justyn Ross,KC,WR,4,7,4,36,9,0,7.6,1.9,1.9
Blake Bell,KC,TE,5,7,4,23,5.8,1,10.3,2.06,2.58
Ian Thomas,CAR,TE,5,6,4,51,12.8,0,9.1,1.82,2.28
Patrick Ricard,BAL,FB,5,6,4,48,12,0,8.8,1.76,2.2
DeAndre Carter,LV,WR,7,6,3,36,12,0,8.4,1.2,1.4
Jalen Nailor,MIN,WR,2,6,3,29,9.7,0,5.9,2.95,1.97
Elijah Mitchell,SF,RB,9,6,4,-1,-0.3,0,18.8,2.09,0.39
Charlie Jones,CIN,WR,3,6,4,15,3.8,0,5.5,1.83,1.38
Deon Jackson,IND,RB,1,6,5,14,2.8,0,3.8,3.8,0.21
Julian Hill,MIA,TE,4,6,4,37,9.3,0,5.7,1.43,1.43
Ty Johnson,BUF,RB,5,6,6,53,8.8,1,27.8,5.56,0.93
