Jaleel McLaughlin,DEN,RB,15,64,360,5.6,1,0,0,96.2,6.41,1.05
Antonio Gibson,WAS,RB,14,59,238,4,1,4,2,115.2,8.23,1.13
Zamir White,LV,RB,11,59,268,4.5,1,1,1,45.2,4.11,0.66
Emari Demercado,ARI,RB,10,58,284,4.9,2,0,0,71.4,7.14,0.92
Baker Mayfield,TB,QB,15,56,157,2.8,1,8,3,255.6,17.04,4.56
Matt Breida,NYG,RB,15,55,151,2.7,1,1,0,46.9,3.13,0.65
Dak Prescott,DAL,QB,15,53,237,4.5,2,2,2,300.4,20.03,5.67
Justin Herbert,LAC,QB,13,52,228,4.4,3,4,1,239.2,18.4,4.51
Chris Rodriguez,WAS,RB,8,51,247,4.8,2,1,1,37.9,4.74,0.72
Desmond Ridder,ATL,QB,13,51,193,3.8,5,11,6,168.8,12.99,3.25
Keaton Mitchell,BAL,RB,7,47,396,8.4,2,0,0,69.9,9.99,1.25
Joshua Dobbs,ARI,QB,8,47,258,5.5,3,6,4,125.6,15.7,2.67
Darrell Henderson,LA,RB,4,46,112,2.4,2,0,0,43.5,10.88,0.78
Samaje Perine,DEN,RB,15,46,221,4.8,1,3,2,110.7,7.38,1.22
Pierre Strong,CLE,RB,11,45,197,4.4,1,0,0,35.4,3.22,0.71
Jordan Love,GB,QB,15,45,246,5.5,3,8,2,279.1,18.61,6.2
Cordarrelle Patterson,ATL,RB,11,45,161,3.6,0,1,0,34.9,3.17,0.65
Elijah Mitchell,SF,RB,9,44,149,3.4,0,0,0,18.8,2.09,0.39
Sam Howell,WAS,QB,15,43,265,6.2,5,4,2,256.4,17.09,5.96
Kenny Pickett,PIT,QB,12,42,54,1.3,1,2,0,114.2,9.52,2.72
Chase Edmonds,TB,RB,11,42,133,3.2,0,0,0,25.7,2.34,0.51
Craig Reynolds,DET,RB,6,41,179,4.4,1,1,1,31.6,5.27,0.69
Daniel Jones,NYG,QB,6,40,206,5.2,1,4,1,63,10.49,1.57
Cam Akers,MIN,RB,6,38,138,3.6,1,0,0,37.8,6.3,0.77
Brock Purdy,SF,QB,15,38,140,3.7,2,6,2,289,19.27,7.61
D'Ernest Johnson,JAC,RB,13,37,109,2.9,0,0,0,34.9,2.68,0.74
Tank Bigsby,JAC,RB,11,37,84,2.3,2,1,1,20,1.82,0.53
Zach Wilson,NYJ,QB,12,36,211,5.9,0,11,7,122.9,10.25,3.42
Isaiah Spiller,LAC,RB,8,36,97,2.7,0,0,0,16.1,2.01,0.4
Bryce Young,CAR,QB,14,36,227,6.3,0,9,5,154.5,11.04,4.29
Tommy DeVito,NYG,QB,8,36,195,5.4,1,2,1,96,12,2.67
Keaontay Ingram,ARI,RB,7,35,74,2.1,0,0,0,14,2,0.36
C.J. Stroud,HOU,QB,13,35,133,3.8,3,8,4,244.5,18.81,6.79
Kyler Murray,ARI,QB,6,34,187,5.5,3,6,0,108.9,18.15,3.2
Deebo Samuel,SF,WR,13,33,179,5.4,5,1,0,220.3,16.95,2.56
Jordan Mason,SF,RB,7,32,167,5.2,3,0,0,38.6,5.51,1.14
Tua Tagovailoa,MIA,QB,15,32,53,1.7,0,12,5,257.9,17.19,8.06
Jared Goff,DET,QB,15,32,21,0.7,2,5,3,265.5,17.7,8.3
Joe Burrow,CIN,QB,10,31,88,2.8,0,2,1,153.2,15.32,4.94
Gardner Minshew,IND,QB,14,31,88,2.8,3,8,5,181.4,12.96,5.85
Geno Smith,SEA,QB,13,31,94,3,1,4,2,196.9,15.14,6.15
Trey Sermon,IND,RB,7,30,128,4.3,0,0,0,14.2,2.03,0.46
Darrynton Evans,CHI,RB,5,30,105,3.5,1,0,0,28.4,5.68,0.77
Chase Brown,CIN,RB,8,30,131,4.4,0,1,0,42.4,5.3,1.03
Joshua Dobbs,MIN,QB,5,30,163,5.4,3,5,3,79.1,15.82,2.64
Jeff Wilson,MIA,RB,7,29,122,4.2,0,0,0,30.4,4.34,0.76
Kendre Miller,NO,RB,6,28,83,3,0,0,0,28.4,4.73,0.77
Nick Chubb,CLE,RB,2,28,170,6.1,0,0,0,23.1,11.55,0.72
Derek Carr,NO,QB,15,28,37,1.3,0,6,3,202.4,13.49,7.23
Deshaun Watson,CLE,QB,6,26,142,5.5,1,4,2,84.8,14.13,3.26
Mac Jones,NE,QB,11,26,96,3.7,0,3,2,118.4,10.76,4.55
Anthony Richardson,IND,QB,4,25,136,5.4,4,3,1,69.7,17.42,2.79
Rondale Moore,ARI,WR,15,25,165,6.6,1,1,0,91,6.07,1.57
Will Levis,TEN,QB,8,25,57,2.3,1,6,3,105.4,13.17,4.22
Ty Johnson,BUF,RB,5,24,105,4.4,0,1,0,27.8,5.56,0.93
Ke'Shawn Vaughn,TB,RB,5,24,42,1.8,0,0,0,6.4,1.28,0.25
Patrick Taylor,GB,RB,9,24,111,4.6,0,0,0,27,3,0.77
Tyrod Taylor,NYG,QB,8,24,119,5,0,2,0,51.9,6.49,2.16
Damien Harris,BUF,RB,6,23,94,4.1,1,0,0,19,3.17,0.76
Tyson Bagent,CHI,QB,5,23,109,4.7,2,2,2,59.3,11.85,2.58
Cam Akers,LA,RB,1,22,29,1.3,1,0,0,8.9,8.9,0.4
Salvon Ahmed,MIA,RB,7,22,61,2.8,1,0,0,42.9,6.13,1.13
Deuce Vaughn,DAL,RB,5,21,38,1.8,0,0,0,12.8,2.56,0.47
Tony Jones,NO,RB,3,21,70,3.3,2,0,0,25.1,8.37,1
Jerick McKinnon,KC,RB,12,21,60,2.9,1,0,0,84.5,7.04,1.84
Matthew Stafford,LA,QB,14,20,66,3.3,0,0,0,235.5,16.82,11.78
Jimmy Garoppolo,LV,QB,6,20,39,2,0,1,0,71.1,11.85,3.56
Ronnie Rivers,LA,RB,5,19,77,4.1,0,0,0,13.5,2.7,0.59
Jake Browning,CIN,QB,7,18,77,4.3,2,2,0,109.3,15.62,5.75
-,NYJ,RB,4,17,61,3.6,0,0,0,10.7,2.68,0.54
Boston Scott,PHI,RB,9,17,81,4.8,0,0,0,17.3,1.92,0.82
Mitch Trubisky,PIT,QB,5,16,54,3.4,2,1,1,51.7,10.34,3.23
Sean Tucker,TB,RB,3,15,23,1.5,0,0,0,5.2,1.73,0.31
Chris Brooks,MIA,RB,2,15,94,6.3,0,0,0,9.4,4.7,0.63
Kirk Cousins,MIN,QB,8,14,25,1.8,0,6,4,154.7,19.34,11.05
Ryan Tannehill,TEN,QB,7,14,77,5.5,1,3,0,66.9,9.56,4.78
Dorian Thompson-Robinson,CLE,QB,7,14,65,4.6,0,2,0,24.1,3.44,1.72
Ameer Abdullah,LV,RB,14,14,85,6.1,0,0,0,36.1,2.58,1.16
Emanuel Wilson,GB,RB,5,14,85,6.1,0,0,0,14.8,2.96,0.82
Deon Jackson,IND,RB,1,13,14,1.1,0,2,2,3.8,3.8,0.21
Raheem Blackshear,CAR,RB,6,13,40,3.1,0,0,0,14.5,2.42,0.76
Eric Gray,NYG,RB,3,13,27,2.1,0,1,0,7.4,2.47,0.44
P.J. Walker,CLE,QB,5,13,30,2.3,0,4,2,25,4.99,1.92
Melvin Gordon,BAL,RB,2,13,53,4.1,0,0,0,12.9,6.45,0.81
Trayveon Williams,CIN,RB,12,13,69,5.3,0,0,0,14.9,1.24,0.75
CeeDee Lamb,DAL,WR,15,12,101,8.4,2,2,1,325.5,21.7,2.69
-,IND,RB,4,12,84,7,0,0,0,17.8,4.45,0.99
Cooper Rush,DAL,QB,6,12,-5,-0.4,0,0,0,3.1,0.51,0.26
Sam Darnold,SF,QB,8,12,-2,-0.2,0,0,0,7.1,0.89,0.59
Laviska Shenault,CAR,WR,8,12,55,4.6,0,0,0,21.5,2.69,0.98
Tank Dell,HOU,WR,10,11,51,4.6,0,0,0,165,16.5,2.84
Kevin Harris,NE,RB,2,11,46,4.2,1,0,0,10.6,5.3,0.96
Damien Williams,ARI,RB,3,11,43,3.9,0,0,0,7.5,2.5,0.58
Michael Carter,ARI,RB,4,11,71,6.5,0,0,0,16.6,4.15,0.92
Jayden Reed,GB,WR,14,11,119,10.8,2,0,0,173.1,12.36,2.66
Kyle Allen,BUF,QB,5,11,-11,-1,0,0,0,-1.1,-0.22,-0.1
Aidan O'Connell,LV,QB,9,11,7,0.6,1,4,2,94.7,10.52,8.61
Taylor Heinicke,ATL,QB,4,11,78,7.1,0,1,0,51.9,12.97,4.72
Kadarius Toney,KC,WR,13,11,31,2.8,0,1,0,53,4.08,1.39
Derius Davis,LAC,WR,12,10,82,8.2,0,0,0,27,2.25,1.13
Puka Nacua,LA,WR,15,10,70,7,0,1,0,265.7,17.71,2.51
KaVontae Turpin,DAL,WR,11,10,105,10.5,1,1,0,59.2,5.38,2.69
DeeJay Dallas,SEA,RB,10,10,36,3.6,0,0,0,12.2,1.22,0.76
Calvin Austin,PIT,WR,13,10,49,4.9,1,0,0,51.9,3.99,1.92
Bailey Zappe,NE,QB,8,9,33,3.7,0,2,1,60.3,7.54,6.7
Calvin Ridley,JAC,WR,15,9,23,2.6,0,1,0,197.4,13.16,2.63
Elijah Moore,CLE,WR,15,9,11,1.2,0,2,2,115,7.67,1.83
Tre Tucker,LV,WR,11,9,66,7.3,0,0,0,52.2,4.75,2.49
Easton Stick,LAC,QB,3,9,36,4,1,4,3,40.5,13.51,4.5
Gary Brightwell,NYG,RB,3,9,19,2.1,0,0,0,11.6,3.87,0.83
Khari Blasingame,CHI,FB,6,8,26,3.3,0,0,0,5.8,0.97,0.53
Zay Flowers,BAL,WR,15,8,56,7,1,0,0,184.8,12.32,2.25
J.K. Dobbins,BAL,RB,1,8,22,2.8,1,0,0,11.7,11.7,1.17
Michael Carter,NYJ,RB,9,8,38,4.8,0,0,0,25.6,2.84,1.11
Marvin Mims,DEN,WR,14,8,29,3.6,0,0,0,66,4.71,2.28
Wan'Dale Robinson,NYG,WR,13,8,63,7.9,0,0,0,99.8,7.68,1.75
Deven Thompkins,TB,WR,10,8,56,7,0,1,1,32.8,3.28,1.43
Zach Evans,LA,RB,3,8,16,2,0,0,0,1.6,0.53,0.2
Velus Jones,CHI,WR,9,7,49,7,0,0,0,10.9,1.21,0.99
Ihmir Smith-Marsette,CAR,WR,4,7,74,10.6,1,0,0,20.7,5.18,1.88
Rashid Shaheed,NO,WR,13,7,37,5.3,0,0,0,132.7,10.21,2.76
Joe Flacco,CLE,QB,4,7,-1,-0.1,0,2,1,83.2,20.8,11.88
Nick Mullens,MIN,QB,3,7,11,1.6,0,2,0,43,14.33,6.14
