Drew Sample,CIN,-14,-17,-1.307,-1.593,2,-2,0,1,2,0,0,0,0,2022
O.J. Howard,HOU,-17,-13,-0.193,-0.16,23,145,2,0.43,10,6,0,0,0,2022
Tommy Tremble,CAR,-18,-14,-0.152,-0.134,32,174,3,0.59,19,3.3,0,1,12,2022
Devin Asiasi,CIN,-19,-19,-0.769,-0.771,4,5,0,0.5,2,0,0,0,0,2022
Pharaoh Brown,-,-19,-23,-0.234,-0.263,20,117,0,0.6,12,6.9,0,0,0,2022
Cade Otton,TB,-20,-45,-0.115,-0.169,65,391,2,0.65,42,4.1,0,1,14,2022
Eric Saubert,DEN,-20,-11,-0.2,-0.145,24,148,1,0.63,15,5,0,1,14,2022
Chris Manhertz,JAC,-20,-18,-0.43,-0.385,8,42,0,0.75,6,5.8,0,0,0,2022
Albert Okwuegbunam,DEN,-25,-14,-0.296,-0.192,18,95,1,0.56,10,5.9,0,0,0,2022
Zach Gentry,PIT,-27,-39,-0.258,-0.341,23,132,0,0.83,19,5.4,0,0,0,2022
Jonnu Smith,NE,-29,-39,-0.191,-0.234,38,245,0,0.71,27,7.4,0,0,0,2022
John Bates,WAS,-31,-24,-0.288,-0.244,22,108,1,0.64,14,3.9,1,0,0,2022
Gerald Everett,LAC,-31,2,-0.127,-0.069,87,555,4,0.67,58,5.6,0,0,0,2022
Isaiah Likely,BAL,-32,-37,-0.156,-0.169,60,373,3,0.6,36,4.2,0,1,9,2022
Geoff Swaim,TEN,-33,-30,-0.362,-0.34,16,58,1,0.75,12,3.6,0,0,0,2022
Stephen Anderson,ARI,-33,-36,-0.792,-0.844,7,9,0,0.43,3,2,0,0,0,2022
Tyler Davis,GB,-34,-25,-0.802,-0.619,7,26,0,0.57,4,6.8,0,0,0,2022
Ryan Griffin,CHI,-34,-39,-0.636,-0.726,8,26,0,0.5,4,2.3,0,0,0,2022
Irv Smith,MIN,-35,-46,-0.227,-0.274,36,182,2,0.69,25,3.6,1,0,0,2022
Richard Rodgers,LAC,-37,-36,-1.113,-1.092,4,4,0,0.25,1,3,0,0,0,2022
Cole Turner,WAS,-47,-44,-0.862,-0.812,9,23,0,0.22,2,3.5,0,0,0,2022
Tyler Conklin,NYJ,-48,-44,-0.163,-0.157,87,552,3,0.67,58,4.9,2,0,0,2022
Brevin Jordan,HOU,-54,-53,-0.369,-0.363,28,128,0,0.5,14,5.6,0,0,0,2022
Cameron Brate,TB,-69,-87,-0.325,-0.392,38,174,0,0.53,20,3.3,0,3,35,2022
Logan Thomas,WAS,-76,-77,-0.264,-0.264,61,323,1,0.64,39,3.2,0,0,0,2022
Tre' McKitty,LAC,-85,-85,-0.82,-0.822,18,72,0,0.56,10,5.2,1,0,0,2022
