LV,2022,18,4.9249469945353,1,4.76517150395778,6,0.625,23,0.150395778364116,6,1.41952506596306,4,0.812664907651715,15,35,0.0588437979231585,8
GB,2022,18,4.84570039569806,2,4.69343065693431,9,0.658536585365854,18,0.138686131386861,2,1.44282238442822,3,0.642335766423358,21,32,0.0585413393261374,6
KC,2022,18,4.81728923034047,3,4.49101796407186,15,0.551724137931034,31,0.158682634730539,9,1.24107142857143,14,0.642857142857143,20,26,0.0484826265629819,5
SF,2022,18,4.69980968333785,4,4.85204081632653,4,0.607142857142857,26,0.181122448979592,22,1.34438775510204,8,1.10204081632653,4,31,0.0627955407183844,10
ATL,2022,18,4.68176656097495,5,4.85494505494505,3,0.659574468085106,17,0.149450549450549,5,1.38241758241758,6,0.868131868131868,13,37,0.0865658148996901,27
PHI,2022,18,4.66050709599605,6,4.74184782608696,7,0.75,7,0.154891304347826,7,1.44565217391304,2,0.679347826086957,19,44,0.0774409894819474,21
DET,2022,18,4.65541580370777,7,4.51981351981352,13,0.647058823529412,20,0.174825174825175,18,1.22144522144522,15,0.906759906759907,8,24,0.0420849759708754,2
MIA,2022,18,4.60459274685029,8,4.48059701492537,16,0.558823529411765,30,0.167164179104478,14,1.30473372781065,10,0.772189349112426,16,35,0.0629356696641022,11
CAR,2022,18,4.56044957016953,9,4.56144578313253,12,0.69047619047619,14,0.159036144578313,11,1.18795180722892,20,0.872289156626506,12,36,0.0770053825405397,20
PIT,2022,18,4.53765106314619,10,4.04675324675325,26,0.793103448275862,1,0.148051948051948,4,1.13624678663239,24,0.429305912596401,29,38,0.0633722817501173,12
CHI,2022,18,4.51743480892255,11,4.49728260869565,14,0.772727272727273,3,0.144021739130435,3,1.27466666666667,12,0.693333333333333,18,58,0.13002623028858,32
NO,2022,18,4.49457290123208,12,3.87878787878788,29,0.744186046511628,9,0.157575757575758,8,1.06489675516224,28,0.286135693215339,32,38,0.076712056115777,19
BUF,2022,18,4.42002232999956,13,4.87285223367698,2,0.769230769230769,4,0.171821305841924,16,1.36426116838488,7,1.1340206185567,3,33,0.0587147255328635,7
CLE,2022,18,4.4100367495753,14,4.60730593607306,11,0.709090909090909,13,0.205479452054795,28,1.44772727272727,1,0.888636363636364,11,44,0.0766016190934087,18
LA,2022,18,4.39006594832712,15,4.09375,25,0.725,11,0.178125,20,1.15,22,0.528125,26,59,0.106262507923019,31
CIN,2022,18,4.38282388708301,16,3.98070739549839,28,0.647058823529412,20,0.160771704180064,13,1.06430868167203,29,0.446945337620579,28,44,0.0700089534662227,16
DAL,2022,18,4.3731429086029,17,4.42424242424242,17,0.768115942028985,5,0.173160173160173,17,1.2176724137931,16,0.933189655172414,7,27,0.0474013577613162,4
TEN,2022,18,4.36497787975703,18,4.40243902439024,19,0.75,7,0.170731707317073,15,1.20095693779904,18,0.832535885167464,14,49,0.0949065641297375,29
NE,2022,18,4.35631736323816,19,4.66573033707865,10,0.592592592592593,27,0.188202247191011,25,1.31460674157303,9,0.985955056179775,6,41,0.0842649136579343,25
DEN,2022,18,4.35274078861351,20,4.13279132791328,24,0.69047619047619,14,0.176151761517615,19,1.14634146341463,23,0.582655826558266,25,63,0.100203921238595,30
BAL,2022,18,4.3466417912653,21,4.91761363636364,1,0.651515151515151,19,0.181818181818182,23,1.39204545454545,5,1.08238636363636,5,38,0.0806376239304454,22
IND,2022,18,4.31824086723139,22,4.20157068062827,20,0.581395348837209,29,0.159685863874346,12,1.203125,17,0.6015625,24,60,0.0924656580195061,28
WAS,2022,18,4.28694178233801,23,3.86605080831409,30,0.725490196078431,10,0.138568129330254,1,0.976905311778291,31,0.378752886836028,30,48,0.0815507245547216,23
NYG,2022,18,4.24199492870509,24,4.40263157894737,18,0.783783783783784,2,0.178947368421053,21,1.16326530612245,21,0.900510204081633,10,49,0.0838188345781462,24
MIN,2022,18,4.23931674819139,25,4.19327731092437,21,0.542857142857143,32,0.238095238095238,31,1.24649859943978,13,0.750700280112045,17,47,0.0660517586209377,14
LAC,2022,18,4.23436832401688,26,4,27,0.724137931034483,12,0.194767441860465,27,1.08115942028986,27,0.602898550724638,23,39,0.0602570992612533,9
ARI,2022,18,4.21709622693022,27,4.13333333333333,23,0.760869565217391,6,0.158730158730159,10,1.09876543209877,26,0.478395061728395,27,46,0.0697356054942869,15
TB,2022,18,4.06882074201964,28,3.55685131195335,32,0.611111111111111,25,0.186588921282799,24,0.962209302325581,32,0.331395348837209,31,22,0.0343577583764124,1
JAC,2022,18,4.05769892451831,29,4.73816155988858,8,0.583333333333333,28,0.239554317548747,32,1.28142076502732,11,1.26775956284153,2,28,0.0468737805898157,3
SEA,2022,18,4.04203245564257,30,4.78347578347578,5,0.628571428571429,22,0.213675213675214,29,1.19047619047619,19,1.37535014005602,1,46,0.0864534603985337,26
HOU,2022,18,3.89697277095346,31,3.79518072289157,31,0.666666666666667,16,0.189759036144578,26,1.00903614457831,30,0.623493975903614,22,38,0.0635649306690782,13
NYJ,2022,18,3.81178716569445,32,4.16519174041298,22,0.620689655172414,24,0.215339233038348,30,1.13489736070381,25,0.906158357771261,9,42,0.0704839862998933,17
