Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
20-R.Blackshear,00-0037429,Raheem Blackshear,CAR,25,27,29.3%,32.8%,12,93,0,83%,10,10.5,0,0,0
34-B.Bolden,00-0029239,Brandon Bolden,LV,25,28,54.0%,64.0%,9,57,1,100%,9,3.0,0,0,0
3-C.Akers,00-0036414,Cam Akers,LA,24,23,6.9%,6.6%,18,117,0,72%,13,10.5,0,0,0
25-C.Evans,00-0036857,Chris Evans,CIN,23,24,73.0%,77.3%,4,38,1,75%,3,2.7,0,0,0
36-T.Badie,,,DEN,23,21,251.0%,237.6%,1,24,1,100%,1,31.0,0,0,0
30-A.Ingold,00-0035125,Alec Ingold,MIA,23,9,2.3%,-7.4%,23,105,1,65%,15,6.2,0,0,0
27-D.Henderson,00-0035664,Darrell Henderson,LA,22,5,3.4%,-10.2%,22,102,0,77%,17,6.5,0,0,0
23-K.Williams,00-0037840,Kyren Williams,LA,22,27,16.2%,23.1%,12,76,0,75%,9,8.9,0,0,0
20-Br.Hall,00-0038120,Breece Hall,NYJ,20,17,-1.6%,-3.5%,31,218,1,61%,19,8.7,1,0,0
23-J.Robinson,00-0035831,James Robinson,2TM,20,22,8.2%,10.7%,14,51,2,79%,11,5.7,0,0,0
42-P.Ricard,00-0033376,Patrick Ricard,BAL,19,16,16.4%,11.5%,13,74,0,85%,11,6.5,0,0,0
30-R.Rivers,00-0037557,Ronnie Rivers,LA,19,11,53.2%,24.8%,5,29,0,100%,5,11.0,0,0,0
2-A.Mattison,00-0034972,Alexander Mattison,MIN,19,17,7.6%,5.6%,18,91,1,83%,15,8.1,0,0,0
21-D.Evans,00-0036297,Darrynton Evans,CHI,18,17,235.3%,223.8%,1,33,0,100%,1,31.0,0,0,0
37-M.Mack,00-0033951,Marlon Mack,DEN,16,26,22.0%,46.0%,10,99,1,80%,8,14.3,0,0,0
36-J.Chestnut,00-0037594,Julius Chestnut,TEN,16,15,93.4%,89.9%,3,41,0,100%,3,13.0,0,0,0
27-Z.Knight,00-0037157,Zonovan Knight,NYJ,15,21,4.5%,12.4%,14,100,0,93%,13,10.2,1,0,0
27-K.Hunt,00-0033923,Kareem Hunt,CLE,14,5,-7.9%,-11.6%,44,210,1,80%,35,6.7,0,1,5
22-N.Harris,00-0036893,Najee Harris,PIT,14,9,-9.8%,-11.1%,54,229,3,77%,41,4.9,1,0,0
8-B.Robinson,00-0037746,Brian Robinson,WAS,13,13,4.3%,4.8%,12,60,1,75%,9,8.0,0,0,0
2-R.Jones,00-0034816,Ronald Jones,KC,11,13,140.4%,168.1%,1,22,0,100%,1,23.0,0,0,0
41-M.Brown,00-0031806,Malcolm Brown,LA,11,8,13.6%,7.8%,6,37,0,83%,5,7.4,0,0,0
23-G.Brightwell,00-0036569,Gary Brightwell,NYG,10,13,6.8%,13.7%,8,39,0,63%,5,7.0,0,0,0
32-T.Williams,00-0035291,Trayveon Williams,CIN,10,10,60.6%,60.4%,3,30,0,67%,2,4.0,0,0,0
26-K.Nwangwu,00-0036842,Kene Nwangwu,MIN,10,13,49.0%,69.1%,2,21,0,100%,2,10.5,0,0,0
27-P.Taylor,00-0035973,Patrick Taylor,GB,10,11,189.7%,221.6%,1,17,0,100%,1,17.0,0,0,0
34-L.Rountree,00-0036650,Larry Rountree,LAC,9,7,99.8%,72.4%,2,14,0,100%,2,15.5,0,0,0
14-T.Montgomery,00-0032200,Ty Montgomery,NE,8,12,28.6%,46.6%,4,15,1,75%,3,2.3,0,0,0
