Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,,,
16-T.Irwin,00-0035341,Trenton Irwin,CIN,8,8,103.2%,99.8%,1,11,0,0,,,
2-D.Brown,00-0036626,Dyami Brown,WAS,8,10,134.8%,171.5%,1,15,0,0,,,
16-A.Dulin,00-0035021,Ashton Dulin,IND,8,7,12.3%,8.3%,2,8,0,0,,,
9-K.Turpin,00-0037801,Kavontae Turpin,DAL,8,9,8.6%,17.3%,3,17,0,0,,,
5-J.Palmer,00-0036988,Josh Palmer,LAC,7,8,62.5%,75.0%,1,4,0,0,,,
87-T.Kelce,00-0030506,Travis Kelce,KC,7,5,-2.3%,-9.9%,2,5,0,0,,,
34-S.Chandler,,,CAR,7,6,30.5%,21.6%,1,2,0,0,,,
6-D.Gray,00-0037828,Danny Gray,SF,6,7,93.3%,105.3%,1,9,0,0,,,
11-C.Wilson,00-0034418,Cedrick Wilson,MIA,6,5,59.7%,47.5%,1,8,0,0,,,
9-K.Hinton,00-0035864,Kendall Hinton,DEN,5,5,-0.7%,-2.5%,2,13,0,0,,,
29-M.Stewart,,,HOU,4,6,7.5%,28.6%,1,3,0,0,,,
1-D.Eskridge,00-0036620,D'Wayne Eskridge,SEA,4,7,8.6%,42.5%,2,10,0,0,,,
15-P.Cooper,,,ARI,4,2,-18.7%,-26.4%,4,15,0,0,,,
14-C.Sutton,00-0034348,Courtland Sutton,DEN,3,3,25.7%,36.7%,1,5,0,0,,,
81-D.Smythe,00-0034798,Durham Smythe,MIA,2,2,-30.5%,-31.0%,2,1,1,0,,,
13-C.Kirk,00-0034775,Christian Kirk,JAC,2,3,-28.5%,-25.1%,5,11,0,0,,,
11-T.Taylor,00-0033292,Trent Taylor,CIN,2,1,-29.3%,-34.9%,4,15,0,0,,,
19-A.Rodgers,00-0036991,Amari Rodgers,HOU,2,0,-22.6%,-38.6%,2,7,0,0,,,
80-R.James,00-0034286,Richie James,NYG,2,-1,-22.9%,-49.6%,2,6,0,0,,,
17-E.Engram,00-0033881,Evan Engram,JAC,1,1,-33.8%,-30.3%,2,13,0,0,,,
13-R.McMath,00-0036652,Racey McMath,TEN,1,1,-22.5%,-27.6%,1,4,0,0,,,
84-K.Bourne,00-0033307,Kendrick Bourne,NE,1,3,-36.6%,-31.0%,6,39,0,0,,,
11-D.Mooney,00-0036309,Darnell Mooney,CHI,1,-1,45.9%,-130.3%,1,2,0,0,,,
17-O.Zaccheaus,00-0035208,Olamide Zaccheaus,ATL,1,1,-30.6%,-28.6%,2,7,0,0,,,
