Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,Design,Scramble,Aborted
2-J.Winston,00-0031503,Jameis Winston,NO,-29,-29,-122.8%,-122.9%,5,14,0,2,0,-6,-22
4-B.Zappe,00-0038108,Bailey Zappe,NE,-33,-30,-197.7%,-184.2%,4,4,0,2,-3,1,-31
4-D.Ridder,00-0038122,Desmond Ridder,ATL,-38,-44,-51.9%,-58.8%,15,62,0,2,-6,-4,-28
3-K.Allen,00-0034577,Kyle Allen,HOU,-38,-38,-120.8%,-121.2%,6,9,0,2,-16,-3,-19
12-T.Brady,00-0019596,Tom Brady,TB,-39,-40,-55.8%,-57.3%,12,12,1,2,7,-20,-26
16-J.Goff,00-0033106,Jared Goff,DET,-44,-37,-62.1%,-53.8%,19,71,0,2,1,-14,-32
2-T.Huntley,00-0035993,Tyler Huntley,BAL,-50,-60,-34.6%,-39.2%,39,137,1,3,-33,6,-23
2-M.Ryan,00-0026143,Matt Ryan,IND,-50,-56,-48.2%,-52.3%,21,66,1,3,-8,12,-54
14-S.Darnold,00-0034869,Sam Darnold,CAR,-55,-54,-53.3%,-52.1%,23,99,2,4,-52,24,-28
17-B.Mayfield,00-0034855,Baker Mayfield,2TM,-94,-83,-94.5%,-84.8%,26,76,1,6,-20,-5,-69
