"Year","TEAM","DVOA","RANK","WEIGHT","RANK1","PASS","RANK2","RUSH","RANK3","NONADJ","NONADJP","NONADJR","VARIANCE","RANK4","DEF SCHED","RANK5"
"2022","ARI","6.8","26","6.6","27","10.3","21","1.6","23","8.6","13.5","1.5","3.5","10","1.1","11"
"2022","ATL","14.5","31","14.9","31","23.5","31","4.7","27","14.0","23.8","3.3","2.3","3","-2.1","24"
"2022","BAL","-9.1","8","-12.2","2","-4.7","9","-15.8","6","-2.8","3.0","-11.5","2.9","5","2.1","5"
"2022","BUF","-14.1","2","-10.3","6","-10.2","2","-19.7","3","-11.0","-4.8","-19.9","3.4","8","0.6","14"
"2022","CAR","2.6","20","2.3","18","10.4","22","-6.5","17","6.9","16.2","-3.8","3.6","12","1.5","10"
"2022","CHI","19.3","32","24.6","32","31.2","32","7.4","29","22.7","36.0","9.4","7.6","31","2.1","7"
"2022","CIN","-9.3","7","-10.0","7","-5.7","8","-14.0","9","-4.6","-0.5","-10.1","3.5","9","2.2","4"
"2022","CLE","0.8","16","-3.9","13","-1.4","12","3.1","26","3.0","2.0","4.0","6.8","28","0.3","15"
"2022","DAL","-10.6","4","-6.7","10","-6.4","6","-15.5","7","-12.5","-9.9","-15.5","4.6","17","-2.4","28"
"2022","DEN","-2.8","13","0.4","15","-2.9","10","-2.6","21","-0.9","-0.1","-2.2","6.3","25","-1.0","21"
"2022","DET","7.2","27","4.2","23","10.5","23","2.9","25","9.9","13.4","5.1","9.6","32","0.1","16"
"2022","GB","6.1","25","4.7","25","2.3","15","10.1","31","7.2","3.9","10.7","3.6","11","-0.2","18"
"2022","HOU","7.8","28","2.9","19","9.2","20","6.5","28","9.0","9.8","8.0","3.8","14","-1.3","22"
"2022","IND","1.3","17","1.0","16","8.2","19","-6.7","16","0.7","8.8","-8.5","3.7","13","-2.3","26"
"2022","JAC","4.8","23","3.4","20","17.8","29","-12.1","12","1.1","12.6","-13.8","7.2","29","-5.1","32"
"2022","KC","-2.0","14","-4.9","12","1.8","14","-8.3","15","-1.0","3.3","-7.9","4.2","15","-2.6","29"
"2022","LAC","3.2","21","4.3","24","-1.6","11","8.6","30","6.4","3.1","10.1","6.6","26","0.0","17"
"2022","LA","1.3","18","3.9","21","11.6","25","-11.8","13","5.6","18.2","-10.6","6.0","24","2.6","3"
"2022","LV","10.7","29","9.4","30","17.9","30","0.7","22","11.5","20.8","-1.1","2.9","6","-2.7","30"
"2022","MIA","0.1","15","-2.9","14","12.1","26","-18.9","4","3.2","15.4","-16.2","5.6","20","0.9","13"
"2022","MIN","5.9","24","7.0","28","13.6","27","-5.6","18","6.7","14.1","-4.4","2.1","2","-0.6","19"
"2022","NE","-10.6","5","-11.8","4","-9.2","3","-12.6","11","-6.9","-4.6","-10.2","5.5","19","1.9","8"
"2022","NO","-5.1","9","-10.4","5","-7.0","5","-3.0","20","-0.9","-2.8","1.4","5.7","21","1.6","9"
"2022","NYG","10.9","30","9.3","29","11.3","24","10.5","32","10.6","9.5","12.1","2.0","1","-2.3","25"
"2022","NYJ","-9.5","6","-11.8","3","-5.8","7","-14.0","8","-4.6","0.5","-10.7","2.5","4","4.5","1"
"2022","PHI","-13.3","3","-9.1","8","-19.4","1","-5.1","19","-13.5","-19.2","-5.9","4.5","16","-4.8","31"
"2022","PIT","-3.0","12","-5.8","11","7.1","18","-16.1","5","3.6","14.0","-9.9","6.0","23","2.6","2"
"2022","SEA","3.5","22","1.9","17","4.5","17","2.4","24","5.3","7.9","2.5","5.8","22","-0.9","20"
"2022","SF","-14.8","1","-14.6","1","-8.4","4","-24.7","2","-16.1","-10.5","-24.7","6.7","27","-2.4","27"
"2022","TB","-4.0","11","4.7","26","1.1","13","-11.0","14","0.2","5.8","-7.3","7.3","30","2.1","6"
"2022","TEN","1.7","19","4.0","22","17.2","28","-26.0","1","5.1","21.4","-24.0","3.0","7","-1.8","23"
"2022","WAS","-4.4","10","-7.4","9","2.3","16","-12.8","10","-1.6","6.5","-11.8","5.1","18","1.1","12"
