Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
18-J.Jefferson,00-0036322,Justin Jefferson,MIN,489,461,20.7%,18.7%,184,1809,8,70%,128,4.8,0,4,49
14-S.Diggs,00-0031588,Stefon Diggs,BUF,434,436,22.3%,22.4%,154,1429,11,70%,108,3.9,1,3,55
17-J.Waddle,00-0036613,Jaylen Waddle,MIA,397,413,30.8%,32.5%,117,1356,8,64%,75,6.8,1,4,96
10-T.Hill,00-0033040,Tyreek Hill,MIA,388,403,15.5%,16.6%,170,1710,7,70%,119,4.1,1,5,130
88-C.Lamb,00-0036358,CeeDee Lamb,DAL,314,318,12.6%,12.9%,156,1359,9,69%,107,4.6,0,2,48
17-T.McLaurin,00-0035659,Terry McLaurin,WAS,309,322,20.0%,21.4%,120,1191,5,64%,77,5.0,0,3,53
2-A.Cooper,00-0031544,Amari Cooper,CLE,302,288,15.8%,14.5%,132,1160,9,59%,78,3.8,0,3,70
6-D.Smith,00-0036912,DeVonta Smith,PHI,280,292,14.7%,15.9%,136,1210,7,70%,95,5.2,0,1,30
14-A.St. Brown,00-0036963,Amon-Ra St. Brown,DET,274,257,11.0%,9.6%,146,1161,6,73%,106,5.0,0,1,5
85-T.Higgins,00-0036410,Tee Higgins,CIN,274,266,18.9%,18.0%,109,1029,7,68%,74,3.9,0,2,19
11-A.Brown,00-0035676,A.J. Brown,PHI,265,295,10.8%,13.5%,145,1496,11,61%,88,6.3,2,1,24
11-B.Aiyuk,00-0036261,Brandon Aiyuk,SF,262,268,16.4%,17.1%,114,1015,8,68%,78,4.8,1,4,63
16-T.Lockett,00-0032211,Tyler Lockett,SEA,257,263,15.6%,16.2%,117,1033,9,72%,84,3.2,1,1,14
17-D.Adams,00-0031381,Davante Adams,LV,236,220,4.0%,2.9%,180,1516,14,56%,100,4.9,1,4,66
13-M.Evans,00-0031408,Mike Evans,TB,236,249,9.7%,10.9%,127,1124,6,61%,77,2.8,0,5,110
83-T.Boyd,00-0033009,Tyler Boyd,CIN,234,225,23.5%,22.1%,82,762,5,71%,58,4.3,0,0,0
10-J.Jeudy,00-0036407,Jerry Jeudy,DEN,232,222,17.0%,15.7%,100,972,6,67%,67,5.9,0,2,47
81-M.Williams,00-0033536,Mike Williams,LAC,219,217,17.4%,17.0%,93,895,4,68%,63,5.1,0,0,0
1-D.Parker,00-0031547,DeVante Parker,NE,196,200,40.1%,41.4%,47,539,3,66%,31,3.4,0,2,47
14-G.Pickens,00-0037247,George Pickens,PIT,194,172,15.7%,12.5%,84,801,4,62%,52,2.0,0,4,25
1-J.Chase,00-0036900,Ja'Marr Chase,CIN,190,166,4.5%,2.3%,134,1046,9,65%,87,4.8,2,3,61
9-J.Smith-Schuster,00-0033857,JuJu Smith-Schuster,KC,185,196,10.6%,11.9%,101,933,3,77%,78,5.9,3,0,0
16-J.Meyers,00-0034960,Jakobi Meyers,NE,179,172,10.2%,9.2%,96,804,6,70%,67,3.6,1,4,65
13-C.Kirk,00-0034775,Christian Kirk,JAC,178,174,4.4%,4.1%,134,1099,8,63%,84,4.3,1,0,0
13-A.Lazard,00-0034521,Allen Lazard,GB,160,165,7.0%,7.6%,100,788,6,60%,60,4.1,0,2,55
12-C.Olave,00-0037239,Chris Olave,NO,155,153,3.8%,3.6%,119,1042,4,61%,72,2.9,2,3,65
89-R.Shaheed,00-0037545,Rashid Shaheed,NO,155,158,44.1%,45.1%,34,488,2,82%,28,6.3,1,0,0
86-D.Slayton,00-0035535,Darius Slayton,NYG,148,161,13.5%,15.8%,71,724,2,65%,46,5.7,2,3,55
13-G.Davis,00-0036196,Gabriel Davis,BUF,146,136,7.0%,5.7%,93,836,7,52%,48,3.0,1,3,40
13-K.Allen,00-0030279,Keenan Allen,LAC,146,143,8.0%,7.6%,89,752,4,74%,66,3.9,1,0,0
9-C.Watson,00-0038124,Christian Watson,GB,133,151,11.4%,14.7%,66,611,7,62%,41,6.4,0,2,54
10-C.Kupp,00-0033908,Cooper Kupp,LA,132,155,4.5%,7.5%,98,812,6,77%,75,5.5,2,0,0
80-R.James,00-0034286,Richie James,NYG,128,149,12.2%,16.3%,70,569,4,81%,57,3.1,0,0,0
11-D.Peoples-Jones,00-0036233,Donovan Peoples-Jones,CLE,127,125,3.9%,3.6%,96,839,3,64%,61,3.1,1,3,62
4-D.Chark,00-0034777,DJ Chark,DET,124,119,16.3%,15.0%,52,502,3,58%,30,4.4,0,1,34
1-J.Dotson,00-0037741,Jahan Dotson,WAS,121,120,12.4%,12.2%,61,523,7,57%,35,3.9,0,0,0
5-D.London,00-0037238,Drake London,ATL,119,113,0.1%,-0.6%,117,866,4,62%,72,3.1,3,2,17
17-O.Zaccheaus,00-0035208,Olamide Zaccheaus,ATL,118,112,11.5%,10.4%,61,533,3,66%,40,4.8,1,3,78
10-M.Hollins,00-0033555,Mack Hollins,LV,113,105,3.4%,2.2%,94,690,4,61%,57,3.4,0,1,47
19-A.Thielen,00-0030035,Adam Thielen,MIN,111,105,0.1%,-0.5%,107,716,6,65%,70,2.2,0,4,85
16-T.Irwin,00-0035341,Trenton Irwin,CIN,110,110,52.2%,52.3%,23,231,4,65%,15,3.9,0,0,0
11-M.Goodwin,00-0030068,Marquise Goodwin,SEA,107,108,20.4%,20.6%,42,387,4,64%,27,4.2,0,0,0
13-D.Duvernay,00-0036331,Devin Duvernay,BAL,100,90,14.4%,11.5%,49,407,3,76%,37,4.3,0,0,0
12-V.Jefferson,00-0036415,Van Jefferson,LA,100,85,15.2%,10.9%,44,369,3,55%,24,1.6,0,2,18
17-M.Hardman,00-0035140,Mecole Hardman,KC,97,100,24.3%,25.3%,34,297,4,74%,25,6.4,0,0,0
18-I.Hodgins,00-0036165,Isaiah Hodgins,2TM,96,109,12.1%,15.3%,48,392,4,77%,37,2.4,1,1,9
14-C.Sutton,00-0034348,Courtland Sutton,DEN,93,108,-1.8%,-0.1%,109,829,2,59%,64,2.3,0,5,122
6-I.McKenzie,00-0033466,Isaiah McKenzie,BUF,93,80,5.2%,2.8%,65,423,4,65%,42,3.0,0,1,21
10-T.Smith,00-0034765,Tre'Quan Smith,NO,90,90,29.6%,29.4%,27,278,1,70%,19,3.5,0,0,0
7-Z.Jones,00-0033891,Zay Jones,JAC,89,88,-3.4%,-3.5%,121,834,5,68%,82,3.6,0,1,7
5-J.Palmer,00-0036988,Josh Palmer,LAC,87,92,-2.6%,-2.0%,107,769,3,67%,72,3.5,1,5,101
11-K.Raymond,00-0032464,Kalif Raymond,DET,86,70,5.1%,1.8%,64,616,0,73%,47,4.6,1,0,0
88-T.Marshall,00-0036955,Terrace Marshall,CAR,85,80,10.5%,9.0%,47,490,1,60%,28,4.7,1,1,27
1-D.Carter,00-0031763,DeAndre Carter,LAC,82,73,2.7%,1.0%,65,538,3,71%,46,4.5,1,1,11
85-N.Brown,00-0033591,Noah Brown,DAL,80,73,0.8%,-0.5%,74,555,3,58%,43,3.0,1,3,67
13-M.Thomas,00-0032765,Michael Thomas,NO,78,78,31.1%,31.2%,22,171,3,73%,16,1.3,0,0,0
8-J.Reynolds,00-0033943,Josh Reynolds,DET,74,78,1.6%,2.4%,59,479,3,64%,38,3.0,0,2,7
11-M.Valdes-Scantling,00-0034272,Marquez Valdes-Scantling,KC,73,70,-1.4%,-1.9%,81,687,2,52%,42,2.9,0,1,9
17-R.Gage,00-0034411,Russell Gage,TB,71,75,0.0%,0.8%,70,426,5,73%,51,3.4,1,0,0
17-K.Osborn,00-0036345,K.J. Osborn,MIN,69,76,-2.9%,-1.9%,90,650,5,67%,60,5.0,1,1,13
14-C.Godwin,00-0033921,Chris Godwin,TB,64,75,-7.0%,-6.1%,143,1023,3,73%,104,4.9,2,0,0
17-G.Wilson,00-0037740,Garrett Wilson,NYJ,64,71,-7.2%,-6.6%,147,1103,4,56%,83,4.6,1,4,71
10-C.Samuel,00-0033282,Curtis Samuel,WAS,61,56,-4.2%,-4.9%,92,656,4,70%,64,4.5,0,1,17
83-J.Nailor,00-0037291,Jalen Nailor,MIN,61,64,42.4%,45.3%,13,179,1,69%,9,7.4,0,0,0
16-A.Dulin,00-0035021,Ashton Dulin,IND,59,62,21.0%,22.8%,22,207,1,68%,15,2.3,0,0,0
3-R.McCloud,00-0034407,Ray-Ray McCloud,SF,53,59,17.0%,19.9%,25,243,1,56%,14,6.6,0,0,0
12-K.Hodge,00-0034854,KhaDarel Hodge,ATL,52,50,26.2%,24.6%,20,202,1,65%,13,4.7,0,0,0
14-D.Metcalf,00-0035640,DK Metcalf,SEA,52,53,-7.9%,-7.9%,141,1048,6,64%,90,2.4,2,2,37
14-D.Byrd,00-0031868,Damiere Byrd,ATL,51,55,18.3%,20.6%,23,268,2,57%,13,8.1,0,0,0
8-N.Harry,00-0035624,N'Keal Harry,CHI,51,53,55.3%,57.4%,9,116,1,78%,7,2.3,0,1,6
9-K.Hinton,00-0035864,Kendall Hinton,DEN,50,59,7.6%,11.2%,33,311,0,73%,24,5.8,0,0,0
15-T.Atwell,00-0036849,Tutu Atwell,LA,48,44,3.9%,2.6%,35,298,1,51%,18,3.3,0,2,81
18-R.Cobb,00-0028002,Randall Cobb,GB,47,50,-0.9%,-0.1%,50,417,1,68%,34,5.4,1,1,11
19-K.Toney,00-0036913,Kadarius Toney,2TM,44,47,14.2%,16.2%,20,171,2,80%,16,6.8,0,0,0
13-B.Cooks,00-0031236,Brandin Cooks,HOU,44,47,-6.9%,-6.4%,93,699,3,61%,57,3.6,0,3,58
