TEam,Val
DET,9.6
PHI,9.2
ATL,8.6
KC,8.6
CLE,8.6
IND,8.4
NYJ,6.8
LA,6.2
HOU,5.9
LAC,5.9
BUF,5.7
GB,5.7
MIN,5.7
CIN,5.5
SF,5.3
DAL,4.8
CHI,4.7
DEN,4.3
BAL,4.2
TB,4.2
PIT,4.1
MIA,4.0
LV,3.7
JAC,3.4
CAR,3.2
SEA,1.6
ARI,1.6
NO,1.4
TEN,1.2
NE,1.1
WAS,0.8
NYG,0.8
