Darnell Mooney,CHI,1,-1,0.459,-1.303,1,2,0,0,2022
Olamide Zaccheaus,ATL,1,1,-0.306,-0.286,2,7,0,0,2022
Adam Thielen,MIN,1,1,-0.255,-0.063,1,4,0,0,2022
Brandin Cooks,HOU,0,1,-0.384,-0.337,2,7,0,0,2022
Donovan Peoples-Jones,CLE,0,-1,-0.413,-0.577,1,2,0,0,2022
Marquise Goodwin,SEA,-1,0,-0.458,-0.334,2,5,0,0,2022
Jaelon Darden,TB,-1,-1,-0.515,-0.555,1,2,0,0,2022
Foster Moreau,LV,-1,-2,-2.015,-2.456,1,5,0,0,2022
Andy Isabella,BAL,-1,-4,-0.624,-1.118,1,1,0,0,2022
Deebo Samuel,SF,-2,7,-0.394,-0.356,42,232,3,3,2022
Ihmir Smith-Marsette,CHI,-2,-2,-1.101,-1.088,1,-1,0,0,2022
Zach Pascal,PHI,-3,-7,-0.688,-1.005,1,0,0,0,2022
Marquise Brown,ARI,-4,-4,-0.972,-1.068,1,1,0,0,2022
Kylen Granson,IND,-4,-4,-0.886,-1.008,1,0,0,0,2022
Zay Jones,JAC,-4,-3,-0.518,-0.485,4,18,0,0,2022
Gerald Everett,LAC,-5,-4,-1.291,-1.073,1,0,0,0,2022
Chris Godwin,TB,-6,-6,-0.893,-0.893,3,5,0,0,2022
Elijah Moore,NYJ,-6,-4,-0.591,-0.519,5,5,0,0,2022
Stefon Diggs,BUF,-7,-8,-1.564,-1.762,1,-3,0,0,2022
Marquez Valdes-Scantling,KC,-8,-7,-2.038,-1.96,1,-3,0,0,2022
Chris Moore,HOU,-8,-8,-0.917,-0.904,3,3,0,0,2022
Michael Woods,CLE,-8,-9,-2.722,-2.859,1,-5,0,0,2022
Wan'Dale Robinson,NYG,-10,-9,-1.346,-1.225,2,-1,0,0,2022
Ja'Marr Chase,CIN,-10,-12,-0.725,-0.785,5,8,0,0,2022
Davante Adams,LV,-11,-13,-1.032,-1.187,3,-1,0,0,2022
Allen Lazard,GB,-11,-9,-1.187,-1.033,2,0,0,0,2022
Jakobi Meyers,NE,-12,-12,-1.277,-1.296,3,1,0,1,2022
Jahan Dotson,WAS,-12,-13,-1.48,-1.566,2,-7,0,0,2022
Terry McLaurin,WAS,-12,-7,-0.698,-0.559,7,29,0,1,2022
Quez Watkins,PHI,-13,-13,-1.116,-1.087,3,1,0,0,2022
Jonnu Smith,NE,-14,-15,-1.531,-1.612,1,5,0,1,2022
Chigoziem Okonkwo,TEN,-17,-16,-1.635,-1.515,3,2,0,0,2022
David Njoku,CLE,-17,-17,-2.059,-1.989,2,-8,0,0,2022
DeAndre Carter,LAC,-18,-22,-2.118,-2.514,2,-15,0,0,2022
Garrett Wilson,NYJ,-29,-30,-1.737,-1.781,4,4,0,1,2022
Rondale Moore,ARI,-30,-31,-1.138,-1.169,6,-5,0,0,2022
Breshad Perriman,TB,-36,-35,-3.378,-3.277,2,-19,0,1,2022
