Breece Hall,NYJ,20,17,-0.016,-0.035,31,218,1,0.61,19,8.7,1,0,0,2022
James Robinson,-,20,22,0.082,0.107,14,51,2,0.79,11,5.7,0,0,0,2022
Patrick Ricard,BAL,19,16,0.164,0.115,13,74,0,0.85,11,6.5,0,0,0,2022
Ronnie Rivers,LA,19,11,0.532,0.248,5,29,0,1,5,11,0,0,0,2022
Alexander Mattison,MIN,19,17,0.076,0.056,18,91,1,0.83,15,8.1,0,0,0,2022
Darrynton Evans,CHI,18,17,2.353,2.238,1,33,0,1,1,31,0,0,0,2022
Marlon Mack,DEN,16,26,0.22,0.46,10,99,1,0.8,8,14.3,0,0,0,2022
Julius Chestnut,TEN,16,15,0.934,0.899,3,41,0,1,3,13,0,0,0,2022
Zonovan Knight,NYJ,15,21,0.045,0.124,14,100,0,0.93,13,10.2,1,0,0,2022
Kareem Hunt,CLE,14,5,-0.079,-0.116,44,210,1,0.8,35,6.7,0,1,5,2022
Najee Harris,PIT,14,9,-0.098,-0.111,54,229,3,0.77,41,4.9,1,0,0,2022
Brian Robinson,WAS,13,13,0.043,0.048,12,60,1,0.75,9,8,0,0,0,2022
Ronald Jones,KC,11,13,1.404,1.681,1,22,0,1,1,23,0,0,0,2022
Malcolm Brown,LA,11,8,0.136,0.078,6,37,0,0.83,5,7.4,0,0,0,2022
Gary Brightwell,NYG,10,13,0.068,0.137,8,39,0,0.63,5,7,0,0,0,2022
Trayveon Williams,CIN,10,10,0.606,0.604,3,30,0,0.67,2,4,0,0,0,2022
Kene Nwangwu,MIN,10,13,0.49,0.691,2,21,0,1,2,10.5,0,0,0,2022
Patrick Taylor,GB,10,11,1.897,2.216,1,17,0,1,1,17,0,0,0,2022
Larry Rountree,LAC,9,7,0.998,0.724,2,14,0,1,2,15.5,0,0,0,2022
Ty Montgomery,NE,8,12,0.286,0.466,4,15,1,0.75,3,2.3,0,0,0,2022
Eno Benjamin,-,7,24,-0.101,-0.013,34,193,0,0.74,25,9.4,0,0,0,2022
Benny Snell,PIT,7,6,0.692,0.612,2,17,0,1,2,9,0,0,0,2022
J.J. Taylor,NE,6,5,1.078,0.936,1,8,0,1,1,5,0,0,0,2022
Antonio Williams,ATL,5,-2,-0.076,-0.166,14,61,0,0.93,13,6.5,0,0,0,2022
Pierre Strong,NE,5,11,-0.012,0.141,7,42,0,1,7,5.4,0,0,0,2022
Anthony McFarland,PIT,5,5,0.362,0.433,2,11,0,1,2,7.5,0,0,0,2022
Kenneth Walker,SEA,4,-7,-0.115,-0.177,35,165,0,0.77,27,8.2,0,0,0,2022
Salvon Ahmed,MIA,4,4,0.506,0.613,1,8,0,1,1,7,0,0,0,2022
Dwayne Washington,NO,4,4,0.481,0.464,1,7,0,1,1,6,0,0,0,2022
Ke'Shawn Vaughn,TB,2,-2,-0.038,-0.217,4,19,0,0.75,3,9.7,0,0,0,2022
Andrew Beck,DEN,2,7,-0.117,-0.05,11,69,0,0.45,5,9.4,0,1,12,2022
