Patrick Mahomes,KC,357.492704387003,288.073871808632,0.406213244962428,0.305706084351662,105,697,4,0,0,0,0,70,0.686274509803922,5.0285714285714285,1,3,3.8,Playoffs
Jared Goff,DET,336.27377262777,300.669692989389,0.303294885039081,0.259390049392527,118,792,4,1,1,0,0,77,0.693693693693694,5.714285714285714,0,0,-1.48,Playoffs
Jordan Love,GB,288.172499457928,238.295784042071,0.665546657629603,0.531077033585369,55,466,5,2,0,0,2,37,0.672727272727273,5.45945945945946,3,61,7.17647058823529,Playoffs
C.J. Stroud,HOU,283.885958415224,180.857999374747,0.755296668595557,0.440762910649328,54,439,3,0,0,0,0,35,0.660377358490566,7.142857142857143,1,12,4.94117647058824,Playoffs
Josh Allen,BUF,193.564969419696,135.947014527257,0.312192868478758,0.186109701103905,71,375,4,0,0,0,0,47,0.681159420289855,6,0,0,0.0625,Playoffs
Matthew Stafford,LA,187.662611000478,198.791396199453,0.632918418688063,0.677056749660719,38,357,2,0,0,0,0,25,0.694444444444444,8.28,1,9,7.6,Playoffs
Brock Purdy,SF,103.565398186356,134.380852873434,0.113527761959283,0.180447524386129,72,503,2,1,0,0,1,43,0.623188405797101,5.511627906976744,0,0,5.52941176470588,Playoffs
Baker Mayfield,TB,92.6591727854129,150.994388976228,0.0545400409814569,0.158996639382155,85,626,6,2,0,0,2,48,0.623376623376623,7.1875,0,0,0.4375,Playoffs
Mason Rudolph,PIT,66.296146769957,39.3460906883443,0.149618421664539,0.0435207485064708,39,218,2,1,0,0,1,22,0.578947368421053,4.5,1,9,1.7,Playoffs
Lamar Jackson,BAL,55.1050683961502,38.1669629422706,0.0111226703896986,-0.0265313698516958,66,378,3,2,0,1,1,36,0.610169491525424,4.75,0,0,-0.4,Playoffs
Jalen Hurts,PHI,13.1037720505949,14.7280774707302,-0.0519332772582516,-0.0445646884834753,38,220,1,0,0,0,0,25,0.735294117647059,4.08,1,4,-3.25,Playoffs
Dak Prescott,DAL,8.35560252332526,57.8028461938151,-0.0935954496412462,0.0116388207306421,64,387,3,2,0,0,2,41,0.683333333333333,3.951219512195122,0,0,-0.636363636363636,Playoffs
Davis Mills,HOU,0.21303919191874,-0.208443186185567,-0.0668436543967846,-0.154951488260168,1,6,0,0,0,0,0,1,1,6,0,0,-9,Playoffs
Tua Tagovailoa,MIA,-45.6044729485297,-81.6826370146602,-0.292633871192856,-0.43602727894578,41,188,1,1,0,0,1,20,0.512820512820513,4.5,0,0,-4.375,Playoffs
Joe Flacco,CLE,-103.808089288172,-66.7418260932453,-0.423911417570367,-0.312316572066499,50,268,1,2,0,0,2,34,0.739130434782609,3.823529411764706,0,0,0.222222222222222,Playoffs
