Romeo Doubs,GB,123.261704181595,118.054591176873,1.05465011371749,1.00474841587322,12,234,1,0.833333333333333,10,7.6,0,1,13,Playoffs
Puka Nacua,LA,86.8666067112438,94.9413207137364,0.843426197234121,0.933596470579476,10,181,1,0.9,9,11.4444444444444,0,1,9,Playoffs
Nico Collins,HOU,78.1431356805376,56.6792220768864,0.519664142314057,0.342148516116981,17,164,1,0.647058823529412,11,8.36363636363636,0,0,0,Playoffs
Amon-Ra St. Brown,DET,68.1488094876278,63.8238806831549,0.129270267054903,0.113031170725517,34,274,1,0.647058823529412,22,5.59090909090909,0,0,0,Playoffs
Rashee Rice,KC,63.6357856951003,52.9971020889389,0.197584377816448,0.143384861165878,25,223,1,0.8,20,8.1,1,1,3,Playoffs
Michael Gallup,DAL,43.527754508365,49.1498766058379,0.786961804633668,0.904960694666314,6,103,0,1,6,6.16666666666667,0,0,0,Playoffs
Khalil Shakir,BUF,41.1186188329924,32.8442170577909,0.299532910000259,0.213778595467467,12,75,2,0.833333333333333,10,5.3,0,0,0,Playoffs
Marquez Valdes-Scantling,KC,38.6184224884022,31.8201076335312,0.48843707476268,0.380164884617504,8,108,0,0.625,5,2.2,0,0,0,Playoffs
David Moore,TB,37.9508961916861,41.3519209500009,1.2507207561192,1.37415248595464,4,77,1,0.75,3,14,0,0,0,Playoffs
Trey Palmer,TB,34.8346594035732,36.1972015044528,0.880567898736354,0.919963311942987,4,88,1,0.75,3,20,0,0,0,Playoffs
Bo Melton,GB,33.911791401852,33.6286436784997,1.03628842628096,1.02657874248373,3,26,1,0.666666666666667,2,0.5,0,1,41,Playoffs
Zay Flowers,BAL,32.6193153148118,26.8582121620585,0.182628667029153,0.128011619195683,13,156,1,0.692307692307692,9,5.33333333333333,1,0,0,Playoffs
Mike Evans,TB,31.9206684518163,43.6496782898766,0.0991214210249154,0.182065682840393,19,195,1,0.578947368421053,11,3.18181818181818,0,0,0,Playoffs
Deebo Samuel,SF,28.192536893216,32.1376766574848,0.21037918550428,0.257536332332655,11,113,0,0.909090909090909,10,8.8,0,0,0,Playoffs
Josh Reynolds,DET,28.0692007309139,27.7572825053652,0.121363529213578,0.118607901516484,14,132,1,0.571428571428571,8,4.5,0,0,0,Playoffs
Jameson Williams,DET,27.4477461045236,28.3953364751494,0.244404125765901,0.257212895322556,9,79,1,0.666666666666667,6,0.666666666666667,0,0,0,Playoffs
Tutu Atwell,LA,24.9524662441059,25.86584941746,3.04272468583066,3.15873804090589,1,38,1,1,1,22,0,0,0,Playoffs
Amari Cooper,CLE,21.6923277431538,25.9207431175014,0.358392533659645,0.452933013133775,5,59,0,0.8,4,1.75,0,0,0,Playoffs
Diontae Johnson,PIT,21.420997976427,19.3000496115364,0.191890053138192,0.160354284685865,7,48,1,0.571428571428571,4,4.5,0,1,9,Playoffs
John Metchie,HOU,21.3944235062511,17.1372400640248,0.84366082508958,0.650590333622805,3,44,0,1,3,5,0,0,0,Playoffs
DeVonta Smith,PHI,19.4204416392068,23.1556134979784,0.0891001858284099,0.130588647087648,12,148,0,0.666666666666667,8,5.375,0,0,0,Playoffs
Jauan Jennings,SF,18.8304984880894,22.6561409954125,0.168381993958181,0.228313693061887,8,69,0,0.75,6,2.66666666666667,0,0,0,Playoffs
Deonte Harty,BUF,14.4544623740537,12.0316129114685,0.780068083831407,0.628090743234144,2,37,0,1,2,14,0,0,0,Playoffs
River Cracraft,MIA,14.4454460043825,9.75586787137373,0.498660204139552,0.295671278784265,3,33,0,0.666666666666667,2,7,0,0,0,Playoffs
Calvin Austin,PIT,10.3911471135964,9.47735915481017,0.553686361842739,0.4938614963375,2,7,1,0.5,1,1,0,0,0,Playoffs
Dontayvion Wicks,GB,9.70380219658158,6.62689157457677,0.18072652252693,0.0832745217389424,4,25,1,0.5,2,0,0,0,0,Playoffs
Christian Watson,GB,5.88609545232826,3.17900963309072,0.0664401427480655,-0.022347115921796,3,20,0,0.666666666666667,2,8,0,1,7,Playoffs
Chris Conley,SF,5.82564059552828,7.83693960037484,0.608274955165605,0.861994445322893,1,17,0,1,1,0,0,0,0,Playoffs
David Bell,CLE,3.90248409357979,12.3730396972426,-0.0567949525214205,0.0947480274042384,8,54,0,1,8,1.875,0,0,0,Playoffs
Nelson Agholor,BAL,3.32332853110717,4.00794249666049,-0.0705295141699218,-0.0589762633988553,7,51,1,0.428571428571429,3,7.66666666666667,0,0,0,Playoffs
Brandin Cooks,DAL,2.0094354370758,9.05170573902663,-0.0968440253416948,0.00748288263981867,8,47,0,0.75,6,0.166666666666667,0,0,0,Playoffs
Jaylen Waddle,MIA,0.491470933026687,-5.70285699002905,-0.113779001257571,-0.275528903553116,5,31,0,0.4,2,0,0,0,0,Playoffs
Tyreek Hill,MIA,0.347243434382917,-8.77306653585767,-0.12120812154723,-0.263155534623543,8,62,1,0.625,5,6.2,0,0,0,Playoffs
Demarcus Robinson,LA,-0.390069862200136,4.47683792142613,-0.135892991552791,-0.0201011113717839,6,44,0,0.5,3,0.666666666666667,0,0,0,Playoffs
Rashod Bateman,BAL,-1.45502632283311,-3.94805518620878,-0.158517000299097,-0.213181749231172,6,41,0,0.666666666666667,4,1.25,0,0,0,Playoffs
Justin Watson,KC,-2.08283153839272,-2.18502179366801,-0.180101330580119,-0.182725656792466,5,36,0,0.6,3,2,0,0,0,Playoffs
Elijah Moore,CLE,-2.11537077454252,-0.798088372211419,-0.282751581621401,-0.185520795496073,2,12,0,1,2,4.5,0,0,0,Playoffs
