rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_ppr
1,15048,Travis Kelce,KC,TE,5,NO,6.8,5.0,73.5,53.1,0.5,7.8,10.6,0.1,0.2,4.0,0.0,0.1,0.1,13.1
2,19063,George Kittle,SF,TE,5,ARI,5.8,4.4,75.9,58.5,0.4,10.1,13.3,0.1,0.3,4.3,0.0,0.1,0.1,12.5
3,23251,Trey McBride,ARI,TE,5,SF,6.9,4.5,65.2,44.1,0.3,6.4,9.8,0.0,0.0,,0.0,0.1,0.1,10.5
4,24943,Brock Bowers,LV,TE,5,DEN,5.8,4.0,69.0,44.0,0.3,7.6,11.0,0.0,0.0,,0.0,0.1,0.1,10.0
5,23138,Jake Ferguson,DAL,TE,5,PIT,5.4,4.0,74.1,40.9,0.3,7.6,10.2,0.0,0.0,,0.0,0.1,0.1,9.7
6,24102,Dalton Kincaid,BUF,TE,5,HOU,5.7,4.0,70.2,40.2,0.3,7.1,10.1,0.0,0.0,,0.0,0.1,0.1,9.6
7,18912,Evan Engram,JAC,TE,5,IND,5.6,3.5,62.5,33.5,0.2,6.0,9.6,0.0,0.0,,0.0,0.1,0.1,7.8
8,20753,Noah Fant,SEA,TE,5,NYG,4.1,3.0,73.2,30.8,0.2,7.5,10.3,0.0,0.0,,0.0,0.0,0.0,7.3
9,21772,Cole Kmet,CHI,TE,5,CAR,4.2,3.1,73.8,31.7,0.2,7.5,10.2,0.0,0.0,,0.0,0.1,0.1,7.3
10,22508,Kyle Pitts,ATL,TE,5,TB,4.2,2.7,64.3,33.3,0.2,7.9,12.3,0.0,0.0,,0.0,0.0,0.0,7.2
11,18876,David Njoku,CLE,TE,5,WAS,5.4,3.0,55.6,32.2,0.2,6.0,10.7,0.0,0.0,,0.0,0.1,0.1,7.2
12,22507,Pat Freiermuth,PIT,TE,5,DAL,4.4,3.0,68.2,31.1,0.2,7.1,10.4,0.0,0.0,,0.0,0.1,0.1,7.1
13,19853,Mike Gesicki,CIN,TE,5,BAL,3.8,2.8,73.7,29.4,0.2,7.7,10.5,0.0,0.0,,0.0,0.0,0.0,6.9
14,24118,Tucker Kraft,GB,TE,5,LA,3.7,2.8,75.7,29.3,0.2,7.9,10.5,0.0,0.0,,0.0,0.0,0.0,6.9
