rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
80,16041,Jimmy Garoppolo,LA,QB,5,GB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
81,20283,Tim Boyle,MIA,QB,5,NE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
82,19029,Nathan Peterman,ATL,QB,5,TB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
83,24351,Stetson Bennett,LA,QB,5,GB,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
84,24983,Michael Pratt,TB,QB,5,ATL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
85,24476,Sean Clifford,GB,QB,5,LA,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
86,22494,Kyle Trask,TB,QB,5,ATL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
87,25111,Devin Leary,BAL,QB,5,CIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
88,23230,Dorian Thompson-Robinson,CLE,QB,5,WAS,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
89,23182,Kedon Slovis,HOU,QB,5,BUF,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
90,16763,Marcus Mariota,WAS,QB,5,CLE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
91,18123,Jeff Driskel,WAS,QB,5,CLE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
92,25109,Sam Hartman,WAS,QB,5,CLE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
93,21810,Tyler Huntley,BAL,QB,5,CIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
94,20055,Logan Woodside,CIN,QB,5,BAL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
95,25358,Tanner Mordecai,SF,QB,5,ARI,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
