PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Opp.,Rush Att.,Rush Yd.,Rush TD,Fum.,Tgt,Rec.,Rec Yd.,Rec TD,FPTS
Marcedes Lewis,TE,CHI,CAR,,,,,,0.1,0.8,0.04,0.4
Tanner Conner,TE,MIA,NE,,,,,0.3,0.2,2.3,0.01,0.4
Tip Reiman,TE,AZ,SF,,,,,0.3,0.2,2.4,0.01,0.4
Davis Allen,TE,LAR,GB,,,,,,0.2,2,0.02,0.4
Jared Wiley,TE,KC,NO,,,,,,0.2,2.1,0.02,0.4
Robert Tonyan,TE,MIN,NYJ,,,,,,0.1,1,0.01,0.2
Quintin Morris,TE,BUF,HOU,,,,,,0.1,1,0.01,0.2
Jordan Matthews,TE,CAR,CHI,,,,,,0.1,1,0.01,0.2
Jaheim Bell,TE,NE,MIA,,,,,,0.1,1,0.01,0.2
Jake Tonges,TE,SF,AZ,,,,,,0.1,1,0.01,0.2
Ben Sims,TE,GB,LAR,,,,,,0.1,1,0.01,0.2
Chris Manhertz,TE,NYG,SEA,,,,,0.2,0.1,1.2,0.01,0.2
Brady Russell,TE,SEA,NYG,,,,,,0.1,1,0.01,0.2
Brevyn Spann-Ford,TE,DAL,PIT,,,,,,0.1,1,0.01,0.2
MyCole Pruitt,TE,PIT,DAL,,,,,,0.1,1,0.01,0.2
