rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_ppr
1,21679,CeeDee Lamb,DAL,WR,5,PIT,9.1,5.8,63.7,77.3,0.4,8.5,13.3,1.4,5.9,4.2,0.1,0.1,0.1,16.9
2,21756,Nico Collins,HOU,WR,5,BUF,7.9,5.6,70.9,81.5,0.5,10.3,14.6,0.1,0.4,4.0,0.0,0.1,0.1,16.6
3,21685,Justin Jefferson,MIN,WR,5,NYJ,9.7,5.6,57.7,78.9,0.4,8.1,14.1,0.2,0.8,4.0,0.0,0.1,0.1,15.8
4,20932,Deebo Samuel Sr.,SF,WR,5,ARI,5.7,4.4,77.2,61.8,0.4,10.8,14.0,3.0,16.4,5.5,0.2,0.1,0.1,15.6
5,22564,Ja'Marr Chase,CIN,WR,5,BAL,8.1,5.6,69.1,74.7,0.4,9.2,13.3,0.1,0.5,5.0,0.0,0.1,0.1,15.3
6,20875,DK Metcalf,SEA,WR,5,NYG,7.1,4.8,67.6,69.2,0.5,9.7,14.4,0.1,0.2,4.0,0.0,0.1,0.1,14.5
7,18880,Chris Godwin,TB,WR,5,ATL,7.9,5.5,69.6,65.6,0.4,8.3,11.9,0.2,1.3,6.5,0.0,0.1,0.1,14.4
8,23151,Drake London,ATL,WR,5,TB,7.7,5.2,67.5,64.9,0.4,8.4,12.5,0.1,0.4,4.0,0.0,0.1,0.1,13.9
9,16906,Stefon Diggs,HOU,WR,5,BUF,7.7,5.3,68.8,61.6,0.4,8.0,11.6,0.1,1.1,11.0,0.0,0.1,0.1,13.8
10,23122,Garrett Wilson,NYJ,WR,5,MIN,7.4,5.1,68.9,62.6,0.4,8.5,12.3,0.1,1.3,13.0,0.0,0.1,0.1,13.7
11,21077,Diontae Johnson,CAR,WR,5,CHI,7.7,5.3,68.8,60.2,0.4,7.8,11.4,0.1,0.4,4.0,0.0,0.1,0.1,13.6
12,23120,Zay Flowers,BAL,WR,5,CIN,7.5,5.0,66.7,58.6,0.4,7.8,11.7,0.8,3.7,4.6,0.0,0.1,0.1,13.4
13,16597,Mike Evans,TB,WR,5,ATL,7.4,4.4,59.5,61.4,0.5,8.3,14.0,0.1,0.2,4.0,0.0,0.1,0.1,13.4
14,21747,Brandon Aiyuk,SF,WR,5,ARI,6.6,4.3,65.2,62.3,0.5,9.4,14.5,0.1,0.2,4.0,0.0,0.1,0.1,13.3
15,23233,Jayden Reed,GB,WR,5,LA,6.2,4.2,67.7,55.6,0.4,9.0,13.2,1.5,7.6,5.1,0.1,0.1,0.1,13.3
16,18082,Tyreek Hill,MIA,WR,5,NE,7.6,4.6,60.5,61.0,0.4,8.0,13.3,0.7,2.7,3.9,0.0,0.1,0.1,13.2
17,16765,Amari Cooper,CLE,WR,5,WAS,7.4,4.6,62.2,62.3,0.4,8.4,13.5,0.1,0.2,4.0,0.0,0.1,0.1,13.1
18,24974,Marvin Harrison Jr.,ARI,WR,5,SF,7.1,4.4,62.0,63.8,0.4,9.0,14.5,0.1,0.6,6.0,0.0,0.1,0.1,13.0
19,23157,Jaxon Smith-Njigba,SEA,WR,5,NYG,7.1,5.1,71.8,55.9,0.4,7.9,11.0,0.1,0.4,4.0,0.0,0.1,0.1,12.9
20,24953,Malik Nabers,NYG,WR,5,SEA,9.0,4.6,51.1,57.4,0.4,6.4,12.5,0.2,1.0,5.0,0.0,0.1,0.1,12.6
21,21690,Tee Higgins,CIN,WR,5,BAL,6.9,4.3,62.3,61.1,0.4,8.9,14.2,0.1,0.2,4.0,0.0,0.1,0.1,12.6
22,22565,Chris Olave,NO,WR,5,KC,7.7,4.7,61.0,61.8,0.3,8.0,13.1,0.1,0.6,4.0,0.0,0.1,0.1,12.5
23,19844,DJ Moore,CHI,WR,5,CAR,7.0,4.4,62.9,56.6,0.4,8.1,12.9,0.3,2.1,7.0,0.0,0.1,0.1,12.5
24,23153,George Pickens,PIT,WR,5,DAL,6.8,4.2,61.8,63.9,0.3,9.4,15.2,0.2,1.2,6.0,0.0,0.1,0.1,12.3
25,15076,Keenan Allen,CHI,WR,5,CAR,7.1,4.7,66.2,52.8,0.4,7.4,11.2,0.1,0.4,4.0,0.0,0.1,0.1,12.2
26,21744,Michael Pittman Jr.,IND,WR,5,JAC,7.0,4.7,67.1,54.9,0.3,7.8,11.7,0.1,0.2,4.0,0.0,0.1,0.1,11.8
27,23170,Wan'Dale Robinson,NYG,WR,5,SEA,6.1,4.9,80.3,47.7,0.3,7.8,9.7,0.7,3.4,4.9,0.0,0.1,0.1,11.6
28,19815,Christian Kirk,JAC,WR,5,IND,6.5,4.4,67.7,54.8,0.3,8.4,12.5,0.2,0.7,3.5,0.0,0.1,0.1,11.6
