rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
1,18878,Alvin Kamara,NO,RB,5,KC,18.5,68.8,3.7,0.5,3.8,3.7,27.7,0.1,0.1,0.1,16.8
2,23212,Kyren Williams,LA,RB,5,GB,19.0,76.6,4.0,0.7,3.0,2.5,18.2,0.1,0.1,0.1,16.6
3,23189,Bijan Robinson,ATL,RB,5,TB,14.2,67.5,4.8,0.5,4.6,3.6,27.6,0.1,0.1,0.1,16.5
4,23364,Jordan Mason,SF,RB,5,ARI,20.5,86.9,4.2,0.7,1.8,1.6,11.4,0.1,0.0,0.0,16.2
5,22526,Breece Hall,NYJ,RB,5,MIN,12.9,58.8,4.6,0.4,4.4,3.7,27.6,0.1,0.1,0.1,15.1
6,19045,Aaron Jones,MIN,RB,5,NYJ,15.3,63.6,4.2,0.4,3.6,2.9,21.5,0.2,0.1,0.1,14.8
7,17959,Derrick Henry,BAL,RB,5,CIN,17.9,79.0,4.4,0.7,1.4,1.2,9.3,0.1,0.1,0.1,14.6
8,24179,De'Von Achane,MIA,RB,5,NE,11.6,56.4,4.9,0.4,4.8,3.5,26.1,0.1,0.1,0.1,14.6
9,20824,Josh Jacobs,GB,RB,5,LA,14.8,68.2,4.6,0.5,3.3,2.5,17.8,0.1,0.1,0.1,14.5
10,18858,Joe Mixon,HOU,RB,5,BUF,14.1,60.5,4.3,0.4,3.5,2.8,20.7,0.1,0.1,0.1,13.7
11,21696,Travis Etienne Jr.,JAC,RB,5,IND,13.1,56.9,4.3,0.4,3.9,2.9,22.3,0.1,0.1,0.1,13.6
12,23214,Kenneth Walker III,SEA,RB,5,NYG,14.9,66.4,4.5,0.5,2.2,1.9,14.2,0.1,0.1,0.1,13.4
13,21682,Jonathan Taylor,IND,RB,5,JAC,12.0,67.0,5.6,0.5,2.5,1.7,13.1,0.1,0.1,0.1,13.1
14,22546,Rhamondre Stevenson,NE,RB,5,MIA,15.7,61.2,3.9,0.4,3.6,2.4,17.8,0.1,0.1,0.1,13.1
15,23190,Brian Robinson Jr.,WAS,RB,5,CLE,15.9,63.4,4.0,0.5,2.5,1.9,14.6,0.1,0.1,0.1,13.1
16,18983,James Conner,ARI,RB,5,SF,14.9,64.7,4.3,0.5,2.0,1.8,13.5,0.1,0.1,0.1,13.0
17,23247,James Cook,BUF,RB,5,HOU,13.6,62.9,4.6,0.4,2.5,2.0,16.6,0.1,0.1,0.1,12.8
18,21768,Najee Harris,PIT,RB,5,DAL,17.0,64.2,3.8,0.4,2.1,1.8,13.6,0.1,0.1,0.1,12.4
19,18944,Kareem Hunt,KC,RB,5,NO,11.2,48.6,4.3,0.6,1.5,1.3,9.5,0.1,0.0,0.0,11.3
20,21691,Chuba Hubbard,CAR,RB,5,CHI,14.9,52.7,3.5,0.3,2.5,2.1,15.4,0.1,0.1,0.1,11.1
21,20941,Devin Singletary,NYG,RB,5,SEA,14.3,54.9,3.8,0.3,2.8,2.0,14.1,0.1,0.1,0.1,11.1
22,21784,Zack Moss,CIN,RB,5,BAL,10.2,42.6,4.2,0.4,2.3,2.2,15.8,0.1,0.0,0.0,11.0
23,21684,D'Andre Swift,CHI,RB,5,CAR,12.6,49.6,3.9,0.3,2.4,2.0,15.3,0.1,0.1,0.1,10.7
24,23217,Rachaad White,TB,RB,5,ATL,9.5,35.7,3.8,0.2,3.6,2.9,21.2,0.1,0.1,0.1,10.2
25,23205,Jerome Ford,CLE,RB,5,WAS,11.4,37.2,3.3,0.2,2.6,2.4,18.6,0.1,0.1,0.1,9.6
26,22558,Javonte Williams,DEN,RB,5,LV,11.1,38.7,3.5,0.2,2.4,2.3,15.5,0.1,0.0,0.0,9.5
27,21952,Rico Dowdle,DAL,RB,5,PIT,10.1,36.0,3.6,0.2,2.7,2.1,15.5,0.1,0.0,0.0,9.1
28,19798,Nick Chubb,CLE,RB,5,WAS,9.0,43.1,4.8,0.4,1.4,0.9,7.3,0.0,0.1,0.1,8.1
29,22539,Zamir White,LV,RB,5,DEN,12.7,45.6,3.6,0.3,1.5,1.1,7.6,0.0,0.1,0.1,8.0
30,24967,Bucky Irving,TB,RB,5,ATL,9.9,37.3,3.8,0.3,1.4,1.2,8.9,0.1,0.1,0.1,8.0
31,24374,Chase Brown,CIN,RB,5,BAL,7.3,30.1,4.1,0.2,2.1,1.7,12.8,0.1,0.0,0.0,7.8
32,23173,Zach Charbonnet,SEA,RB,5,NYG,6.1,25.3,4.1,0.2,2.5,2.0,14.3,0.1,0.1,0.1,7.6
33,24934,Braelon Allen,NYJ,RB,5,MIN,8.1,29.9,3.7,0.2,1.7,1.5,10.4,0.1,0.0,0.0,7.3
34,21852,Ty Chandler,MIN,RB,5,NYJ,7.1,30.3,4.3,0.2,2.4,1.5,11.4,0.1,0.1,0.1,7.3
35,20802,Justice Hill,BAL,RB,5,CIN,3.1,11.9,3.8,0.1,3.1,2.8,20.5,0.1,0.0,0.0,7.2
36,18993,Samaje Perine,KC,RB,5,NO,4.7,17.5,3.7,0.1,3.1,2.3,17.5,0.1,0.0,0.0,7.0
37,17217,Raheem Mostert,MIA,RB,5,NE,7.0,33.4,4.8,0.2,1.8,1.2,8.4,0.1,0.1,0.1,7.0
38,19562,Austin Ekeler,WAS,RB,5,CLE,3.0,17.9,6.0,0.2,3.4,2.0,15.5,0.1,0.1,0.1,6.9
39,24944,Jonathon Brooks,CAR,RB,5,CHI,6.0,29.0,4.8,0.2,2.1,1.4,10.3,0.1,0.1,0.1,6.9
