PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Opp.,Rush Att.,Rush Yd.,Rush TD,Fum.,Tgt,Rec.,Rec Yd.,Rec TD,FPTS
Ronnie Rivers,RB,LAR,GB,3.2,14,0.07,,0.3,0.2,1,0.01,2.1
Carson Steele,RB,KC,NO,2.3,9.3,0.08,,0.6,0.5,2.8,0.02,2.1
Dare Ogunbowale,RB,HOU,BUF,0.5,2.2,0.01,,1.4,1.2,8.6,0.04,2.0
D'Ernest Johnson,RB,JAX,IND,2.2,8.7,0.05,,0.6,0.4,3.2,0.02,1.8
Isaac Guerendo,RB,SF,AZ,2,8.2,0.07,,0.5,0.3,2.3,0.01,1.7
Khalil Herbert,RB,CHI,CAR,0.7,2.9,0.14,,,0.1,0.7,0.03,1.4
Deuce Vaughn,RB,DAL,PIT,1.4,5.4,0.03,,0.5,0.4,3.2,0.02,1.4
JaMycal Hasty,RB,NE,MIA,1.8,7.1,0.05,,0.4,0.2,1.2,0.01,1.3
Jeff Wilson Jr.,RB,MIA,NE,1.2,4.7,0.02,,,0.4,2.4,0.01,1.1
Ameer Abdullah,RB,LV,DEN,0.4,1.6,0.04,,0.4,0.3,2.3,0.06,1.1
Jeremy McNichols,RB,WAS,CLE,1.2,4.9,0.03,,0.3,0.2,1,0.01,0.9
Evan Hull,RB,IND,JAX,1.2,4.8,0.03,,,0.2,0.8,0.01,0.9
Jaylen Wright,RB,MIA,NE,1.4,5.6,0.03,,0.2,0.1,1.4,,0.9
Alec Ingold,FB,MIA,NE,1,3.1,0.02,,0.4,0.3,2,0.01,0.8
Michael Burton,FB,DEN,LV,,,,,0.6,0.5,2.8,0.05,0.8
Blake Watson,RB,DEN,LV,0.3,1.1,0.04,,,0.1,1.1,0.04,0.8
Blake Corum,RB,LAR,GB,1.1,4.3,0.03,,0.2,0.1,1.1,,0.8
Sean Tucker,RB,TB,ATL,0.4,1.7,0.04,,,0.2,0.8,0.02,0.7
Dameon Pierce,RB,HOU,BUF,0.9,3.4,0.02,,,0.2,0.9,0.01,0.7
Eric Gray,RB,NYG,SEA,0.8,3,0.02,,,0.2,1,0.01,0.7
C.J. Ham,FB,MIN,NYJ,,,,,0.3,0.3,1.8,0.05,0.6
Isaiah Davis,RB,NYJ,MIN,0.2,1,0.03,,0.1,0.1,1,0.03,0.6
Patrick Ricard,FB,BAL,CIN,,,,,,0.4,3,0.02,0.6
Gary Brightwell,RB,CLE,WAS,,,,,,0.1,1.1,0.06,0.5
Kendre Miller,RB,NO,KC,0.7,2.7,0.01,,,0.1,0.9,,0.5
Adam Prentice,FB,NO,KC,,,,,,0.3,2,0.01,0.4
Trayveon Williams,RB,CIN,BAL,,,,,,0.2,1.7,,0.3
Patrick Taylor Jr.,RB,SF,AZ,0.3,1,0.01,,,0.1,1,,0.3
Reggie Gilliam,FB,BUF,HOU,,,,,,0.1,1,,0.2
Chris Brooks,RB,GB,LAR,0.2,1,0.01,,,,,,0.2
Kenny McIntosh,RB,SEA,NYG,0.1,0.6,,,,0.1,0.6,,0.2
Jordan Mims,RB,NO,KC,0.4,1.2,,,,,,,0.1
