PLAYER INFO,PLAYER INFO,PLAYER INFO,PLAYER INFO,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS,STATS
Player,Position,Team,Opp.,Rush Att.,Rush Yd.,Rush TD,Fum.,Tgt,Rec.,Rec Yd.,Rec TD,FPTS
Keon Coleman,WR,BUF,HOU,0.1,0.5,,,4,2.5,32.5,0.2,5.8
Ja'Lynn Polk,WR,NE,MIA,,,,,5,2.7,32.5,0.2,5.8
Justin Watson,WR,KC,NO,,,,,3.7,2.3,33.5,0.21,5.8
Darius Slayton,WR,NYG,SEA,,,,,4.8,2.7,33.8,0.15,5.6
Jalen Tolbert,WR,DAL,PIT,,,,,4.1,2.6,32.3,0.17,5.5
Noah Brown,WR,WAS,CLE,,,,,3.5,2.2,28.2,0.23,5.3
DeMario Douglas,WR,NE,MIA,0.2,1,0.01,,4.2,2.5,26.1,0.16,5.0
Josh Reynolds,WR,DEN,LV,,,,,3.9,2.1,26.9,0.2,4.9
Lil'Jordan Humphrey,WR,DEN,LV,,,,,3.3,2.3,22,0.17,4.4
Mack Hollins,WR,BUF,HOU,,,,,2.9,1.8,24,0.16,4.3
Van Jefferson,WR,PIT,DAL,,,,,3.4,2,22.3,0.16,4.2
Curtis Samuel,WR,BUF,HOU,0.7,3.4,0.02,,2.7,1.8,17.1,0.15,4.0
Jalen McMillan,WR,TB,ATL,,,,,,1.5,20.6,0.18,3.9
K.J. Osborn,WR,NE,MIA,,,,,4,2.1,21,0.13,3.9
JuJu Smith-Schuster,WR,KC,NO,,,,,2.9,1.9,19.1,0.18,3.9
Jalen Nailor,WR,MIN,NYJ,,,,,2.2,1.3,18,0.17,3.5
Luke McCaffrey,WR,WAS,CLE,0.1,0.4,,,2.3,1.5,16.2,0.18,3.5
Nelson Agholor,WR,BAL,CIN,,,,,2.1,1.4,19.9,0.12,3.4
Calvin Austin III,WR,PIT,DAL,0.2,1,0.01,,2.6,1.6,18.1,0.11,3.4
Tyler Johnson,WR,LAR,GB,,,,,2.5,1.5,18,0.12,3.3
Troy Franklin,WR,DEN,LV,,,,,2.7,1.4,18,0.1,3.1
Adonai Mitchell,WR,IND,JAX,,,,,1.8,1,16,0.08,2.6
Mason Tipton,WR,NO,KC,,,,,2.1,1.4,14,0.07,2.5
Brandon Powell,WR,MIN,NYJ,0.2,0.9,0.01,,,1,11.1,0.09,2.3
Marquez Valdes-Scantling,WR,BUF,HOU,,,,,1.7,0.9,12.7,0.09,2.3
Mecole Hardman,WR,KC,NO,0.2,1,0.01,,1.7,1,11,0.09,2.3
Olamide Zaccheaus,WR,WAS,CLE,,,,,1.6,1,11.3,0.1,2.2
Parker Washington,WR,JAX,IND,,,,,1.6,1,11.4,0.09,2.2
Dyami Brown,WR,WAS,CLE,,,,,1.2,0.8,8.6,0.1,1.9
DJ Turner,WR,LV,DEN,0.2,1.1,0.03,,0.8,0.5,4.9,0.15,1.9
Jake Bobo,WR,SEA,NYG,0.1,0.6,,,1.3,0.8,10,0.08,1.9
KaVontae Turpin,WR,DAL,PIT,0.6,3.4,0.02,,0.9,0.6,8.4,0.05,1.9
Trey Palmer,WR,TB,ATL,,,,,0.8,0.5,6.8,0.14,1.8
Braxton Berrios,WR,MIA,NE,,,,,1.4,0.9,10.6,0.05,1.8
Malik Washington,WR,MIA,NE,0.3,2.1,0.01,,1.3,0.7,9.2,0.05,1.8
Xavier Gipson,WR,NYJ,MIN,0.1,0.5,0.01,,1,0.6,7.2,0.08,1.6
Cedric Tillman,WR,CLE,WAS,,,,,1.2,0.6,7.2,0.09,1.6
Jalen Brooks,WR,DAL,PIT,,,,,0.9,0.7,9.3,0.05,1.6
Sterling Shepard,WR,TB,ATL,,,,,0.7,0.5,5.2,0.12,1.5
David Moore,WR,CAR,CHI,,,,,0.8,0.4,6.1,0.12,1.5
Malik Heath,WR,GB,LAR,,,,,,0.7,8.9,0.05,1.5
Bo Melton,WR,GB,LAR,0.3,1.6,0.01,,1,0.6,7,0.05,1.5
Skyy Moore,WR,KC,NO,,,,,,0.6,6.9,0.06,1.4
Robert Woods,WR,HOU,BUF,,,,,1,0.6,7.1,0.04,1.3
Kameron Johnson,WR,TB,ATL,,,,,,0.4,4.8,0.08,1.2
Tyquan Thornton,WR,NE,MIA,,,,,1.1,0.5,7.1,0.04,1.2
Kayshon Boutte,WR,NE,MIA,,,,,,0.6,6.9,0.03,1.2
