Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,Suc Rate
23-C.McCaffrey,00-0033280,Christian McCaffrey,SF,324,345,17.4%,19.0%,272,1459,14,2,56%
31-R.Mostert,00-0031687,Raheem Mostert,MIA,315,285,25.8%,22.6%,209,1012,18,2,56%
23-K.Williams,00-0037840,Kyren Williams,LA,273,356,19.1%,27.5%,228,1144,12,2,62%
6-J.Conner,00-0033553,James Conner,ARI,230,242,18.3%,19.7%,208,1040,7,0,49%
28-D.Achane,00-0039040,De'Von Achane,MIA,230,270,49.1%,59.1%,103,800,8,1,56%
5-D.Montgomery,00-0035685,David Montgomery,DET,222,256,14.1%,17.6%,219,1015,13,2,56%
35-G.Edwards,00-0034184,Gus Edwards,BAL,206,192,14.6%,13.0%,198,810,13,2,58%
4-J.Cook,00-0037248,James Cook,BUF,201,174,11.9%,9.1%,237,1122,2,3,57%
26-J.Gibbs,00-0039139,Jahmyr Gibbs,DET,194,178,17.4%,15.3%,182,945,10,2,46%
33-A.Jones,00-0033293,Aaron Jones,GB,170,134,18.5%,12.7%,142,656,2,1,63%
21-Z.Moss,00-0036251,Zack Moss,IND,166,131,11.8%,7.5%,183,794,5,0,50%
41-A.Kamara,00-0033906,Alvin Kamara,NO,162,110,12.1%,5.5%,180,694,5,0,48%
28-J.Taylor,00-0036223,Jonathan Taylor,IND,158,102,12.9%,5.2%,169,741,7,1,49%
10-I.Pacheco,00-0037197,Isiah Pacheco,KC,151,166,7.9%,9.5%,205,930,7,1,52%
28-J.Mixon,00-0033897,Joe Mixon,CIN,148,149,4.7%,4.8%,257,1034,9,0,51%
0-D.Swift,00-0036275,D'Andre Swift,PHI,144,158,6.2%,7.6%,229,1048,5,2,56%
34-K.Mitchell,00-0038454,Keaton Mitchell,BAL,139,142,59.5%,61.2%,47,396,2,0,68%
30-C.Hubbard,00-0036555,Chuba Hubbard,CAR,139,83,4.5%,-0.8%,238,908,5,0,47%
22-D.Henry,00-0032764,Derrick Henry,TEN,135,137,2.7%,2.9%,280,1167,12,0,47%
38-J.McLaughlin,00-0038794,Jaleel McLaughlin,DEN,119,103,31.0%,25.7%,76,410,1,0,53%
30-J.Warren,00-0037228,Jaylen Warren,PIT,100,103,8.2%,8.9%,149,784,4,3,50%
7-B.Robinson,00-0038542,Bijan Robinson,ATL,84,80,1.0%,0.6%,214,969,5,4,44%
24-K.Herbert,00-0036906,Khalil Herbert,CHI,80,92,6.4%,8.6%,132,611,2,0,49%
43-J.Hill,00-0034975,Justice Hill,BAL,77,77,12.8%,12.9%,84,387,3,0,50%
25-S.Perine,00-0033526,Samaje Perine,DEN,68,47,23.1%,13.1%,53,228,1,1,53%
22-N.Harris,00-0036893,Najee Harris,PIT,65,79,-2.4%,-1.1%,255,1035,8,2,49%
25-T.Allgeier,00-0037263,Tyler Allgeier,ATL,65,52,-0.5%,-2.1%,186,683,4,0,49%
24-J.Mason,00-0037525,Jordan Mason,SF,64,71,30.1%,34.6%,40,206,3,0,60%
20-T.Pollard,00-0035261,Tony Pollard,DAL,58,84,-3.3%,-1.1%,252,1005,6,1,52%
27-K.Hunt,00-0033923,Kareem Hunt,CLE,53,60,-0.4%,0.7%,135,411,9,0,47%
26-Z.Charbonnet,00-0039165,Zach Charbonnet,SEA,53,51,2.5%,2.1%,108,462,1,0,54%
32-T.Spears,00-0039032,Tyjae Spears,TEN,51,59,4.5%,6.6%,100,453,2,0,44%
24-R.Freeman,00-0034838,Royce Freeman,LA,50,58,6.3%,8.6%,77,319,2,0,52%
28-L.Murray,00-0030513,Latavius Murray,BUF,49,57,3.2%,5.3%,79,300,4,0,58%
21-D.Foreman,00-0033925,D'Onta Foreman,CHI,46,50,1.6%,2.5%,109,425,4,1,52%
32-T.Chandler,00-0037276,Ty Chandler,MIN,46,77,2.4%,9.9%,102,461,3,0,45%
1-T.Etienne,00-0036973,Travis Etienne,JAC,43,38,-4.9%,-5.3%,267,1008,11,0,45%
24-N.Chubb,00-0034791,Nick Chubb,CLE,42,55,28.9%,40.5%,28,170,0,0,57%
23-R.Johnson,00-0039021,Roschon Johnson,CHI,42,46,5.0%,6.3%,80,350,2,1,48%
38-R.Stevenson,00-0036875,Rhamondre Stevenson,NE,40,60,-2.7%,0.2%,156,619,4,1,49%
23-C.Rodriguez,00-0038611,Chris Rodriguez,WAS,36,39,7.0%,8.3%,51,247,2,1,45%
22-M.Carter,00-0036924,Michael Carter,2TM,36,38,22.0%,23.9%,30,187,0,0,43%
22-A.Abdullah,00-0032104,Ameer Abdullah,LV,36,36,49.7%,50.5%,15,89,0,0,53%
23-J.Wilson,00-0034115,Jeff Wilson,MIA,35,21,11.6%,3.5%,41,188,0,0,51%
25-K.Miller,00-0038551,Kendre Miller,NO,33,10,11.6%,-2.4%,41,156,1,0,44%
20-Bre.Hall,00-0038120,Breece Hall,NYJ,33,-5,-4.8%,-9.1%,223,998,5,2,41%
24-A.Gibson,00-0036328,Antonio Gibson,WAS,31,26,3.7%,1.6%,65,265,1,1,43%
8-B.Robinson,00-0037746,Brian Robinson,WAS,29,57,-4.8%,-1.1%,178,733,5,3,48%
31-E.Demercado,00-0038705,Emari Demercado,ARI,27,46,3.0%,11.2%,58,284,2,0,43%
27-T.Sermon,00-0036984,Trey Sermon,IND,27,26,10.1%,9.5%,35,160,0,0,54%
31-T.Goodson,00-0037120,Tyler Goodson,IND,26,21,43.4%,34.4%,13,87,0,0,54%
33-J.Williams,00-0036997,Javonte Williams,DEN,25,-1,-5.8%,-8.7%,217,774,3,0,41%
23-R.Dowdle,00-0036139,Rico Dowdle,DAL,25,50,-1.7%,5.4%,89,361,2,0,51%
40-H.Luepke,00-0038738,Hunter Luepke,DAL,24,23,50.8%,48.4%,6,19,1,0,83%
22-D.Harris,00-0035657,Damien Harris,BUF,22,29,8.8%,14.4%,23,94,1,0,65%
26-D.Singletary,00-0035250,Devin Singletary,HOU,21,60,-6.2%,-1.8%,216,898,4,1,50%
37-D.Evans,00-0036297,Darrynton Evans,2TM,20,14,6.5%,1.8%,32,121,1,0,44%
26-T.Johnson,00-0035537,Ty Johnson,BUF,20,13,7.8%,2.4%,30,132,0,1,70%
1-J.McKinnon,00-0031376,Jerick McKinnon,KC,19,11,11.3%,2.7%,21,60,1,0,48%
34-B.Bolden,00-0029239,Brandon Bolden,LV,18,18,78.1%,77.9%,4,31,1,0,50%
31-Em.Wilson,00-0038797,Emanuel Wilson,GB,16,18,20.1%,22.1%,14,85,0,0,64%
35-B.Scott,00-0034414,Boston Scott,PHI,16,15,9.9%,8.7%,20,86,0,0,50%
25-E.Mitchell,00-0036567,Elijah Mitchell,SF,13,13,-4.7%,-4.4%,75,281,2,0,53%
37-T.Jones,00-0035860,Tony Jones,2TM,13,21,2.3%,9.6%,26,95,2,0,46%
48-N.Bawden,00-0034433,Nick Bawden,NYJ,11,9,85.5%,64.7%,2,4,1,0,100%
27-P.Taylor,00-0035973,Patrick Taylor,GB,10,9,-0.4%,-1.3%,32,141,0,0,47%
20-J.Ward-RB,00-0035924,Jonathan Ward,TEN,9,7,70.6%,52.2%,3,11,0,0,33%
27-J.Dobbins,00-0036158,J.K. Dobbins,BAL,8,3,15.2%,1.5%,8,22,1,0,50%
20-R.Rivers,00-0037557,Ronnie Rivers,LA,8,15,-2.5%,3.1%,32,129,0,0,50%
31-D.Dallas,00-0036425,DeeJay Dallas,SEA,7,7,7.2%,5.8%,10,36,0,0,70%
20-P.Strong,00-0038098,Pierre Strong,CLE,5,14,-6.7%,-3.1%,63,291,1,1,54%
5-L.Fournette,00-0033856,Leonard Fournette,BUF,5,1,-0.4%,-7.1%,12,40,0,0,42%
38-D.Gore,00-0035715,Derrick Gore,WAS,4,8,24.2%,50.0%,3,26,0,0,33%
