Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
85-G.Kittle,00-0033288,George Kittle,SF,268,273,38.7%,39.5%,90,1020,6,72%,65,7.4,0,1,7
87-T.Kelce,00-0030506,Travis Kelce,KC,157,169,12.7%,14.2%,121,984,5,77%,93,5.1,1,1,23
87-S.LaPorta,00-0039065,Sam LaPorta,DET,131,132,9.2%,9.3%,120,889,10,72%,86,4.2,0,0,0
85-C.Kmet,00-0036290,Cole Kmet,CHI,129,139,14.9%,16.6%,90,719,6,81%,73,4.0,1,1,10
80-I.Likely,00-0037838,Isaiah Likely,BAL,118,127,37.6%,41.0%,40,411,5,75%,30,7.2,0,2,28
89-M.Andrews,00-0034753,Mark Andrews,BAL,115,122,22.1%,23.8%,61,544,6,74%,45,4.8,1,0,0
87-T.Hockenson,00-0035229,T.J. Hockenson,MIN,102,99,5.5%,5.1%,127,960,5,75%,95,3.5,1,1,26
85-T.Kraft,00-0038996,Tucker Kraft,GB,92,81,26.0%,22.0%,40,355,2,78%,31,7.5,0,0,0
85-H.Henry,00-0033090,Hunter Henry,NE,91,93,15.9%,16.3%,61,419,6,69%,42,1.9,1,0,0
9-B.Jordan,00-0036556,Brevin Jordan,HOU,79,82,43.8%,46.1%,21,219,2,81%,17,7.3,0,1,8
88-D.Goedert,00-0034351,Dallas Goedert,PHI,75,61,6.4%,3.7%,83,592,3,71%,59,5.4,0,0,0
8-K.Pitts,00-0036970,Kyle Pitts,ATL,71,71,4.9%,4.9%,90,667,3,59%,53,2.5,0,3,20
87-M.Mayer,00-0039066,Michael Mayer,LV,71,65,20.5%,18.1%,40,304,2,68%,27,6.1,0,0,0
87-J.Ferguson,00-0038041,Jake Ferguson,DAL,70,81,3.0%,4.6%,102,761,5,70%,71,6.0,0,1,10
89-D.Parham,00-0035329,Donald Parham,LAC,67,64,15.2%,14.2%,41,285,4,66%,27,4.7,0,1,5
81-D.Smythe,00-0034798,Durham Smythe,MIA,60,63,12.5%,13.4%,43,366,0,81%,35,4.0,0,0,0
87-N.Fant,00-0035644,Noah Fant,SEA,58,51,13.9%,11.4%,43,414,0,74%,32,5.5,0,0,0
12-D.Waller,00-0031610,Darren Waller,NYG,58,71,5.1%,7.8%,74,552,1,70%,52,4.1,0,3,43
80-J.Graham,00-0027696,Jimmy Graham,NO,58,56,103.4%,100.1%,7,39,4,86%,6,0.5,0,0,0
