Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,Design,Scramble,Aborted
17-J.Allen,00-0034857,Josh Allen,BUF,203,189,18.8%,16.6%,102,531,15,4,96,125,-17
1-J.Hurts,00-0036389,Jalen Hurts,PHI,145,130,4.5%,2.7%,147,612,15,4,64,96,-15
15-P.Mahomes,00-0033873,Patrick Mahomes,KC,138,140,44.4%,45.1%,53,413,0,1,-3,144,-3
8-L.Jackson,00-0034796,Lamar Jackson,BAL,121,111,4.4%,3.0%,137,823,5,4,92,81,-52
3-R.Wilson,00-0029263,Russell Wilson,DEN,106,94,14.5%,11.6%,66,356,3,3,74,47,-15
1-J.Fields,00-0036945,Justin Fields,CHI,99,68,4.3%,-0.8%,117,657,4,3,15,102,-18
14-S.Howell,00-0037077,Sam Howell,WAS,79,82,23.2%,24.8%,44,267,5,1,-15,94,0
9-B.Young,00-0039150,Bryce Young,CAR,57,53,19.2%,17.5%,34,259,0,2,-20,89,-12
6-J.Browning,00-0035100,Jake Browning,CIN,49,47,19.1%,17.4%,23,132,3,0,5,44,0
4-D.Prescott,00-0033077,Dak Prescott,DAL,48,70,7.5%,16.3%,43,250,2,1,18,47,-17
7-T.Hill,00-0033357,Taysom Hill,NO,47,28,-2.4%,-6.4%,81,401,4,1,34,14,0
13-B.Purdy,00-0037834,Brock Purdy,SF,47,46,16.0%,15.4%,28,154,2,2,22,48,-23
16-T.Lawrence,00-0036971,Trevor Lawrence,JAC,38,33,-0.3%,-1.5%,58,340,4,3,-11,83,-34
4-T.Heinicke,00-0031800,Taylor Heinicke,ATL,34,30,43.9%,37.1%,14,121,1,1,0,49,-16
15-J.Dobbs,00-0033949,Joshua Dobbs,2TM,32,46,-3.6%,0.1%,71,420,6,5,-40,113,-42
4-D.Watson,00-0033537,Deshaun Watson,CLE,30,32,10.6%,11.9%,25,143,1,1,10,20,0
7-C.Stroud,00-0039163,C.J. Stroud,HOU,26,34,0.0%,3.6%,35,159,3,2,16,38,-28
17-T.Bagent,00-0038416,Tyson Bagent,CHI,26,33,9.0%,14.8%,21,116,2,1,5,32,-12
5-A.Richardson,00-0039164,Anthony Richardson,IND,23,21,5.1%,3.9%,24,128,4,2,26,13,-17
2-E.Stick,00-0035282,Easton Stick,LAC,21,33,1.6%,9.7%,27,144,1,0,-5,26,0
9-B.Gabbert,00-0027948,Blaine Gabbert,KC,19,17,86.0%,77.6%,4,47,0,0,0,19,0
8-M.Mariota,00-0032268,Marcus Mariota,PHI,18,20,20.0%,23.7%,8,52,0,0,16,2,0
9-J.Burrow,00-0036442,Joe Burrow,CIN,17,18,5.2%,6.7%,19,99,0,0,-19,35,0
8-D.Jones,00-0035710,Daniel Jones,NYG,14,21,-5.3%,-2.3%,39,204,1,1,-17,45,-15
10-G.Minshew,00-0035289,Gardner Minshew,IND,12,5,-3.9%,-8.7%,23,114,3,0,-12,24,0
10-J.Love,00-0036264,Jordan Love,GB,12,9,-6.2%,-7.8%,38,253,4,4,5,24,-17
10-J.Herbert,00-0036355,Justin Herbert,LAC,12,7,-7.6%,-9.6%,42,240,3,1,-28,57,-17
4-B.Zappe,00-0038108,Bailey Zappe,NE,11,14,1.6%,4.6%,16,84,1,0,-13,24,0
2-T.Huntley,00-0035993,Tyler Huntley,BAL,11,7,10.3%,1.6%,11,59,0,0,6,5,0
