Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,TO,FK,FL,INT,Completions,Comp %,YAC,DPI,DPI Yds,QBR,ALEX
13-B.Purdy,00-0037834,Brock Purdy,SF,1609,1614,42.5%,42.7%,469,4104,31,15,2,2,11,308,70.2%,6.6,3,33,0.0,1.2
1-T.Tagovailoa,00-0036212,Tua Tagovailoa,MIA,1594,1495,30.3%,27.7%,587,4442,29,15,0,1,14,388,69.7%,5.6,6,79,0.0,1.6
16-J.Goff,00-0033106,Jared Goff,DET,1385,1383,22.3%,22.2%,630,4355,30,16,2,2,12,407,68.1%,5.3,7,128,0.0,0.0
17-J.Allen,00-0034857,Josh Allen,BUF,1246,1215,20.8%,20.0%,601,4132,29,19,1,1,17,385,67.0%,5.1,3,85,0.0,3.6
4-D.Prescott,00-0033077,Dak Prescott,DAL,1246,1462,18.3%,23.5%,629,4261,36,11,1,1,9,410,69.5%,4.8,15,273,0.0,2.1
10-J.Love,00-0036264,Jordan Love,GB,1219,1248,19.0%,19.7%,607,3908,32,15,3,1,11,372,64.6%,5.2,13,287,0.0,3.5
7-C.Stroud,00-0039163,C.J. Stroud,HOU,1103,1044,21.2%,19.5%,531,3763,23,11,3,3,5,319,64.8%,5.5,6,105,0.0,2.2
9-M.Stafford,00-0026498,Matthew Stafford,LA,951,921,15.0%,14.2%,548,3728,24,11,0,0,11,326,63.3%,5.8,8,156,0.0,1.2
8-L.Jackson,00-0034796,Lamar Jackson,BAL,951,930,18.9%,18.2%,493,3402,24,13,2,4,7,307,67.8%,5.7,9,154,0.0,1.6
15-P.Mahomes,00-0033873,Patrick Mahomes,KC,898,1028,11.5%,14.7%,622,3966,28,18,1,3,14,401,67.6%,6.4,6,152,0.0,2.1
16-T.Lawrence,00-0036971,Trevor Lawrence,JAC,793,604,8.7%,4.0%,599,3770,21,22,2,6,14,370,65.8%,4.8,18,290,0.0,3.0
6-B.Mayfield,00-0034855,Baker Mayfield,TB,736,815,7.6%,9.6%,606,3800,28,15,2,3,10,364,64.4%,5.3,8,126,0.0,2.3
7-G.Smith,00-0030565,Geno Smith,SEA,722,693,10.0%,9.1%,526,3376,20,13,2,2,9,323,65.7%,5.3,11,142,0.0,0.0
4-D.Carr,00-0031280,Derek Carr,NO,709,824,8.2%,11.3%,579,3628,25,13,3,2,8,375,68.8%,4.5,3,30,0.0,3.3
1-J.Hurts,00-0036389,Jalen Hurts,PHI,662,643,6.6%,6.1%,574,3625,23,17,2,1,14,352,65.5%,4.8,5,77,0.0,1.0
10-J.Herbert,00-0036355,Justin Herbert,LAC,661,563,9.4%,6.3%,485,2879,20,10,2,1,7,297,65.4%,5.3,9,78,0.0,1.8
8-K.Cousins,00-0029604,Kirk Cousins,MIN,532,544,13.7%,14.3%,325,2201,18,9,1,3,5,216,70.6%,4.6,5,93,0.0,2.5
10-G.Minshew,00-0035289,Gardner Minshew,IND,426,346,1.5%,-0.9%,524,3118,15,15,1,5,9,305,62.2%,5.1,8,158,0.0,1.1
9-J.Burrow,00-0036442,Joe Burrow,CIN,409,335,4.4%,1.6%,388,2129,15,8,1,1,6,244,67.0%,5.1,9,86,0.0,0.3
6-J.Browning,00-0035100,Jake Browning,CIN,397,238,11.7%,2.6%,267,1744,12,10,3,0,7,171,71.0%,6.5,4,83,0.0,2.5
8-K.Pickett,00-0038102,Kenny Pickett,PIT,288,148,1.7%,-4.5%,346,1880,6,4,0,0,4,201,62.4%,5.2,7,113,0.0,1.9
3-R.Wilson,00-0029263,Russell Wilson,DEN,286,267,-2.2%,-2.8%,487,2804,26,15,3,4,8,297,67.3%,5.8,9,195,0.0,2.1
15-J.Flacco,00-0026158,Joe Flacco,CLE,272,252,9.3%,7.9%,212,1550,13,10,2,1,7,123,60.6%,5.5,1,0,0.0,2.0
1-K.Murray,00-0035228,Kyler Murray,ARI,201,257,0.0%,3.2%,285,1680,10,7,2,0,5,176,65.9%,5.6,3,49,0.0,-0.2
12-J.Brissett,00-0033119,Jacoby Brissett,WAS,196,169,93.4%,79.0%,23,234,3,0,0,0,0,18,78.3%,3.9,3,47,0.0,-2.3
2-M.Rudolph,00-0034771,Mason Rudolph,PIT,182,172,23.9%,22.0%,80,676,3,2,1,1,0,55,74.3%,7.7,0,0,0.0,3.5
2-T.Taylor,00-0028118,Tyrod Taylor,NYG,143,215,0.8%,6.8%,191,1247,5,3,1,0,2,116,66.7%,5.0,3,30,0.0,3.9
3-C.Beathard,00-0033936,C.J. Beathard,JAC,113,90,16.1%,10.5%,59,322,1,0,0,0,0,40,75.5%,3.8,1,14,0.0,1.2
11-C.Wentz,00-0032950,Carson Wentz,LA,89,63,37.6%,23.2%,26,149,2,1,0,0,1,17,70.8%,3.8,1,48,0.0,5.7
5-A.Richardson,00-0039164,Anthony Richardson,IND,87,102,4.6%,7.4%,91,548,3,2,1,0,1,50,59.5%,5.9,0,0,0.0,-1.4
4-A.O'Connell,00-0038579,Aidan O'Connell,LV,84,95,-7.6%,-7.1%,366,2033,12,10,1,2,7,213,62.5%,5.0,3,36,0.0,0.8
10-D.Mills,00-0036898,Davis Mills,HOU,73,8,16.4%,-7.9%,41,160,2,0,0,0,0,18,46.2%,4.1,0,0,0.0,0.0
12-N.Mullens,00-0033319,Nick Mullens,MIN,71,115,-4.1%,0.3%,159,1191,7,10,2,0,8,100,68.5%,4.8,0,0,0.0,-0.4
2-D.Lock,00-0035704,Drew Lock,SEA,66,72,1.5%,2.6%,82,507,3,3,0,0,3,48,64.0%,6.4,2,25,0.0,2.7
9-D.Ridder,00-0038122,Desmond Ridder,ATL,64,153,-8.8%,-5.5%,417,2613,12,18,2,4,12,249,64.8%,4.9,8,88,0.0,0.9
4-J.Stidham,00-0035264,Jarrett Stidham,DEN,52,85,0.2%,7.5%,73,450,2,1,0,0,1,40,60.6%,8.4,1,28,0.0,1.7
2-T.Huntley,00-0035993,Tyler Huntley,BAL,42,34,5.7%,2.2%,41,175,3,0,0,0,0,21,56.8%,3.7,0,0,0.0,1.1
14-A.Dalton,00-0027973,Andy Dalton,CAR,35,72,-1.9%,7.8%,61,334,2,0,0,0,0,34,58.6%,3.8,1,12,0.0,1.1
14-S.Darnold,00-0034869,Sam Darnold,SF,35,17,-0.7%,-6.1%,51,257,2,3,1,1,1,28,62.2%,5.5,1,12,0.0,1.3
22-D.Henry,00-0032764,Derrick Henry,TEN,34,34,131.9%,132.5%,3,14,2,0,0,0,0,2,66.7%,0.0,0,0,0.0,0.0
13-K.Allen,00-0030279,Keenan Allen,LAC,33,34,235.6%,239.7%,2,49,1,0,0,0,0,1,50.0%,27.0,0,0,0.0,0.0
8-S.Clifford,00-0038391,Sean Clifford,GB,28,28,436.2%,447.2%,1,37,0,0,0,0,0,1,100.0%,3.0,0,0,0.0,28.0
7-T.Hill,00-0033357,Taysom Hill,NO,25,26,15.7%,16.3%,13,79,1,0,0,0,0,6,54.5%,3.0,0,0,0.0,0.0
4-D.Watson,00-0033537,Deshaun Watson,CLE,22,-32,-9.2%,-13.9%,187,1029,7,7,2,1,4,105,61.8%,4.8,3,64,0.0,0.6
10-M.Trubisky,00-0033869,Mitchell Trubisky,PIT,22,50,-8.2%,-4.6%,113,590,4,4,0,0,4,67,63.2%,4.1,3,23,0.0,4.7
1-J.McKinnon,00-0031376,Jerick McKinnon,KC,22,22,250.1%,244.7%,1,4,1,0,0,0,0,1,100.0%,7.0,0,0,0.0,0.0
26-D.Singletary,00-0035250,Devin Singletary,HOU,22,23,386.0%,401.6%,1,6,1,0,0,0,0,1,100.0%,0.0,0,0,0.0,0.0
16-J.Meyers,00-0034960,Jakobi Meyers,LV,18,20,68.4%,78.4%,3,12,1,0,0,0,0,2,66.7%,0.0,0,0,0.0,0.0
5-D.London,00-0037238,Drake London,ATL,17,18,226.5%,232.7%,1,22,0,0,0,0,0,1,100.0%,10.0,0,0,0.0,0.0
14-K.Gainwell,00-0036919,Kenneth Gainwell,PHI,15,15,157.7%,165.5%,1,17,0,0,0,0,0,1,100.0%,0.0,0,0,0.0,16.0
13-D.Wicks,00-0038393,Dontayvion Wicks,GB,12,15,114.4%,144.0%,1,14,0,0,0,0,0,1,100.0%,5.0,0,0,0.0,0.0
7-M.Willis,00-0038128,Malik Willis,TEN,9,-16,4.7%,-38.4%,9,44,0,0,0,0,0,4,80.0%,13.8,1,6,0.0,-12.0
7-B.Hoyer,00-0026625,Brian Hoyer,LV,9,5,-8.0%,-9.3%,43,223,0,2,0,0,2,23,54.8%,3.5,3,71,0.0,5.8
2-E.Stick,00-0035282,Easton Stick,LAC,8,-20,-10.5%,-12.8%,187,1019,4,6,1,4,1,111,64.2%,5.2,3,56,0.0,0.8
2-D.Brown,00-0036626,Dyami Brown,WAS,1,0,16.3%,-4.8%,1,4,0,0,0,0,0,1,100.0%,3.0,0,0,0.0,0.0
17-G.Wilson,00-0037740,Garrett Wilson,NYJ,-6,-6,-96.3%,-108.3%,1,0,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
31-D.Dallas,00-0036425,DeeJay Dallas,SEA,-6,-7,-99.7%,-108.1%,1,0,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
14-C.Godwin,00-0033921,Chris Godwin,TB,-6,-7,-97.8%,-105.1%,1,0,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
10-D.Hopkins,00-0030564,DeAndre Hopkins,TEN,-7,-6,-108.7%,-108.3%,1,0,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
19-K.Toney,00-0036913,Kadarius Toney,KC,-7,-6,-114.9%,-108.3%,1,0,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
19-D.Samuel,00-0035719,Deebo Samuel,SF,-7,-6,-116.0%,-108.3%,1,0,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
18-J.Jefferson,00-0036322,Justin Jefferson,MIN,-8,-6,-124.0%,-108.3%,1,0,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
3-T.Dell,00-0038977,Tank Dell,HOU,-8,-6,-133.6%,-108.3%,1,-1,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
2-K.Trask,00-0036928,Kyle Trask,TB,-10,-10,-107.0%,-109.4%,1,0,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
81-J.Smith,00-0033858,Jonnu Smith,ATL,-10,-10,-113.3%,-111.3%,1,0,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
83-Co.Heyward,00-0037304,Connor Heyward,PIT,-10,-11,-92.4%,-96.0%,1,0,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
13-C.Kirk,00-0034775,Christian Kirk,JAC,-11,-12,-100.1%,-107.3%,2,-1,0,0,0,0,0,1,50.0%,0.0,0,0,0.0,0.0
14-N.Peterman,00-0033958,Nathan Peterman,CHI,-12,-10,-527.2%,-436.6%,1,-5,0,1,1,0,0,0,0.0%,0.0,0,0,0.0,0.0
16-M.Cunningham,00-0038911,Malik Cunningham,NE,-14,-14,-215.8%,-227.8%,1,-5,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
28-D.Achane,00-0039040,De'Von Achane,MIA,-16,-15,-233.7%,-232.9%,1,-6,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
8-J.Jacobs,00-0035700,Josh Jacobs,LV,-16,-14,-241.3%,-214.4%,1,-4,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
1-J.Chase,00-0036900,Ja'Marr Chase,CIN,-17,-17,-237.8%,-244.0%,1,-7,0,0,0,0,0,1,100.0%,0.0,0,0,0.0,0.0
17-T.Bagent,00-0038416,Tyson Bagent,CHI,-17,-1,-12.9%,-11.2%,148,824,3,8,0,2,6,94,65.7%,5.3,1,36,0.0,-0.5
0-P.Campbell,00-0035639,Parris Campbell,NYG,-17,-17,-264.4%,-256.9%,1,-8,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
11-C.Wilson,00-0034418,Cedrick Wilson,MIA,-17,-18,-224.7%,-230.0%,1,-7,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
31-C.Akers,00-0036414,Cam Akers,MIN,-17,-17,-265.0%,-259.2%,1,-7,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
14-A.St. Brown,00-0036963,Amon-Ra St. Brown,DET,-19,-20,-187.6%,-196.1%,1,-8,0,0,0,0,0,0,0.0%,0.0,0,0,0.0,0.0
10-C.Rush,00-0033662,Cooper Rush,DAL,-22,-24,-24.1%,-25.6%,25,136,0,1,0,0,1,18,75.0%,4.4,0,0,0.0,11.2
