"Year","TEAM","DVOA","RANK","WEIGHT","RANK1","PASS","RANK2","RUSH","RANK3","NONADJ","NONADJP","NONADJR","VARIANCE","RANK4","DEF SCHED","RANK5"
"2021","ARI","-7.6","7","-3.7","14","-1.2","8","-16.4","6","-3.0","4.1","-12.9","4.4","11","2.0","6"
"2021","ATL","12.9","31","10.1","30","21.2","28","3.1","32","14.4","25.0","2.0","1.9","1","-3.0","29"
"2021","BAL","10.0","28","13.2","31","28.0","31","-18.4","4","10.5","29.1","-18.9","7.5","21","1.0","11"
"2021","BUF","-19.6","1","-17.3","1","-22.9","1","-15.6","7","-19.1","-22.9","-14.5","10.7","31","-4.6","31"
"2021","CAR","0.6","18","4.7","25","10.5","22","-10.7","13","1.5","12.9","-11.4","9.5","30","-1.7","24"
"2021","CHI","-0.8","15","0.0","19","4.4","15","-6.4","21","2.6","9.8","-5.0","9.2","29","2.7","3"
"2021","CIN","-0.6","16","2.3","23","5.4","16","-9.6","15","2.9","10.2","-7.8","5.1","13","0.2","16"
"2021","CLE","-4.0","8","-6.3","10","-2.7","6","-5.7","22","0.6","5.0","-5.4","7.7","23","0.1","17"
"2021","DAL","-11.4","4","-15.8","2","-14.8","2","-6.4","20","-12.6","-14.7","-9.5","6.7","17","-1.5","23"
"2021","DEN","2.3","21","-0.4","18","7.4","19","-5.1","24","3.5","9.2","-4.8","7.6","22","0.6","14"
"2021","DET","10.6","29","8.0","29","17.9","27","1.7","31","13.7","21.6","4.2","3.8","8","3.0","2"
"2021","GB","-2.4","12","-5.1","12","-2.2","7","-2.9","26","2.8","4.2","0.6","7.4","20","-0.4","19"
"2021","HOU","5.1","24","6.0","26","16.0","26","-7.2","19","9.8","19.4","-1.0","4.1","10","0.3","15"
"2021","IND","-3.3","11","-8.3","7","6.4","18","-18.0","5","-1.5","8.3","-16.3","6.6","16","-0.9","22"
"2021","JAC","12.1","30","6.5","27","27.4","30","-5.3","23","13.1","29.1","-5.1","8.9","28","-0.9","21"
"2021","KC","2.4","22","-5.6","11","9.4","21","-8.1","16","7.6","16.6","-5.9","11.3","32","2.0","5"
"2021","LAC","7.3","26","6.8","28","12.7","24","1.2","29","9.2","17.3","0.0","5.3","14","0.7","12"
"2021","LA","-12.1","3","-14.3","5","-6.5","5","-19.4","3","-3.9","4.5","-15.0","2.8","4","1.3","10"
"2021","LV","-1.0","14","-2.3","15","5.8","17","-10.8","12","2.8","12.1","-10.8","2.1","2","1.9","8"
"2021","MIA","-3.5","9","-8.2","8","-0.4","9","-7.9","18","-1.6","-0.1","-3.6","8.4","27","-4.2","30"
"2021","MIN","0.9","19","-1.1","17","1.2","12","0.5","28","5.7","8.1","2.3","3.4","5","1.5","9"
"2021","NE","-9.0","6","-10.3","6","-6.5","4","-12.0","10","-9.3","-6.0","-13.1","8.3","26","-2.9","28"
"2021","NO","-14.1","2","-15.5","3","-7.9","3","-23.6","2","-11.4","-4.9","-21.4","7.1","19","-0.4","18"
"2021","NYG","5.3","25","0.8","21","8.2","20","1.6","30","7.5","12.2","1.6","3.4","6","2.0","7"
"2021","NYJ","16.8","32","18.3","32","31.6","32","-0.5","27","17.6","34.0","-1.5","4.6","12","-2.4","27"
"2021","PHI","2.7","23","1.5","22","11.0","23","-8.0","17","2.9","11.8","-8.6","8.2","25","-2.0","26"
"2021","PIT","-0.6","17","-1.5","16","2.1","13","-3.8","25","5.3","10.3","-0.6","6.1","15","3.4","1"
"2021","SEA","1.4","20","0.0","20","14.2","25","-14.6","8","4.6","18.2","-12.4","2.3","3","-0.5","20"
"2021","SF","-10.2","5","-14.7","4","-0.1","10","-24.1","1","-5.1","5.8","-20.1","4.0","9","0.6","13"
"2021","TB","-2.0","13","-5.0","13","4.2","14","-14.3","9","-5.2","-0.1","-15.4","3.6","7","-6.2","32"
"2021","TEN","-3.3","10","-7.8","9","0.4","11","-9.7","14","0.8","6.8","-9.4","8.2","24","-1.8","25"
"2021","WAS","9.5","27","3.0","24","23.1","29","-11.6","11","13.4","28.8","-10.4","7.0","18","2.1","4"
