Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
18-P.Williams,00-0035350,Preston Williams,MIA,-43,-44,-42.7%,-42.9%,16,71,0,38%,6,6.3,0,1,16
11-C.Beasley,00-0029000,Cole Beasley,BUF,-46,-27,-18.0%,-15.9%,112,693,1,73%,82,3.7,1,0,0
1-D.Eskridge,00-0036620,D'Wayne Eskridge,SEA,-47,-45,-41.8%,-40.6%,20,64,1,50%,10,3.2,0,1,14
19-J.Smith-Schuster,00-0033857,JuJu Smith-Schuster,PIT,-47,-61,-34.7%,-41.6%,28,129,0,54%,15,4.5,0,0,0
1-J.Darden,00-0036877,Jaelon Darden,TB,-49,-46,-68.4%,-65.0%,12,43,0,50%,6,4.0,0,0,0
83-P.Cooper,00-0033111,Pharoh Cooper,NYG,-50,-49,-70.3%,-69.4%,11,33,0,36%,4,1.8,0,0,0
11-D.Mims,00-0036255,Denzel Mims,NYJ,-51,-48,-41.7%,-40.4%,23,133,0,35%,8,6.1,0,0,0
88-J.Winfree,00-0035593,Juwann Winfree,GB,-61,-57,-68.6%,-65.7%,13,58,0,62%,8,3.9,2,0,0
2-A.Wilson,00-0030669,Albert Wilson,MIA,-61,-64,-31.9%,-32.8%,39,213,0,64%,25,5.7,0,1,16
88-T.Montgomery,00-0032200,Ty Montgomery,NO,-63,-74,-44.5%,-50.1%,26,95,0,62%,16,5.4,0,0,0
88-T.Marshall,00-0036955,Terrace Marshall,CAR,-70,-66,-42.3%,-40.7%,30,138,0,57%,17,3.7,0,0,0
12-K.Stills,00-0030085,Kenny Stills,NO,-72,-72,-53.7%,-53.5%,23,68,1,26%,6,1.7,0,0,0
14-Z.Pascal,00-0033251,Zach Pascal,IND,-74,-69,-26.3%,-25.4%,69,384,3,55%,38,3.2,1,3,76
86-D.Slayton,00-0035535,Darius Slayton,NYG,-108,-103,-36.2%,-35.0%,58,339,2,45%,26,2.5,1,2,23
10-L.Shenault,00-0036268,Laviska Shenault,JAC,-112,-98,-27.7%,-25.8%,100,619,0,63%,63,6.2,1,0,0
11-R.Anderson,00-0032688,Robby Anderson,CAR,-176,-182,-33.7%,-34.5%,110,519,5,48%,53,3.0,0,0,0
14-R.McCloud,00-0034407,Ray-Ray McCloud,PIT,-183,-193,-48.1%,-50.0%,65,277,0,58%,38,2.9,1,0,0
