Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
86-M.Taylor,,,GB,-1,-1,-16.6%,-14.6%,3,14,0,67%,2,4.0,0,0,0
2-D.Brown,00-0036626,Dyami Brown,WAS,-1,-10,-13.4%,-17.8%,25,165,0,48%,12,2.8,0,1,35
80-M.Boykin,00-0035703,Miles Boykin,BAL,-2,-2,-35.7%,-37.8%,1,6,0,100%,1,0.0,0,0,0
13-J.Washington,00-0034676,James Washington,PIT,-2,1,-13.1%,-12.5%,44,285,2,55%,24,3.3,0,2,42
17-S.Morgan,00-0035399,Stanley Morgan,CIN,-2,-7,-18.3%,-29.2%,4,11,0,50%,2,10.0,0,1,16
85-T.Lewis,,,MIA,-2,-2,-27.3%,-26.1%,2,7,0,50%,1,11.0,0,0,0
80-C.Hogan,00-0028237,Chris Hogan,NO,-2,0,-16.4%,-12.1%,8,41,1,50%,4,3.3,0,0,0
81-D.Davis,,,HOU,-3,-3,-23.9%,-26.6%,3,17,0,33%,1,13.0,0,0,0
10-B.Berrios,00-0034419,Braxton Berrios,NYJ,-3,2,-13.2%,-12.3%,66,431,2,71%,46,5.6,1,0,0
10-A.Schwartz,00-0036999,Anthony Schwartz,CLE,-3,-16,-14.4%,-22.2%,23,135,1,43%,10,1.0,0,0,0
16-C.Hollister,,,TEN,-3,-4,-17.7%,-19.4%,7,33,0,57%,4,4.3,0,0,0
83-G.Dortch,00-0035500,Greg Dortch,ARI,-4,-7,-33.1%,-46.9%,3,15,0,100%,3,10.3,0,0,0
1-K.Hamler,00-0036412,KJ Hamler,DEN,-5,-1,-18.8%,-13.7%,10,74,0,50%,5,3.2,0,0,0
18-E.Winston,,,NO,-5,-4,-118.0%,-102.3%,1,5,0,100%,1,9.0,0,0,0
31-K.Crossen,,,NYG,-5,-7,-84.3%,-105.6%,1,0,0,0%,0,,0,0,0
19-J.Arcega-Whiteside,00-0035246,JJ Arcega-Whiteside,PHI,-5,-4,-24.9%,-22.3%,5,36,0,40%,2,14.5,0,0,0
15-J.Kumerow,00-0031787,Jake Kumerow,BUF,-5,-7,-25.7%,-28.7%,6,28,0,33%,2,3.5,0,0,0
20-T.Campbell,,,LAC,-6,-6,-104.8%,-101.7%,1,0,0,0%,0,,0,0,0
16-T.Cleveland,00-0036439,Tyrie Cleveland,DEN,-6,-7,-84.9%,-99.7%,1,0,0,0%,0,,0,0,0
4-T.Sharpe,00-0032778,Tajae Sharpe,ATL,-6,-1,-14.8%,-12.9%,37,229,0,68%,25,2.7,0,1,19
17-V.Smith,00-0034631,Vyncint Smith,NYJ,-6,-7,-97.1%,-104.5%,1,0,0,0%,0,,0,0,0
85-N.Brown,00-0033591,Noah Brown,DAL,-6,-13,-16.0%,-19.5%,25,184,0,64%,16,4.3,0,0,0
82-I.Coulter,00-0036308,Isaiah Coulter,CHI,-7,-7,-96.6%,-99.7%,1,0,0,0%,0,,0,0,0
39-J.Agnew,00-0033572,Jamal Agnew,JAC,-7,-22,-14.9%,-19.5%,39,229,1,62%,24,4.9,0,0,0
88-F.Darby,,,ATL,-7,-10,-39.0%,-50.1%,4,14,0,25%,1,11.0,0,0,0
19-D.Smith,00-0030203,Devin Smith,JAC,-7,-5,-129.6%,-94.8%,1,0,0,0%,0,,0,0,0
13-R.Adams,,,CHI,-8,-7,-103.8%,-99.7%,1,0,0,0%,0,,0,0,0
12-S.Smith,00-0036572,Shi Smith,CAR,-8,-6,-22.1%,-19.3%,11,104,0,55%,6,11.8,0,0,0
83-M.Valdes-Scantling,00-0034272,Marquez Valdes-Scantling,GB,-8,1,-14.6%,-12.4%,55,430,3,47%,26,5.6,0,0,0
17-K.White,,,NO,-8,-9,-34.8%,-36.6%,5,38,0,20%,1,9.0,0,0,0
