Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,TD,Catch Rate,Catches,YAC,FUM,DPI,DPI Yards
80-O.Howard,00-0033879,O.J. Howard,TB,10,9,-0.6%,-0.8%,21,135,1,67%,14,5.9,0,0,0
63-D.Pinter,,,IND,9,10,82.9%,89.5%,1,2,1,100%,1,0.0,0,0,0
78-A.Thomas,,,NYG,9,8,70.8%,66.0%,1,2,1,100%,1,0.0,0,0,0
89-C.Herndon,00-0034766,Christopher Herndon,MIN,8,9,8.7%,11.7%,7,40,1,57%,4,7.8,0,0,0
69-C.McDermott,,,NYJ,7,7,52.2%,53.5%,1,1,1,100%,1,0.0,0,0,0
78-T.Steele,,,DAL,7,7,49.2%,53.5%,1,1,1,100%,1,0.0,0,0,0
82-J.Mundt,00-0033246,Johnny Mundt,LA,6,6,93.8%,87.3%,1,9,0,100%,1,2.0,0,0,0
86-A.Firkser,00-0033455,Anthony Firkser,TEN,6,22,-4.9%,0.9%,43,291,2,79%,34,3.3,1,1,5
82-K.Smith,00-0034988,Kaden Smith,NYG,6,9,21.7%,38.8%,3,33,0,100%,3,3.7,0,0,0
88-B.Hopkins,00-0036424,Brycen Hopkins,LA,6,6,73.7%,72.2%,1,9,0,100%,1,6.0,0,0,0
89-B.Jarwin,00-0033658,Blake Jarwin,DAL,5,10,-2.9%,0.7%,17,96,2,65%,11,3.5,0,1,16
86-Z.Ertz,00-0030061,Zach Ertz,2TM,5,21,-6.6%,-4.5%,112,763,5,66%,74,4.6,0,2,17
82-C.Carter,,,MIA,3,3,18.5%,18.5%,2,16,0,100%,2,4.0,0,0,0
49-D.Dafney,,,GB,2,2,-1.2%,-0.6%,4,34,0,50%,2,15.5,0,0,0
85-E.Tomlinson,,,BAL,2,2,18.9%,27.4%,1,7,0,100%,1,4.0,0,0,0
85-D.Carrier,00-0029119,Derek Carrier,LV,2,1,6.6%,5.1%,2,13,0,100%,2,3.0,0,0,0
35-L.Stocker,,,MIN,1,2,2.8%,8.7%,2,12,0,100%,2,3.0,0,0,0
85-T.Wesco,00-0035259,Trevon Wesco,NYJ,1,0,-3.7%,-8.3%,5,35,0,60%,3,9.7,0,0,0
88-T.McKitty,00-0037011,Tre' McKitty,LAC,0,-5,-7.2%,-15.4%,8,45,0,75%,6,5.7,0,0,0
88-M.Gesicki,00-0034829,Mike Gesicki,MIA,-2,0,-7.6%,-7.2%,112,780,2,65%,73,3.0,0,1,26
81-A.Hooper,00-0032392,Austin Hooper,CLE,-3,-6,-7.9%,-8.7%,61,345,3,62%,38,4.9,0,3,17
81-J.Deguara,00-0036332,Josiah Deguara,GB,-3,-8,-8.7%,-11.0%,33,245,2,76%,25,8.2,0,0,0
81-R.Rodgers,,,PHI,-4,-4,-37.7%,-40.3%,2,11,0,100%,2,5.0,0,0,0
84-S.McKeon,,,DAL,-4,-4,-16.3%,-15.9%,6,27,1,67%,4,2.5,0,0,0
81-Z.Gentry,00-0035222,Zach Gentry,PIT,-4,-11,-9.7%,-13.8%,25,167,0,76%,19,6.7,0,0,0
82-D.Yelder,00-0034319,Deon Yelder,TB,-5,-4,-116.0%,-111.7%,1,0,0,100%,1,2.0,0,0,0
84-T.Davis,00-0036250,Tyler Davis,GB,-5,-2,-20.2%,-14.0%,5,35,0,80%,4,3.3,0,0,0
80-T.Jackson,,,PHI,-5,-9,-18.4%,-25.5%,7,22,1,43%,3,2.3,0,0,0
80-A.Shaheen,00-0033896,Adam Shaheen,MIA,-6,-2,-12.1%,-8.8%,16,110,0,75%,12,3.4,0,0,0
41-C.Myarick,,,NYG,-6,-6,-19.5%,-20.9%,6,17,1,50%,3,2.7,0,0,0
45-G.Griffin,,,NO,-7,-8,-33.6%,-38.1%,4,39,0,100%,4,6.8,1,0,0
82-B.Ellefson,,,MIN,-7,-6,-113.7%,-103.1%,1,0,0,0%,0,,0,0,0
84-H.Long,00-0037004,Hunter Long,MIA,-7,-7,-50.7%,-51.7%,3,8,0,33%,1,4.0,0,0,0
84-S.Sullivan,00-0036438,Stephen Sullivan,CAR,-7,-8,-96.5%,-102.5%,1,0,0,0%,0,,0,0,0
84-M.Wilcox,00-0035771,Mitchell Wilcox,CIN,-8,-12,-37.0%,-53.6%,5,16,0,60%,3,2.7,0,0,0
86-E.Wolf,,,NO,-8,-6,-65.5%,-50.2%,2,8,0,100%,2,3.0,0,0,0
85-L.Smith,00-0028097,Lee Smith,ATL,-9,-6,-17.3%,-14.9%,11,65,1,82%,9,3.4,0,0,0
89-J.Stoll,00-0036741,Jack Stoll,PHI,-9,-14,-37.2%,-51.7%,5,22,0,80%,4,5.0,0,0,0
89-T.Hudson,00-0036173,Tommy Hudson,TEN,-9,-8,-33.8%,-29.3%,6,31,0,50%,3,8.0,0,0,0
86-C.Thompson,,,CAR,-10,-10,-118.3%,-116.8%,1,0,0,0%,0,,0,0,0
75-M.Remmers,,,KC,-11,-13,-121.5%,-140.4%,1,-2,0,100%,1,-2.0,0,0,0
85-C.Kmet,00-0036290,Cole Kmet,CHI,-11,-15,-9.3%,-9.9%,93,610,0,65%,60,4.1,0,1,15
83-D.Waller,00-0031610,Darren Waller,LV,-12,-16,-9.1%,-9.8%,93,665,2,59%,55,4.4,0,0,0
86-N.Boyle,00-0031598,Nick Boyle,BAL,-12,-12,-93.7%,-91.7%,2,2,0,50%,1,0.0,0,0,0
73-D.Dawkins,,,BUF,-12,-12,-111.1%,-108.2%,1,0,0,0%,0,,0,0,0
85-D.Arnold,00-0034011,Dan Arnold,2TM,-12,6,-10.8%,-5.5%,52,408,0,67%,35,5.4,1,1,6
71-T.Williams,,,SF,-13,-13,-113.3%,-111.9%,1,0,0,0%,0,,0,0,0
