Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,Suc Rate
32-D.Evans,00-0036297,Darrynton Evans,TEN,-3,-3,-87.5%,-76.5%,2,7,0,0,0%
44-K.Juszczyk,00-0029892,Kyle Juszczyk,SF,-4,3,-16.0%,-3.1%,8,22,1,0,50%
32-K.Hill,00-0036669,Kylin Hill,GB,-4,-11,-18.5%,-37.7%,10,24,0,0,30%
26-A.McFarland,00-0036336,Anthony McFarland,PIT,-4,-4,-51.1%,-53.9%,3,3,0,0,0%
28-R.Burkhead,00-0030288,Rex Burkhead,HOU,-4,-15,-9.3%,-11.3%,122,427,3,1,46%
32-J.Huntley,,,PHI,-4,2,-18.5%,-4.5%,13,51,0,0,31%
47-N.McCrary,,,BAL,-4,-3,-130.9%,-108.0%,1,-1,0,0,0%
22-J.Wilson,00-0034115,Jeff Wilson,SF,-5,2,-9.9%,-7.9%,79,294,2,1,56%
34-J.Funk,00-0035973,Jake Funk,LA,-5,-5,-66.1%,-58.2%,2,5,0,0,50%
35-De.Jackson,00-0036493,Deon Jackson,IND,-5,-9,-18.9%,-26.6%,13,31,1,0,38%
25-M.Mack,00-0033951,Marlon Mack,IND,-5,-20,-13.6%,-27.1%,28,101,0,0,32%
38-J.Samuels,00-0034331,Jaylen Samuels,HOU,-5,-9,-44.5%,-69.7%,5,9,0,0,0%
45-A.Ingold,00-0035125,Alec Ingold,LV,-7,-6,-51.6%,-49.4%,2,1,0,0,50%
28-D.Ozigbo,,,NO,-7,-7,-205.8%,-205.6%,1,-3,0,0,0%
36-M.Sargent,,,3TM,-7,-8,-40.1%,-46.8%,5,11,0,0,20%
32-T.Williams,00-0035291,Trayveon Williams,CIN,-7,0,-19.0%,-8.4%,15,51,0,0,53%
23-C.Akers,00-0036414,Cam Akers,LA,-8,-13,-51.0%,-82.7%,5,3,0,0,0%
