Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,Design,Scramble,Aborted
1-J.Hurts,00-0036389,Jalen Hurts,PHI,189,174,13.7%,11.7%,127,771,10,3,117,132,-60
17-J.Allen,00-0034857,Josh Allen,BUF,137,135,8.8%,8.5%,110,770,6,5,24,144,-32
17-R.Tannehill,00-0029701,Ryan Tannehill,TEN,121,115,28.8%,26.7%,45,273,7,4,73,99,-51
10-J.Herbert,00-0036355,Justin Herbert,LAC,91,100,18.9%,22.1%,50,315,3,0,6,85,0
15-P.Mahomes,00-0033873,Patrick Mahomes,KC,84,84,21.1%,20.9%,51,390,2,3,-7,123,-31
2-J.Winston,00-0031503,Jameis Winston,NO,70,71,40.3%,41.1%,24,174,1,0,7,63,0
8-L.Jackson,00-0034796,Lamar Jackson,BAL,66,81,-2.0%,0.2%,127,769,2,3,7,74,-15
14-S.Darnold,00-0034869,Sam Darnold,CAR,55,64,10.2%,13.7%,40,228,5,2,21,47,-12
7-T.Hill,00-0033357,Taysom Hill,NO,54,62,1.1%,3.0%,70,380,5,1,42,27,-15
4-T.Heinicke,00-0031800,Taylor Heinicke,WAS,45,45,5.7%,5.7%,50,320,1,3,10,62,-27
12-T.Brady,00-0019596,Tom Brady,TB,39,32,19.9%,14.4%,17,90,2,1,26,13,0
2-Z.Wilson,00-0037013,Zach Wilson,NYJ,38,30,13.1%,7.8%,25,189,4,0,-16,55,0
2-C.Wentz,00-0032950,Carson Wentz,IND,38,17,4.1%,-4.8%,45,222,1,4,38,34,-34
2-T.Huntley,00-0035993,Tyler Huntley,BAL,33,59,1.8%,12.5%,44,297,2,1,-18,51,0
5-T.Bridgewater,00-0031237,Teddy Bridgewater,DEN,32,33,8.8%,9.3%,24,112,2,1,15,17,0
7-G.Smith,00-0030565,Geno Smith,SEA,29,23,62.2%,47.2%,7,44,1,0,13,16,0
10-M.Trubisky,00-0033869,Mitchell Trubisky,BUF,24,25,135.2%,142.0%,3,34,1,0,15,9,0
16-T.Lawrence,00-0036971,Trevor Lawrence,JAC,24,-1,-5.5%,-12.3%,66,343,2,2,-27,50,0
2-M.Rudolph,00-0034771,Mason Rudolph,PIT,21,24,138.5%,158.2%,3,54,0,0,0,21,0
12-A.Rodgers,00-0023459,Aaron Rodgers,GB,21,24,5.8%,9.0%,21,110,3,2,7,44,-30
5-T.Taylor,00-0028118,Tyrod Taylor,HOU,20,19,11.8%,11.2%,18,149,3,3,0,47,-27
1-T.Tagovailoa,00-0036212,Tua Tagovailoa,MIA,18,16,-2.2%,-3.2%,28,137,3,2,18,29,-29
8-K.Cousins,00-0029604,Kirk Cousins,MIN,14,13,1.2%,0.0%,20,119,1,2,5,36,-27
17-J.Fromm,00-0036197,Jake Fromm,NYG,12,13,11.7%,14.1%,8,65,0,0,-8,20,0
14-J.Brissett,00-0033119,Jacoby Brissett,MIA,12,-3,-2.6%,-14.8%,18,71,1,0,-8,19,0
5-C.Keenum,00-0028986,Case Keenum,CLE,11,9,7.8%,5.2%,8,26,0,0,9,2,0
8-M.Mariota,00-0032268,Marcus Mariota,LV,8,8,-3.3%,-3.4%,13,87,1,1,8,0,0
12-T.Boyle,00-0034177,Tim Boyle,DET,8,7,105.7%,99.6%,1,14,0,0,0,8,0
15-T.Siemian,00-0032156,Trevor Siemian,NO,6,4,7.6%,2.6%,5,24,1,0,-4,10,0
14-S.Mannion,00-0032245,Sean Mannion,MIN,6,8,34.3%,51.4%,2,14,0,0,2,4,0
5-M.White,00-0034401,Mike White,NYJ,5,3,19.2%,7.4%,2,3,0,0,5,0,0
14-A.Dalton,00-0027973,Andy Dalton,CHI,4,5,-6.1%,-5.0%,13,82,0,0,-11,15,0
1-C.Newton,00-0023382,Cam Newton,CAR,3,-11,-11.0%,-16.5%,45,221,5,4,64,-18,-43
10-D.Blough,00-0035040,David Blough,DET,2,2,55.8%,53.0%,1,6,0,0,0,2,0
5-B.Hoyer,00-0026625,Brian Hoyer,NE,2,2,11.0%,6.7%,1,2,0,0,2,0,0
12-C.McCoy,00-0027688,Colt McCoy,ARI,2,-5,-9.3%,-19.0%,11,46,0,1,11,-9,0
4-S.Ehlinger,00-0036879,Sam Ehlinger,IND,2,0,-1.0%,-12.7%,2,10,0,0,2,0,0
6-B.Mayfield,00-0034855,Baker Mayfield,CLE,2,2,-11.0%,-11.0%,29,142,1,1,11,-9,0
7-B.Roethlisberger,00-0022924,Ben Roethlisberger,PIT,1,-1,-10.1%,-13.3%,6,20,1,0,-12,13,0
8-B.Allen,00-0032434,Brandon Allen,CIN,-1,1,-22.7%,-6.8%,2,2,0,0,-1,0,0
9-N.Foles,00-0029567,Nick Foles,CHI,-1,-2,-18.6%,-21.5%,3,9,0,0,-5,4,0
3-C.Beathard,00-0033936,C.J. Beathard,JAC,-2,-2,-47.7%,-66.2%,1,2,0,0,-2,0,0
10-G.Minshew,00-0035289,Gardner Minshew,PHI,-2,0,-17.8%,-11.4%,7,22,0,0,0,-2,0
15-F.Franks,,,ATL,-3,-7,-36.3%,-65.4%,3,6,0,0,-3,0,0
3-D.Lock,00-0035704,Drew Lock,DEN,-3,-1,-17.2%,-14.2%,10,53,2,1,-20,17,0
9-M.Stafford,00-0026498,Matthew Stafford,LA,-4,-8,-15.8%,-19.7%,16,61,0,1,-15,9,2
10-C.Rush,00-0033662,Cooper Rush,DAL,-4,-4,-60.8%,-62.5%,2,4,0,0,-1,-3,0
19-J.Flacco,00-0026158,Joe Flacco,NYJ,-4,-2,-44.4%,-30.5%,2,3,0,0,0,-4,0
16-I.Book,00-0036929,Ian Book,NO,-4,-4,-36.8%,-34.4%,3,6,0,0,2,-6,0
3-N.Peterman,00-0033958,Nathan Peterman,LV,-5,-5,-42.8%,-44.5%,2,2,0,0,3,-7,0
8-D.Jones,00-0035710,Daniel Jones,NYG,-5,-2,-13.8%,-12.7%,53,296,2,2,16,3,-23
10-D.Mills,00-0036898,Davis Mills,HOU,-5,-13,-18.0%,-26.7%,15,47,0,0,-4,-1,0
8-K.Allen,00-0034577,Kyle Allen,WAS,-6,-4,-47.8%,-40.8%,2,11,0,0,-6,0,0
13-J.Wolford,00-0034899,John Wolford,LA,-7,-6,-108.3%,-105.1%,1,0,0,0,-7,0,0
14-R.Fitzpatrick,00-0023682,Ryan Fitzpatrick,WAS,-7,-5,-130.3%,-103.2%,1,2,0,0,0,-7,0
3-R.Wilson,00-0029263,Russell Wilson,SEA,-7,-6,-15.9%,-15.1%,37,165,2,2,-11,42,-38
1-J.Fields,00-0036945,Justin Fields,CHI,-8,-3,-14.6%,-13.0%,66,410,2,5,-25,65,-48
10-J.Love,00-0036264,Jordan Love,GB,-9,-7,-47.6%,-38.2%,6,30,0,1,0,7,-16
5-T.Lance,00-0037012,Trey Lance,SF,-11,-17,-17.9%,-21.0%,36,171,1,0,-35,24,0
2-M.Glennon,00-0030520,Mike Glennon,NYG,-12,-10,-43.5%,-39.0%,7,24,1,1,-7,17,-22
15-C.Streveler,00-0035752,Chris Streveler,ARI,-13,-14,-111.0%,-124.8%,3,2,0,1,-1,-1,-10
10-M.Jones,00-0036972,Mac Jones,NE,-15,-20,-18.3%,-20.4%,36,136,0,3,15,19,-49
10-J.Garoppolo,00-0031345,Jimmy Garoppolo,SF,-20,-14,-23.7%,-19.8%,26,54,3,4,38,-5,-53
9-J.Burrow,00-0036442,Joe Burrow,CIN,-24,-21,-23.9%,-22.2%,33,126,2,1,-46,32,-11
6-P.Walker,00-0033275,P.J. Walker,CAR,-26,-26,-103.0%,-102.9%,6,10,0,2,-9,8,-26
4-C.Henne,00-0026197,Chad Henne,KC,-34,-34,-208.3%,-209.4%,3,-2,0,2,0,0,-34
15-J.Johnson,00-0026300,Josh Johnson,2TM,-40,-45,-101.9%,-114.4%,8,25,0,2,-30,8,-18
4-D.Carr,00-0031280,Derek Carr,LV,-54,-49,-45.6%,-42.7%,30,108,0,4,-12,13,-55
16-J.Goff,00-0033106,Jared Goff,DET,-60,-58,-80.8%,-79.0%,17,85,0,3,-32,-1,-27
1-K.Murray,00-0035228,Kyler Murray,ARI,-90,-87,-32.8%,-32.1%,80,396,6,10,-30,80,-139
2-M.Ryan,00-0026143,Matt Ryan,ATL,-95,-105,-61.0%,-66.1%,30,84,1,5,-13,-19,-62
4-D.Prescott,00-0033077,Dak Prescott,DAL,-97,-104,-63.6%,-67.2%,35,145,1,7,-25,3,-76
