Player,GSIS,Full Name,Team,DYAR,YAR,DVOA,VOA,Runs,Yards,TD,FUM,,,
19-D.Samuel,00-0035719,Deebo Samuel,SF,255,255,44.2%,44.4%,59,365,8,0,,,
84-K.Bourne,00-0033307,Kendrick Bourne,NE,90,93,140.2%,145.4%,12,125,0,0,,,
39-J.Agnew,00-0033572,Jamal Agnew,JAC,65,62,129.2%,121.0%,7,111,1,0,,,
10-B.Berrios,00-0034419,Braxton Berrios,NYJ,57,56,83.6%,81.5%,7,40,2,0,,,
19-I.McKenzie,00-0033466,Isaiah McKenzie,BUF,49,51,87.8%,91.4%,9,47,1,0,,,
11-C.Claypool,00-0036326,Chase Claypool,PIT,48,44,6.3%,2.1%,14,96,0,0,,,
8-E.Moore,00-0036980,Elijah Moore,NYJ,48,49,116.1%,117.1%,5,54,1,0,,,
10-T.Hill,00-0033040,Tyreek Hill,KC,47,46,56.7%,56.5%,9,96,0,0,,,
14-C.Godwin,00-0033921,Chris Godwin,TB,40,42,115.9%,123.9%,4,21,1,0,,,
88-C.Lamb,00-0036358,CeeDee Lamb,DAL,39,38,25.8%,23.0%,9,76,0,0,,,
10-S.Miller,00-0035298,Scott Miller,TB,38,37,535.4%,520.0%,2,43,1,0,,,
1-D.Eskridge,00-0036620,D'Wayne Eskridge,SEA,38,40,168.1%,179.4%,4,59,0,0,,,
2-Dj.Moore,00-0034827,DJ Moore,CAR,37,37,34.9%,34.9%,8,48,0,0,,,
14-A.St. Brown,00-0036963,Amon-Ra St. Brown,DET,36,40,119.0%,136.5%,7,61,1,0,,,
2-R.Woods,00-0030431,Robert Woods,LA,34,32,56.8%,50.9%,8,46,1,0,,,
18-D.Johnson,00-0035216,Diontae Johnson,PIT,32,31,81.9%,81.1%,5,53,0,0,,,
1-D.Carter,00-0031763,DeAndre Carter,WAS,29,30,13.4%,14.1%,10,85,0,1,,,
80-J.Landry,00-0031382,Jarvis Landry,CLE,29,29,11.7%,12.6%,6,34,2,1,,,
4-R.Moore,00-0036936,Rondale Moore,ARI,28,24,-10.8%,-14.7%,18,76,0,0,,,
13-D.Duvernay,00-0036331,Devin Duvernay,BAL,26,30,37.9%,47.0%,7,50,0,0,,,
81-J.Smith,00-0033858,Jonnu Smith,NE,26,29,44.5%,51.3%,9,40,0,0,,,
13-A.Lazard,00-0034521,Allen Lazard,GB,25,24,157.6%,150.3%,3,32,0,0,,,
81-B.Bell,00-0032062,Blake Bell,KC,25,27,33.3%,39.8%,4,10,0,0,,,
18-F.Swain,00-0036247,Freddie Swain,SEA,24,21,55.8%,44.1%,5,32,0,0,,,
1-E.Sanders,00-0027685,Emmanuel Sanders,BUF,24,24,190.0%,194.6%,2,31,0,0,,,
11-M.Pittman,00-0036252,Michael Pittman,IND,23,23,60.1%,59.4%,5,44,0,0,,,
