Player,Team,Pos,Games,Tgt,Rec,Yds,YPR,TD,PPR,PPR/G,PPR/T
Stefon Diggs,BUF,WR,16,168,127,1535,12.1,8,328.6,20.54,2.57
DeAndre Hopkins,ARI,WR,16,160,115,1407,12.2,6,287.8,17.99,2.48
Allen Robinson,CHI,WR,16,151,102,1250,12.3,6,262.9,16.43,2.55
Davante Adams,GB,WR,14,149,115,1374,11.9,18,358.4,25.6,3.12
Keenan Allen,LAC,WR,14,147,100,992,9.9,8,243.1,17.36,2.41
Darren Waller,LV,TE,16,146,107,1195,11.2,9,276.5,17.28,2.58
Travis Kelce,KC,TE,15,145,105,1416,13.5,11,310.8,20.72,2.96
Diontae Johnson,PIT,WR,15,144,88,924,10.5,7,223.9,14.93,2.46
Calvin Ridley,ATL,WR,15,143,90,1374,15.3,9,279.5,18.63,2.94
-,CAR,WR,16,138,95,1088,11.5,3,221.3,13.83,2.24
Tyreek Hill,KC,WR,15,134,87,1276,14.7,15,328.9,21.93,3.29
Terry McLaurin,WAS,WR,15,134,87,1118,12.9,4,223.8,14.92,2.51
Tyler Lockett,SEA,WR,16,132,100,1054,10.5,10,265.4,16.59,2.65
Robert Woods,LA,WR,16,130,90,936,10.4,6,243.1,15.19,2.13
Amari Cooper,DAL,WR,16,130,92,1114,12.1,5,234.8,14.68,2.4
DK Metcalf,SEA,WR,16,129,83,1303,15.7,10,273.3,17.08,3.29
JuJu Smith-Schuster,PIT,WR,16,128,97,831,8.6,9,232.1,14.51,2.39
Cooper Kupp,LA,WR,15,125,92,969,10.5,3,210.2,14.01,2.19
Justin Jefferson,MIN,WR,16,125,88,1400,15.9,7,270.2,16.89,3.04
Brandin Cooks,HOU,WR,15,119,81,1143,14.1,6,231.3,15.42,2.86
DJ Moore,CAR,WR,15,118,66,1193,18.1,4,211.5,14.1,3.11
Marvin Jones,DET,WR,16,115,76,978,12.9,9,227.8,14.24,3
Jerry Jeudy,DEN,WR,16,113,52,856,16.5,3,155.6,9.73,2.99
J.D. McKissic,WAS,RB,16,110,80,589,7.4,2,191.4,11.96,1.16
Tyler Boyd,CIN,WR,15,110,79,841,10.6,4,192.6,12.84,2.29
Russell Gage,ATL,WR,16,110,72,786,10.9,4,181.1,11.32,2.45
Logan Thomas,WAS,TE,16,110,72,670,9.3,6,176.6,11.04,2.35
Mike Evans,TB,WR,16,109,70,989,14.1,13,246.9,15.43,3.53
Chase Claypool,PIT,WR,16,109,62,859,13.9,9,213.5,13.34,2.97
CeeDee Lamb,DAL,WR,16,109,74,935,12.6,5,209.7,13.11,2.5
Evan Engram,NYG,TE,16,109,63,654,10.4,1,141,8.81,2.04
Adam Thielen,MIN,WR,15,108,74,925,12.5,14,252,16.8,3.27
Tee Higgins,CIN,WR,15,107,67,908,13.6,6,194.6,12.97,2.7
Cole Beasley,BUF,WR,15,107,82,967,11.8,4,207.5,13.83,2.53
Alvin Kamara,NO,RB,15,107,83,756,9.1,5,378.3,25.22,1.4
Michael Gallup,DAL,WR,16,106,59,843,14.3,5,173.3,10.83,2.94
