Player,Team,Pos,Games,Snap%,Att,DB,Cmp,Cmp%,Yds,YPA,YPC,aDOT,YAC,TD,INT,INT-6,Sack,Sack%,Rtg,PPR,PPR/G
Matt Ryan,ATL,QB,16,0.992,626,667,407,0.65,4581,7.3,11.3,8.4,4.3,26,11,0,41,0.061,93.3,291.4,18.22
Tom Brady,TB,QB,16,0.954,610,631,401,0.657,4616,7.6,11.5,9,4.8,40,12,2,21,0.033,102.1,349.2,21.83
Ben Roethlisberger,PIT,QB,15,0.98,608,621,399,0.656,3784,6.2,9.5,6.9,5.1,33,10,1,13,0.021,93.9,272.4,18.16
Justin Herbert,LAC,QB,15,0.998,595,627,396,0.666,4336,7.3,10.9,7.3,5.8,31,10,0,32,0.051,98.3,338.8,22.59
Patrick Mahomes,KC,QB,15,0.979,588,609,390,0.663,4740,8.1,12.2,8.1,5.9,38,6,0,20,0.033,108.2,379.8,25.32
Josh Allen,BUF,QB,16,0.951,572,598,396,0.692,4546,7.9,11.5,8.3,5,37,10,0,26,0.043,107.2,406,25.38
Russell Wilson,SEA,QB,16,0.983,558,605,384,0.688,4212,7.5,11,8.2,5,40,13,1,47,0.078,105.1,370.8,23.17
Kyler Murray,ARI,QB,16,0.975,558,585,375,0.672,3971,7.1,10.6,7.4,4.8,26,12,1,27,0.046,94.3,390.5,24.41
Jared Goff,LA,QB,15,1,552,575,370,0.67,3943,7.1,10.7,6,6,20,13,1,23,0.04,90,250.6,16.71
Deshaun Watson,HOU,QB,16,0.999,544,593,382,0.702,4801,8.8,12.6,8.7,5.3,33,7,0,48,0.081,112.2,373.4,23.34
Philip Rivers,IND,QB,16,0.958,544,563,370,0.68,4169,7.7,11.3,7.2,6.2,24,11,1,19,0.034,97,249,15.56
Matthew Stafford,DET,QB,16,0.926,528,566,339,0.642,4084,7.7,12,8.7,5.3,26,10,3,38,0.067,96.3,266.6,16.66
Aaron Rodgers,GB,QB,16,0.978,526,546,372,0.707,4300,8.2,11.6,7.5,6.2,48,5,1,20,0.037,121.5,388.3,24.27
Kirk Cousins,MIN,QB,16,1,517,556,350,0.677,4265,8.2,12.2,7.8,5.6,35,13,1,39,0.07,105,309.2,19.33
Derek Carr,LV,QB,16,0.928,517,543,348,0.673,4102,7.9,11.8,7.8,5.9,27,9,2,26,0.048,101.4,279.1,17.44
Teddy Bridgewater,CAR,QB,15,0.965,493,524,340,0.69,3725,7.6,11,7,5.8,15,11,0,31,0.059,91.9,249.9,16.66
Baker Mayfield,CLE,QB,16,0.986,486,512,305,0.628,3560,7.3,11.7,8.2,4.7,26,8,1,26,0.051,95.9,254.5,15.91
Ryan Tannehill,TEN,QB,16,0.981,481,505,315,0.655,3817,7.9,12.1,8.1,5,33,7,0,24,0.048,106.5,345.3,21.58
Daniel Jones,NYG,QB,14,0.961,448,493,280,0.625,2943,6.6,10.5,7.3,4.3,11,10,0,44,0.089,80.4,188,13.43
Drew Lock,DEN,QB,13,0.929,443,462,254,0.573,2933,6.6,11.5,8.9,5.6,16,15,1,19,0.041,75.4,194.3,14.95
Carson Wentz,PHI,QB,12,0.968,437,487,251,0.574,2620,6,10.4,8.6,4.3,16,15,1,49,0.101,72.8,203.6,16.97
Joe Burrow,CIN,QB,10,0.975,404,436,264,0.653,2688,6.7,10.2,8.3,4.5,13,5,0,32,0.073,89.8,178.7,17.87
Drew Brees,NO,QB,12,0.892,390,403,275,0.705,2942,7.5,10.7,6.2,5.4,24,6,0,13,0.032,106.4,215.5,17.96
Lamar Jackson,BAL,QB,15,0.941,376,405,242,0.644,2757,7.3,11.4,8.5,5.1,26,9,1,29,0.072,99.3,345.8,23.05
Cam Newton,NE,QB,15,0.937,368,399,242,0.658,2657,7.2,11,6.6,5.4,8,10,1,31,0.078,82.9,269,17.93
Sam Darnold,NYJ,QB,12,0.995,364,399,217,0.596,2208,6.1,10.2,7.4,5.5,9,11,2,35,0.088,72.7,143,11.92
Andy Dalton,DAL,QB,11,0.887,333,357,216,0.649,2169,6.5,10,6.9,5,14,8,1,24,0.067,87.3,144.9,13.17
Gardner Minshew,JAC,QB,9,0.946,327,354,216,0.661,2259,6.9,10.5,7.6,5,16,5,0,27,0.076,95.9,163.7,18.18
Nick Mullens,SF,QB,10,0.853,326,345,211,0.647,2434,7.5,11.5,6.5,6.1,12,12,2,19,0.055,84.1,126,12.6
Nick Foles,CHI,QB,9,0.818,312,330,202,0.647,1853,5.9,9.2,7.6,3.9,10,8,0,18,0.055,80.8,111.7,12.41
Mitch Trubisky,CHI,QB,10,0.793,297,315,199,0.67,2055,6.9,10.3,7.8,5.4,16,8,0,18,0.057,93.5,159.8,15.98
Tua Tagovailoa,MIA,QB,10,0.867,290,310,186,0.641,1814,6.3,9.8,7.4,4.5,11,5,1,20,0.065,87.1,138.5,13.85
Ryan Fitzpatrick,MIA,QB,9,0.838,267,281,183,0.685,2091,7.8,11.4,7.7,5,13,8,0,14,0.05,95.6,155.7,17.3
Alex Smith,WAS,QB,8,0.874,252,274,168,0.667,1582,6.3,9.4,4.8,5.8,6,8,0,22,0.08,78.5,79.6,9.95
Dwayne Haskins,WAS,QB,7,0.883,241,261,148,0.614,1439,6,9.7,6.7,6.2,5,7,0,20,0.077,73,75.2,10.74
Dak Prescott,DAL,QB,5,0.94,222,232,151,0.68,1855,8.4,12.3,7.7,5.6,9,4,1,10,0.043,99.6,135.6,27.12
Mike Glennon,JAC,QB,5,0.881,179,188,111,0.62,1072,6,9.7,8,3.8,7,5,0,9,0.048,80.1,63.6,12.72
Jalen Hurts,PHI,QB,14,0.317,148,161,77,0.52,1061,7.2,13.8,8.8,6.2,6,4,0,13,0.081,77.6,113.4,8.1
Brandon Allen,CIN,QB,5,0.949,142,149,90,0.634,925,6.5,10.3,6.7,6.5,5,4,0,7,0.047,82,53.7,10.74
Jimmy Garoppolo,SF,QB,6,0.768,140,151,94,0.671,1096,7.8,11.7,6.3,7.7,7,5,0,11,0.073,92.4,69.3,11.56
Joe Flacco,NYJ,QB,5,0.767,134,141,74,0.552,864,6.4,11.7,9.9,4.9,6,3,1,7,0.05,80.6,57.2,11.43
Taysom Hill,NO,QB,16,0.437,121,135,88,0.727,928,7.7,10.5,6.8,4.4,4,2,0,14,0.104,98.8,158.6,9.91
Jake Luton,JAC,QB,3,1,110,117,60,0.545,624,5.7,10.4,7.5,4.8,2,6,0,7,0.06,54.5,27,8.99
C.J. Beathard,SF,QB,6,0.418,104,113,66,0.635,787,7.6,11.9,7.9,5.4,6,0,0,9,0.08,105.7,52.3,8.71
Kyle Allen,WAS,QB,4,0.711,87,94,60,0.69,610,7,10.2,5.7,5.7,4,1,0,7,0.074,99.3,46,11.5
Colt McCoy,NYG,QB,4,0.602,66,71,40,0.606,375,5.7,9.4,9.1,3.3,1,1,0,5,0.07,75,17.2,4.3
Jeff Driskel,DEN,QB,3,0.479,64,75,35,0.547,432,6.8,12.3,9.8,4.2,3,2,0,11,0.147,78.4,30.1,10.03
P.J. Walker,CAR,QB,4,0.451,56,60,32,0.571,358,6.4,11.2,9.8,4.2,1,5,0,4,0.067,45.1,13.1,3.28
Jarrett Stidham,NE,QB,5,0.278,44,48,22,0.5,256,5.8,11.6,5.6,8.2,2,3,1,4,0.083,54.7,15.9,3.19
Mason Rudolph,PIT,QB,4,0.276,43,44,25,0.581,324,7.5,13,10.2,4.4,2,1,0,1,0.023,87.7,19.4,4.84
Ben DiNucci,DAL,QB,2,0.669,43,50,23,0.535,219,5.1,9.5,7.8,6.2,0,0,0,7,0.14,67.9,7,3.48
Chase Daniel,DET,QB,4,0.248,43,46,29,0.674,264,6.1,9.1,6,4.1,1,2,0,3,0.065,72.2,14.2,3.54
Brett Rypien,DEN,QB,2,0.621,40,41,27,0.675,295,7.4,10.9,9.3,3.1,2,4,1,1,0.024,66.1,15.3,7.65
Chad Henne,KC,QB,3,0.441,38,40,28,0.737,248,6.5,8.9,3.9,7.4,2,0,0,2,0.05,108.2,23.7,7.91
Garrett Gilbert,DAL,QB,1,1,38,40,21,0.553,243,6.4,11.6,9.6,2.5,1,1,0,2,0.05,72.6,15.5,15.52
John Wolford,LA,QB,1,1,38,40,22,0.579,231,6.1,10.5,9.9,4.4,0,1,0,2,0.05,64.7,13.8,13.84
Ryan Finley,CIN,QB,4,0.357,32,41,17,0.531,164,5.1,9.6,10.3,4.5,1,2,0,9,0.22,52.1,21.2,5.29
Tyrod Taylor,LAC,QB,1,1,30,32,16,0.533,208,6.9,13,10.2,5.3,0,0,0,2,0.063,75.4,9,9.02
Marcus Mariota,LV,QB,1,0.855,28,28,17,0.607,226,8.1,13.3,9.6,4.5,1,1,0,0,0,83.3,26.8,26.84
Brian Hoyer,NE,QB,1,0.667,24,26,15,0.625,130,5.4,8.7,7.5,3.9,0,1,0,2,0.077,59.4,3,3
Matt Barkley,BUF,QB,4,0.203,21,22,11,0.524,197,9.4,17.9,11.9,5.5,1,1,0,1,0.045,80.9,10.3,2.57
Taylor Heinicke,WAS,QB,1,0.352,19,20,12,0.632,137,7.2,11.4,13.6,4.5,1,0,0,1,0.05,102.3,11.7,11.68
Chris Streveler,ARI,QB,2,0.19,16,18,11,0.688,105,6.6,9.5,6.5,9.1,1,1,0,2,0.111,81.5,8.7,4.35
Blaine Gabbert,TB,QB,4,0.178,16,17,9,0.563,143,8.9,15.9,6.9,9,2,0,0,1,0.059,125.8,15.3,3.83
Robert Griffin,BAL,QB,4,0,14,17,8,0.571,42,3,5.3,8.6,4.3,0,2,1,3,0.176,22.6,4.6,1.15
Nate Sudfeld,PHI,QB,1,0.261,12,14,5,0.417,32,2.7,6.4,7,4,0,1,0,2,0.143,14.6,-0.5,-0.52
Jameis Winston,NO,QB,3,0.263,11,13,7,0.636,75,6.8,10.7,4.9,8.6,0,0,0,2,0.154,83.5,2.4,0.8
David Blough,DET,QB,1,0.278,10,11,6,0.6,49,4.9,8.2,8.6,4.5,0,1,0,1,0.091,32.9,2.8,2.76
Case Keenum,CLE,QB,1,0.259,10,10,5,0.5,46,4.6,9.2,2.5,5.8,0,0,0,0,0,62.9,1.8,1.84
Trace McSorley,BAL,QB,2,0.175,10,10,3,0.3,90,9,30,8.3,18,1,0,0,0,0,97.9,9.3,4.65
Kendall Hinton,DEN,WR,1,0.558,9,10,1,0.111,13,1.4,13,14.9,16,0,2,0,1,0.1,0,-0.8,-0.78
Jacoby Brissett,IND,QB,11,0.055,8,10,2,0.25,17,2.1,8.5,7.5,9.5,0,0,0,2,0.2,39.6,20.6,1.87
Geno Smith,SEA,QB,1,0.25,5,6,4,0.8,33,6.6,8.3,3.6,3.8,0,0,0,1,0.167,94.2,1.1,1.12
Tyler Huntley,BAL,QB,2,0.201,5,5,3,0.6,15,3,5,12.4,3.7,0,0,0,0,0,64.6,2.8,1.4
Tyler Bray,CHI,QB,1,0.1,5,5,1,0.2,18,3.6,18,7,15,0,0,0,0,0,42.1,0.7,0.72
Joshua Dobbs,PIT,QB,1,0.13,5,5,4,0.8,2,0.4,0.5,-3,4.3,0,0,0,0,0,79.2,2.1,2.08
Nathan Peterman,LV,QB,1,0.169,5,7,3,0.6,25,5,8.3,1.6,7.3,0,0,0,2,0.286,72.9,1.9,1.9
