Lamar Jackson,BAL,69.686467804344,70.0813451411376,0.674387460356215,0.678895306712163,18,155,2,0,30.1356120650035,39.5508557393405,0,Playoffs
Josh Allen,BUF,47.8385943031047,51.9675369899767,0.320748978237777,0.358888384282935,19,161,3,1,3.4497514836187,44.388842819486,0,Playoffs
Patrick Mahomes,KC,34.0292081132232,35.4892798798044,0.882945641632213,0.926027383473192,7,84,0,0,0,34.0292081132232,0,Playoffs
Brock Purdy,SF,25.3193861726071,24.8538342307983,0.43053396009943,0.420390229557908,8,67,0,0,-1.0833796457078,26.4027658183149,0,Playoffs
Dak Prescott,DAL,13.0594819479467,16.168109557145,0.19004740004957,0.264121297605265,6,45,0,0,0,13.0594819479467,0,Playoffs
Baker Mayfield,TB,12.8972756231066,12.6845777299935,0.484791351923984,0.47479851366466,4,31,0,0,0,12.8972756231066,0,Playoffs
Mason Rudolph,PIT,8.90027125509021,9.38939463705205,0.718332027961422,0.764466077196294,2,16,0,0,0,8.90027125509021,0,Playoffs
Jared Goff,DET,7.69826318371436,5.89977400890407,0.545521307246128,0.389774006157269,2,10,0,0,3.88837844312312,3.80988474059124,0,Playoffs
Joe Flacco,CLE,7.01536499756565,5.23707244897013,0.234760860860854,0.144545111242828,3,13,0,0,3.26435455202837,3.75101044553728,0,Playoffs
Tua Tagovailoa,MIA,6.15347246935087,8.16885508043389,0.362731820172913,0.52120941075383,3,25,0,0,0,6.15347246935087,0,Playoffs
Jalen Hurts,PHI,0.699267894849557,0.755862527202238,0.238950728795685,0.268094381012001,1,5,0,0,0,0.699267894849557,0,Playoffs
C.J. Stroud,HOU,-11.3078164672915,-10.9108269217283,-0.670347143301812,-0.651065846232474,3,11,0,0,-7.55817691500393,-3.74963955228757,0,Playoffs
Jordan Love,GB,-26.2043685654336,-26.9775638007568,-1.09704459769008,-1.12583996966426,4,-7,0,1,-5.68619649027519,-1.36255139702661,-19.1556206781318,Playoffs
