Player,Team,Pos,Games,Att,Yds,YPA,TD,Fum,FumL,PPR,PPR/G,PPR/T
Gerald Everett,SEA,TE,15,3,20,6.7,0,2,2,117.8,7.85,2.31
Anthony McFarland,PIT,RB,2,3,3,1,0,0,0,2.4,1.2,0.6
Ian Book,NO,QB,1,3,6,2,0,0,0,4,4,1.33
Allen Lazard,GB,WR,14,3,32,10.7,0,0,0,142.5,10.18,3.31
Kadarius Toney,NYG,WR,9,3,6,2,0,0,0,82.4,9.15,1.96
Andre Roberts,LAC,WR,3,3,19,6.3,0,0,0,1.9,0.63,0.63
Tommy Tremble,CAR,TE,14,3,11,3.7,1,0,0,51.1,3.65,2.22
Sam Ehlinger,IND,QB,3,3,9,3,0,0,0,0.9,0.3,0.3
Johnny Stanton,CLE,RB,3,3,5,1.7,0,0,0,9.2,3.07,1.84
JuJu Smith-Schuster,PIT,WR,5,3,9,3,1,0,0,34.8,6.96,1.93
Chris Streveler,ARI,QB,2,3,6,2,0,1,0,2,1.02,0.68
Jason Cabinda,DET,FB,7,3,23,7.7,0,0,0,13.9,1.99,1.99
Hunter Renfrow,LV,WR,17,3,3,1,0,1,1,259.1,15.24,2.44
Adam Prentice,NO,FB,4,3,5,1.7,0,0,0,5.1,1.28,0.85
Gabe Nabers,LAC,RB,5,3,8,2.7,0,0,0,5.5,1.1,0.92
Equanimeous St. Brown,GB,WR,9,3,14,4.7,0,0,0,20.2,2.24,1.68
-,CAR,WR,17,3,36,12,0,0,0,138.5,8.15,2.47
Ashton Dulin,IND,WR,14,3,32,10.7,0,0,0,45.5,3.25,2.84
Reggie Gilliam,BUF,FB,6,3,3,1,0,0,0,5.6,0.93,0.93
Khari Blasingame,TEN,FB,3,3,6,2,0,1,1,1,0.33,0.2
Davis Webb,BUF,QB,1,2,-3,-1.5,0,0,0,-0.3,-0.3,-0.15
Kyle Allen,WAS,QB,2,2,11,5.5,0,1,1,7.9,3.95,3.95
Zay Jones,LV,WR,15,2,3,1.5,0,1,1,105.9,7.06,2.16
Zach Pascal,IND,WR,16,2,21,10.5,0,1,1,95.5,5.97,2.39
Emmanuel Sanders,BUF,WR,14,2,31,15.5,0,0,0,131.7,9.41,2.99
Joe Flacco,NYJ,QB,2,2,3,1.5,0,1,1,23.8,11.91,11.91
Dallin Leavitt,LV,SS,2,2,6,3,0,0,0,0.6,0.3,0.3
Van Jefferson,LA,WR,17,2,20,10,0,0,0,168.2,9.89,3.23
John Kelly,CLE,RB,1,2,13,6.5,0,0,0,1.3,1.3,0.65
Tyler Boyd,CIN,WR,16,2,22,11,0,1,0,183.8,11.49,2.66
A.J. Brown,TEN,WR,13,2,10,5,0,0,0,180.9,13.92,2.78
Tyler Lockett,SEA,WR,16,2,9,4.5,0,0,0,239.4,14.96,3.19
John Wolford,LA,QB,2,2,-1,-0.5,0,0,0,-0.9,-0.45,-0.45
Sean Mannion,MIN,QB,1,2,14,7,0,0,0,13,12.96,6.48
Brandin Cooks,HOU,WR,16,2,21,10.5,0,0,0,231.6,14.48,2.52
Travis Kelce,KC,TE,16,2,3,1.5,1,1,1,263.7,16.48,2.81
Jaylen Waddle,MIA,WR,16,2,3,1.5,1,1,0,247.8,15.49,2.34
Ray-Ray McCloud,PIT,WR,14,2,15,7.5,0,1,0,69.4,4.96,1.69
Jerry Jeudy,DEN,WR,10,2,3,1.5,0,1,0,85,8.5,2.13
Jacques Patrick,SF,RB,1,2,12,6,0,0,0,1.2,1.2,0.6
Marquise Goodwin,CHI,WR,14,2,-1,-0.5,0,0,0,57.2,4.09,2.6
Cameron Batson,TEN,WR,3,2,15,7.5,0,0,0,11,3.67,2.75
Scott Miller,TB,WR,5,2,43,21.5,1,0,0,19.1,3.82,2.73
Andy Janovich,CLE,RB,4,2,0,0,1,0,0,9.9,2.48,1.98
Alec Ingold,LV,FB,7,2,1,0.5,0,0,0,24.6,3.51,2.05
Patrick Ricard,BAL,FB,7,2,4,2,0,0,0,20.7,2.96,2.07
Marcus Johnson,TEN,WR,7,2,-2,-1,0,0,0,24.8,3.54,2.25
Mekhi Sargent,LA,RB,1,2,5,2.5,0,0,0,0.5,0.5,0.25
Mekhi Sargent,TEN,RB,2,2,4,2,0,0,0,0.4,0.2,0.2
Odell Beckham,CLE,WR,6,2,14,7,0,0,0,41.6,6.93,2.19
Darrynton Evans,TEN,RB,1,2,7,3.5,0,0,0,3.8,3.8,0.95
Durham Smythe,MIA,TE,15,2,3,1.5,0,0,0,70,4.67,1.94
Raheem Mostert,SF,RB,1,2,20,10,0,0,0,2,2,1
James Washington,PIT,WR,15,2,13,6.5,0,0,0,65.8,4.39,2.53
Jake Funk,LA,RB,2,2,5,2.5,0,0,0,0.5,0.25,0.25
Cedrick Wilson,DAL,WR,14,2,11,5.5,0,1,0,145.8,10.42,3.1
Chase Daniel,LAC,QB,1,2,-2,-1,0,0,0,-0.2,-0.2,-0.1
Kurt Benkert,GB,QB,1,2,-1,-0.5,0,0,0,-0.1,-0.1,-0.05
Nathan Peterman,LV,QB,1,2,2,1,0,0,0,0.2,0.2,0.1
Trenton Cannon,BAL,RB,1,2,5,2.5,0,0,0,0.5,0.5,0.25
Tim Boyle,DET,QB,4,2,13,6.5,0,0,0,28.3,7.09,14.17
Nathan Cottrell,JAC,RB,1,1,3,3,0,0,0,0.3,0.3,0.3
