Player,Team,Pos,Games,Att,Yds,YPA,TD,Fum,FumL,PPR,PPR/G,PPR/T
Taysom Hill,NO,QB,12,70,374,5.3,5,2,0,126.7,10.56,1.71
Mark Ingram,NO,RB,7,68,260,3.8,1,1,1,63.8,9.11,0.73
Justin Jackson,LAC,RB,13,68,364,5.4,2,1,1,86.2,6.63,0.96
Kenneth Gainwell,PHI,RB,16,68,291,4.3,5,1,1,121.4,7.59,1.2
Jaret Patterson,WAS,RB,14,68,266,3.9,2,1,0,55.9,3.99,0.72
David Johnson,HOU,RB,13,67,228,3.4,0,1,1,81.3,6.25,0.82
Patrick Mahomes,KC,QB,17,66,381,5.8,2,8,4,370.7,21.8,5.62
Justin Herbert,LAC,QB,17,63,302,4.8,3,1,1,383.8,22.57,6.09
Kenyan Drake,LV,RB,12,63,254,4,2,0,0,102.5,8.54,1.1
Daniel Jones,NYG,QB,11,62,298,4.8,2,7,3,168.5,15.32,2.67
Ty Johnson,NYJ,RB,15,61,238,3.9,2,1,1,117,7.8,1.23
Taylor Heinicke,WAS,QB,16,59,312,5.3,1,7,2,236.6,14.79,3.94
Deebo Samuel,SF,WR,16,58,358,6.2,8,4,2,337.5,21.09,2.5
Carson Wentz,IND,QB,17,57,215,3.8,1,8,5,261,15.35,4.58
Dontrell Hilliard,TEN,RB,7,56,350,6.3,2,2,1,72.7,10.39,0.97
Nyheim Hines,IND,RB,17,56,276,4.9,2,1,0,115.6,6.8,1.2
Peyton Barber,LV,RB,9,55,212,3.9,2,1,0,49.9,5.54,0.77
Samaje Perine,CIN,RB,15,55,246,4.5,1,0,0,83.2,5.55,1.01
Ryan Tannehill,TEN,QB,17,55,270,4.9,7,10,4,280.5,16.5,5.1
Craig Reynolds,DET,RB,5,55,230,4.2,0,0,0,35.2,7.04,0.57
Tony Jones,NO,RB,10,54,142,2.6,0,0,0,22.1,2.21,0.37
Chris Carson,SEA,RB,4,54,232,4.3,3,1,1,48.1,12.03,0.8
Salvon Ahmed,MIA,RB,11,54,149,2.8,0,0,0,38.6,3.51,0.58
Derrick Gore,KC,RB,8,51,256,5,2,0,0,56.1,7.01,0.95
Phillip Lindsay,HOU,RB,10,50,130,2.6,1,0,0,31.7,3.17,0.6
Sam Darnold,CAR,QB,12,48,222,4.6,5,7,4,168.2,14.02,3.51
Dak Prescott,DAL,QB,16,48,131,2.7,1,13,6,323.1,20.19,6.73
J.D. McKissic,WAS,RB,11,48,212,4.4,2,0,0,127.9,11.63,1.41
Cam Newton,CAR,QB,7,47,230,4.9,5,4,1,89.4,12.77,1.9
Tyler Huntley,BAL,QB,7,47,294,6.3,2,4,3,86.6,12.38,1.84
Brandon Bolden,NE,RB,16,44,226,5.1,1,1,0,122.1,7.63,1.44
Ameer Abdullah,CAR,RB,10,44,136,3.1,0,0,0,81.8,8.18,1.04
Mac Jones,NE,QB,17,43,129,3,0,6,3,234,13.76,5.44
Dare Ogunbowale,JAC,RB,10,43,137,3.2,1,0,0,50.1,5.01,0.89
Russell Wilson,SEA,QB,14,43,183,4.3,2,6,1,246.8,17.63,5.74
Tua Tagovailoa,MIA,QB,13,42,128,3,3,8,1,188.9,14.53,4.5
Jeremy McNichols,TEN,RB,13,41,156,3.8,0,0,0,73.6,5.66,1.07
Trey Sermon,SF,RB,5,41,167,4.1,1,0,0,28.3,5.66,0.64
