rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
1,18877,Christian McCaffrey,SF,RB,1,NYJ,16.8,79.9,4.8,0.7,5.2,4.2,33.1,0.3,0.1,0.1,21.3
2,23189,Bijan Robinson,ATL,RB,1,PIT,15.2,71.4,4.7,0.5,4.8,3.7,29.9,0.2,0.1,0.1,17.8
3,22526,Breece Hall,NYJ,RB,1,SF,15.8,70.3,4.4,0.5,4.6,3.6,28.8,0.2,0.1,0.1,17.5
4,23200,Jahmyr Gibbs,DET,RB,1,LA,12.3,60.7,4.9,0.5,4.2,3.5,25.2,0.2,0.1,0.1,16.1
5,18878,Alvin Kamara,NO,RB,1,CAR,14.4,57.8,4.0,0.4,5.1,4.1,27.9,0.2,0.1,0.1,16.1
6,20824,Josh Jacobs,GB,RB,1,PHI,16.3,70.9,4.3,0.6,3.4,2.7,19.2,0.1,0.1,0.1,15.7
7,21682,Jonathan Taylor,IND,RB,1,HOU,16.9,76.1,4.5,0.6,2.8,2.1,16.5,0.1,0.1,0.1,15.4
8,19766,Saquon Barkley,PHI,RB,1,GB,16.3,71.8,4.4,0.5,3.4,2.7,19.3,0.1,0.1,0.1,15.2
9,21696,Travis Etienne Jr.,JAC,RB,1,MIA,15.2,64.1,4.2,0.5,3.7,2.9,22.7,0.1,0.1,0.1,15.0
10,24179,De'Von Achane,MIA,RB,1,JAC,11.2,58.3,5.2,0.5,3.6,2.8,22.3,0.2,0.1,0.1,14.9
11,23212,Kyren Williams,LA,RB,1,DET,14.7,67.0,4.6,0.6,3.2,2.4,17.2,0.1,0.1,0.1,14.8
12,18858,Joe Mixon,HOU,RB,1,IND,14.8,62.4,4.2,0.5,3.5,2.7,20.0,0.1,0.1,0.1,14.3
13,23217,Rachaad White,TB,RB,1,WAS,15.1,58.1,3.8,0.4,3.9,3.2,24.7,0.1,0.1,0.1,14.3
14,23371,Isiah Pacheco,KC,RB,1,BAL,14.4,65.8,4.6,0.5,3.3,2.5,17.6,0.1,0.1,0.1,14.2
15,17959,Derrick Henry,BAL,RB,1,KC,16.2,72.9,4.5,0.7,1.6,1.3,10.1,0.1,0.1,0.1,14.2
16,23214,Kenneth Walker III,SEA,RB,1,DEN,15.5,68.9,4.4,0.6,2.5,1.9,13.9,0.1,0.1,0.1,14.2
17,23247,James Cook,BUF,RB,1,ARI,12.6,59.7,4.7,0.3,3.4,2.8,22.2,0.2,0.1,0.1,13.8
18,23205,Jerome Ford,CLE,RB,1,DAL,14.3,58.2,4.1,0.4,3.4,2.4,17.8,0.1,0.1,0.1,12.8
19,18983,James Conner,ARI,RB,1,BUF,13.6,59.0,4.3,0.4,3.2,2.4,16.9,0.1,0.1,0.1,12.8
20,20882,David Montgomery,DET,RB,1,LA,12.1,58.5,4.8,0.7,1.7,1.3,9.9,0.1,0.1,0.1,12.7
21,19045,Aaron Jones,MIN,RB,1,NYG,13.2,58.1,4.4,0.4,3.3,2.3,17.4,0.1,0.1,0.1,12.7
22,20941,Devin Singletary,NYG,RB,1,MIN,14.0,57.6,4.1,0.4,3.0,2.2,14.6,0.1,0.1,0.1,12.2
23,21684,D'Andre Swift,CHI,RB,1,TEN,10.9,49.3,4.5,0.4,3.3,2.4,17.2,0.1,0.1,0.1,11.8
24,17217,Raheem Mostert,MIA,RB,1,JAC,10.7,52.0,4.9,0.5,1.8,1.6,11.2,0.1,0.1,0.1,11.3
