rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
1,19801,Josh Allen,BUF,QB,1,ARI,22.4,34.2,65.5,258.7,7.6,1.8,0.8,95.1,7.1,35.4,5.0,0.6,22.3
2,21831,Jalen Hurts,PHI,QB,1,GB,21.3,32.8,64.9,238.6,7.3,1.5,0.7,92.9,8.5,39.1,4.6,0.7,21.4
3,19781,Lamar Jackson,BAL,QB,1,KC,19.5,30.3,64.4,221.4,7.3,1.4,0.6,85.6,9.1,51.4,5.6,0.3,19.6
4,23239,C.J. Stroud,HOU,QB,1,IND,23.3,35.1,66.4,280.7,8.0,1.9,0.6,97.4,2.7,11.2,4.1,0.2,19.6
5,18890,Patrick Mahomes,KC,QB,1,BAL,24.3,36.5,66.6,265.4,7.3,1.9,0.7,95.2,4.7,23.3,5.0,0.1,19.4
6,24117,Anthony Richardson,IND,QB,1,HOU,19.5,31.3,62.3,223.8,7.2,1.3,0.7,83.3,7.6,41.3,5.4,0.5,19.3
7,21841,Jordan Love,GB,QB,1,PHI,22.8,34.4,66.3,256.2,7.4,1.8,0.7,97.2,2.6,12.1,4.7,0.2,17.9
8,22490,Trevor Lawrence,JAC,QB,1,MIA,23.5,35.4,66.4,255.4,7.2,1.6,0.7,96.7,4.0,18.2,4.5,0.2,17.6
9,17922,Jared Goff,DET,QB,1,LA,23.6,35.2,67.0,267.3,7.6,1.9,0.6,98.2,1.2,3.5,2.9,0.1,17.6
10,21693,Joe Burrow,CIN,QB,1,NE,23.0,34.8,66.1,249.7,7.2,1.8,0.7,93.8,3.8,13.7,3.6,0.1,17.4
11,20889,Kyler Murray,ARI,QB,1,BUF,21.4,32.9,65.0,224.3,6.8,1.2,0.7,80.9,6.4,35.0,5.5,0.3,17.3
12,23235,Jayden Daniels,WAS,QB,1,TB,20.0,32.9,60.8,221.5,6.7,1.2,0.8,78.1,6.9,38.6,5.6,0.3,17.1
13,24927,Caleb Williams,CHI,QB,1,TEN,20.8,33.7,61.7,239.4,7.1,1.5,0.7,90.2,5.0,21.4,4.3,0.2,16.9
14,9038,Matthew Stafford,LA,QB,1,DET,22.6,35.4,63.8,269.9,7.6,1.7,0.8,96.1,1.3,4.1,3.2,0.1,16.8
15,21677,Tua Tagovailoa,MIA,QB,1,JAC,22.7,33.8,67.2,270.9,8.0,1.8,0.8,99.0,1.6,5.4,3.4,0.0,16.6
16,14895,Geno Smith,SEA,QB,1,DEN,21.9,32.6,67.2,243.1,7.5,1.7,0.8,95.9,3.1,13.1,4.2,0.1,16.4
17,21681,Justin Herbert,LAC,QB,1,LV,21.7,33.3,65.2,235.4,7.1,1.4,0.6,84.8,4.5,17.3,3.8,0.2,16.4
