"Player","Tm","Pos","Opp","PaCom","PaAtt","PaYds","PaTDs","INT","RuAtt","RuYds","RuTDs","Tar","Rec","ReYds","ReTDs","Fum","FGM","39M","49M","50M","XPM","Sks","FR","DINT","DTD","PPG","Yds","0.5","PPR","Non"
"Travis Etienne Jr.","JAC","RB","MIA","0.0","0.0","0.0","0.0","0.0","14.0","56.6","0.5","3.8","3.1","20.6","0.1","0.1","","","","","","","","","","","","12.7","14.2","11.2"
"Jahmyr Gibbs","DET","RB","LA","0.0","0.0","0.0","0.0","0.0","11.0","54.3","0.4","3.7","3.1","23.7","0.2","0.1","","","","","","","","","","","","12.6","14.1","11.0"
"Rachaad White","TB","RB","WAS","0.0","0.0","0.0","0.0","0.0","15.1","58.1","0.4","3.9","3.2","21.7","0.1","0.1","","","","","","","","","","","","12.4","14.0","10.8"
"Kyren Williams","LA","RB","DET","0.0","0.0","0.0","0.0","0.0","14.9","62.0","0.4","3.1","2.4","15.7","0.1","0.1","","","","","","","","","","","","12.2","13.4","11.0"
"James Cook","BUF","RB","ARI","0.0","0.0","0.0","0.0","0.0","13.9","62.4","0.4","3.1","2.5","18.9","0.1","0.1","","","","","","","","","","","","12.2","13.5","10.9"
"Alvin Kamara","NO","RB","CAR","0.0","0.0","0.0","0.0","0.0","12.1","48.9","0.3","4.5","4.0","27.4","0.2","0.1","","","","","","","","","","","","12.2","14.2","10.2"
"Josh Jacobs","GB","RB","PHI","0.0","0.0","0.0","0.0","0.0","15.4","62.0","0.4","3.4","2.7","18.7","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","12.2","13.5","10.8"
"De'Von Achane","MIA","RB","JAC","0.0","0.0","0.0","0.0","0.0","11.5","54.3","0.3","3.4","2.9","23.8","0.2","0.1","","","","","","","","","","","","12.2","13.6","10.7"
"Kenneth Walker III","SEA","RB","DEN","0.0","0.0","0.0","0.0","0.0","15.5","63.9","0.6","2.1","1.8","11.5","0.1","0.1","","","","","","","","","","","","12.1","13.0","11.3"
"Isiah Pacheco","KC","RB","BAL","0.0","0.0","0.0","0.0","0.0","14.9","62.5","0.4","3.4","2.6","15.7","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","12.1","13.4","10.8"
"Derrick Henry","BAL","RB","KC","0.0","0.0","0.0","0.0","0.0","16.6","69.3","0.5","1.9","1.4","9.4","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","12.0","12.7","11.4"
"Ja'Marr Chase","CIN","WR","NE","0.0","0.0","0.0","0.0","0.0","0.2","0.9","0.0","8.3","5.7","70.1","0.5","0.0","","","","","","","","","","","","12.8","15.7","10.0"
"A.J. Brown","PHI","WR","GB","0.0","0.0","0.0","0.0","0.0","0.1","0.6","0.0","8.5","5.7","73.1","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","12.8","15.6","10.0"
"Cooper Kupp","LA","WR","DET","0.0","0.0","0.0","0.0","0.0","0.2","1.1","0.0","8.8","6.0","69.7","0.4","0.0","","","","","","","","","","","","12.8","15.8","9.8"
"Mike Evans","TB","WR","WAS","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.8","4.9","74.6","0.5","0.0","","","","","","","","","","","","12.7","15.2","10.3"
"Garrett Wilson","NYJ","WR","SF","0.0","0.0","0.0","0.0","0.0","0.2","0.9","0.0","9.3","5.8","71.8","0.4","0.1","","","","","","","","","","","","12.6","15.5","9.8"
"Joe Mixon","HOU","RB","IND","0.0","0.0","0.0","0.0","0.0","15.7","58.2","0.4","2.9","2.4","15.2","0.1","0.1","","","","","","","","","","","","11.6","12.8","10.4"
"Davante Adams","LV","WR","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.7","5.7","71.5","0.4","0.1","","","","","","","","","","","","12.2","15.1","9.3"
"Aaron Jones","MIN","RB","NYG","0.0","0.0","0.0","0.0","0.0","13.8","56.3","0.4","3.4","2.5","15.8","0.1","0.1","","","","","","","","","","","","11.1","12.3","9.9"
"Chris Olave","NO","WR","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.6","5.5","67.2","0.4","0.0","","","","","","","","","","","","11.8","14.6","9.1"
"Rashee Rice","KC","WR","BAL","0.0","0.0","0.0","0.0","0.0","0.1","0.5","0.0","7.8","5.8","64.9","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","11.6","14.5","8.7"
"Drake London","ATL","WR","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.2","5.3","65.6","0.4","0.0","","","","","","","","","","","","11.6","14.2","8.9"
"Marvin Harrison Jr.","ARI","WR","BUF","0.0","0.0","0.0","0.0","0.0","0.2","1.1","0.0","8.9","5.4","65.2","0.4","0.0","","","","","","","","","","","","11.6","14.3","8.9"
"Jaylen Waddle","MIA","WR","JAC","0.0","0.0","0.0","0.0","0.0","0.2","1.0","0.0","7.0","5.0","64.8","0.4","0.0","","","","","","","","","","","","11.5","14.0","9.0"
"Travis Kelce","KC","TE","BAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.6","5.7","58.7","0.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","11.7","14.5","8.9"
"David Montgomery","DET","RB","LA","0.0","0.0","0.0","0.0","0.0","13.5","59.0","0.5","1.5","1.3","7.4","0.1","0.1","","","","","","","","","","","","10.7","11.3","10.0"
"Nico Collins","HOU","WR","IND","0.0","0.0","0.0","0.0","0.0","0.1","0.5","0.0","7.0","4.9","66.7","0.4","0.1","","","","","","","","","","","","11.4","13.9","9.0"
"Deebo Samuel","SF","WR","NYJ","0.0","0.0","0.0","0.0","0.0","2.6","13.5","0.1","6.3","4.2","55.0","0.3","0.1","","","","","","","","","","","","11.2","13.3","9.1"
"Michael Pittman Jr.","IND","WR","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.1","5.8","63.4","0.3","0.1","","","","","","","","","","","","11.2","14.1","8.3"
"D.J. Moore","CHI","WR","TEN","0.0","0.0","0.0","0.0","0.0","0.4","2.0","0.0","7.0","4.6","62.4","0.4","0.0","","","","","","","","","","","","11.1","13.4","8.8"
"Josh Allen","BUF","QB","ARI","22.2","32.8","246.9","1.7","0.6","7.8","33.8","0.6","0.0","0.0","0.0","0.0","0.3","","","","","","","","","","","","22.9","22.9","22.9"
"James Conner","ARI","RB","BUF","0.0","0.0","0.0","0.0","0.0","13.2","56.2","0.3","2.6","2.0","12.2","0.1","0.1","","","","","","","","","","","","10.2","11.2","9.2"
"Raheem Mostert","MIA","RB","JAC","0.0","0.0","0.0","0.0","0.0","11.4","51.8","0.5","2.1","1.7","10.1","0.1","0.1","","","","","","","","","","","","10.2","11.0","9.4"
"Rhamondre Stevenson","NE","RB","CIN","0.0","0.0","0.0","0.0","0.0","13.5","52.5","0.3","3.7","2.5","15.6","0.1","0.1","","","","","","","","","","","","10.2","11.5","8.9"
"Devin Singletary","NYG","RB","MIN","0.0","0.0","0.0","0.0","0.0","14.7","55.0","0.3","2.9","2.1","11.6","0.1","0.1","","","","","","","","","","","","10.1","11.2","9.1"
"Malik Nabers","NYG","WR","MIN","0.0","0.0","0.0","0.0","0.0","0.1","0.6","0.0","7.9","4.9","60.1","0.4","0.0","","","","","","","","","","","","10.8","13.2","8.3"
"DK Metcalf","SEA","WR","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.5","4.6","60.7","0.4","0.0","","","","","","","","","","","","10.7","13.0","8.4"
"Stefon Diggs","HOU","WR","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.2","5.0","59.6","0.4","0.0","","","","","","","","","","","","10.7","13.2","8.2"
"DeVonta Smith","PHI","WR","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.7","4.8","61.1","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","10.7","13.0","8.3"
"Chris Godwin","TB","WR","WAS","0.0","0.0","0.0","0.0","0.0","0.1","0.5","0.0","7.6","5.3","58.4","0.3","0.0","","","","","","","","","","","","10.5","13.2","7.9"
"D'Andre Swift","CHI","RB","TEN","0.0","0.0","0.0","0.0","0.0","10.9","47.6","0.3","3.2","2.4","14.5","0.1","0.1","","","","","","","","","","","","9.7","11.0","8.5"
"Chuba Hubbard","CAR","RB","NO","0.0","0.0","0.0","0.0","0.0","13.3","51.4","0.3","2.4","1.8","11.9","0.1","0.1","","","","","","","","","","","","9.7","10.6","8.8"
"Javonte Williams","DEN","RB","SEA","0.0","0.0","0.0","0.0","0.0","12.5","51.1","0.2","3.5","2.6","16.2","0.1","0.1","","","","","","","","","","","","9.7","11.0","8.4"
"Sam LaPorta","DET","TE","LA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.8","5.3","54.9","0.4","0.1","","","","","","","","","","","","10.7","13.4","8.0"
"Jerome Ford","CLE","RB","DAL","0.0","0.0","0.0","0.0","0.0","12.3","47.4","0.3","2.8","2.3","14.4","0.1","0.1","","","","","","","","","","","","9.6","10.8","8.5"
"Zamir White","LV","RB","LAC","0.0","0.0","0.0","0.0","0.0","14.9","55.7","0.3","2.3","1.7","9.8","0.1","0.1","","","","","","","","","","","","9.6","10.5","8.8"
"Christian Kirk","JAC","WR","MIA","0.0","0.0","0.0","0.0","0.0","0.1","0.5","0.0","7.2","4.8","57.2","0.4","0.0","","","","","","","","","","","","10.3","12.7","8.0"
"Najee Harris","PIT","RB","ATL","0.0","0.0","0.0","0.0","0.0","13.8","55.7","0.3","2.4","1.7","8.5","0.1","0.1","","","","","","","","","","","","9.5","10.4","8.7"
"Jalen Hurts","PHI","QB","GB","21.7","32.9","242.7","1.5","0.6","8.9","41.6","0.5","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","22.1","22.1","22.1"
"Amari Cooper","CLE","WR","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.5","4.4","57.8","0.4","0.0","","","","","","","","","","","","10.1","12.3","7.9"
"Terry McLaurin","WAS","WR","TB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.2","4.5","58.0","0.3","0.1","","","","","","","","","","","","10.0","12.2","7.7"
"Tony Pollard","TEN","RB","CHI","0.0","0.0","0.0","0.0","0.0","11.3","44.3","0.3","2.7","2.0","12.9","0.1","0.1","","","","","","","","","","","","9.0","10.0","8.1"
"Zack Moss","CIN","RB","NE","0.0","0.0","0.0","0.0","0.0","12.3","45.6","0.3","2.2","1.8","11.7","0.1","0.1","","","","","","","","","","","","9.0","9.9","8.1"
"Brandon Aiyuk","SF","WR","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.4","4.0","55.0","0.4","0.0","","","","","","","","","","","","9.8","11.8","7.8"
"Calvin Ridley","TEN","WR","CHI","0.0","0.0","0.0","0.0","0.0","0.2","0.8","0.0","7.5","4.4","56.5","0.3","0.0","","","","","","","","","","","","9.8","12.0","7.6"
"Trey McBride","ARI","TE","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.2","5.4","51.6","0.4","0.0","","","","","","","","","","","","10.0","12.7","7.2"
"Tank Dell","HOU","WR","IND","0.0","0.0","0.0","0.0","0.0","0.5","2.5","0.0","5.9","4.1","53.9","0.3","0.0","","","","","","","","","","","","9.7","11.7","7.6"
"Brian Robinson Jr.","WAS","RB","TB","0.0","0.0","0.0","0.0","0.0","10.8","43.9","0.4","2.3","1.6","13.0","0.1","0.1","","","","","","","","","","","","8.9","9.7","8.1"
"Zay Flowers","BAL","WR","KC","0.0","0.0","0.0","0.0","0.0","0.3","1.7","0.0","6.7","4.6","53.2","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","9.7","12.0","7.4"
"George Pickens","PIT","WR","ATL","0.0","0.0","0.0","0.0","0.0","0.2","1.0","0.0","7.4","4.2","54.5","0.3","0.0","","","","","","","","","","","","9.6","11.7","7.5"
"Joshua Palmer","LAC","WR","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.8","4.3","53.7","0.4","0.0","","","","","","","","","","","","9.6","11.7","7.4"
"Keenan Allen","CHI","WR","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.5","4.6","50.8","0.4","0.0","","","","","","","","","","","","9.5","11.8","7.2"
"Diontae Johnson","CAR","WR","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.5","4.6","54.7","0.3","0.0","","","","","","","","","","","","9.3","11.6","7.0"
"Patrick Mahomes","KC","QB","BAL","25.7","37.8","273.8","1.9","0.6","4.3","21.3","0.2","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","21.1","21.1","21.1"
"Evan Engram","JAC","TE","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","5.2","46.0","0.4","0.0","","","","","","","","","","","","9.4","12.0","6.8"
"Mark Andrews","BAL","TE","KC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.8","4.5","49.8","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","9.4","11.6","7.1"
"Dalton Kincaid","BUF","TE","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.6","4.6","48.2","0.4","0.1","","","","","","","","","","","","9.2","11.5","6.9"
"Austin Ekeler","WAS","RB","TB","0.0","0.0","0.0","0.0","0.0","7.6","27.4","0.2","4.2","3.0","20.8","0.1","0.1","","","","","","","","","","","","8.1","9.6","6.6"
"Chase Brown","CIN","RB","NE","0.0","0.0","0.0","0.0","0.0","9.1","34.9","0.2","2.8","2.2","15.2","0.1","0.1","","","","","","","","","","","","8.1","9.2","6.9"
"Tyjae Spears","TEN","RB","CHI","0.0","0.0","0.0","0.0","0.0","8.8","34.5","0.2","3.2","2.5","16.4","0.1","0.1","","","","","","","","","","","","8.0","9.3","6.8"
"Jayden Reed","GB","WR","PHI","0.0","0.0","0.0","0.0","0.0","0.9","5.6","0.0","5.6","3.8","45.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","8.8","10.7","6.9"
"C.J. Stroud","HOU","QB","IND","22.9","35.9","280.0","1.9","0.6","2.8","9.1","0.3","0.0","0.0","0.0","0.0","0.2","","","","","","","","","","","","20.5","20.5","20.5"
"Kyle Pitts","ATL","TE","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.2","4.0","47.3","0.4","0.0","","","","","","","","","","","","8.8","10.8","6.9"
"Courtland Sutton","DEN","WR","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.4","3.7","49.0","0.3","0.0","","","","","","","","","","","","8.6","10.5","6.7"
"Xavier Worthy","KC","WR","BAL","0.0","0.0","0.0","0.0","0.0","0.1","0.6","0.0","5.3","3.4","47.2","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","8.6","10.3","6.9"
"Jaxon Smith-Njigba","SEA","WR","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.8","4.0","46.6","0.3","0.0","","","","","","","","","","","","8.5","10.6","6.5"
"Anthony Richardson","IND","QB","HOU","19.6","31.8","227.8","1.2","0.7","9.3","44.2","0.5","0.0","0.0","0.0","0.0","0.3","","","","","","","","","","","","20.2","20.2","20.2"
"Gus Edwards","LAC","RB","LV","0.0","0.0","0.0","0.0","0.0","11.4","46.1","0.3","1.2","0.9","5.8","0.0","0.1","","","","","","","","","","","","7.6","8.0","7.1"
"David Njoku","CLE","TE","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.5","4.4","43.5","0.3","0.0","","","","","","","","","","","","8.5","10.7","6.3"
"George Kittle","SF","TE","NYJ","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.1","3.8","44.0","0.4","0.0","","","","","","","","","","","","8.5","10.3","6.6"
"DeAndre Hopkins","TEN","WR","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.2","3.7","46.1","0.3","0.0","","","","","","","","","","","","8.3","10.1","6.4"
"Jaylen Warren","PIT","RB","ATL","0.0","0.0","0.0","0.0","0.0","7.2","29.0","0.2","3.7","2.8","14.1","0.1","0.1","","","","","","","","","","","","7.4","8.8","6.0"
"J.K. Dobbins","LAC","RB","LV","0.0","0.0","0.0","0.0","0.0","9.2","36.8","0.3","2.2","1.7","10.0","0.1","0.1","","","","","","","","","","","","7.4","8.3","6.6"
"Brian Thomas Jr.","JAC","WR","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.8","3.5","43.3","0.4","0.0","","","","","","","","","","","","8.2","9.9","6.4"
"Christian Watson","GB","WR","PHI","0.0","0.0","0.0","0.0","0.0","0.2","1.3","0.0","5.2","3.3","42.4","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","8.2","9.8","6.5"
"Andrei Iosivas","CIN","WR","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.2","3.5","44.0","0.3","0.0","","","","","","","","","","","","8.0","9.8","6.3"
"Lamar Jackson","BAL","QB","KC","19.6","30.9","219.8","1.3","0.5","8.7","48.7","0.3","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","19.8","19.8","19.8"
"Jordan Addison","MIN","WR","NYG","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.9","3.6","45.5","0.3","0.0","","","","","","","","","","","","8.0","9.8","6.2"
"Jake Ferguson","DAL","TE","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.4","4.4","41.1","0.3","0.0","","","","","","","","","","","","8.1","10.3","5.9"
"Tyler Lockett","SEA","WR","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.4","3.7","42.7","0.3","0.0","","","","","","","","","","","","7.9","9.7","6.1"
"Khalil Shakir","BUF","WR","ARI","0.0","0.0","0.0","0.0","0.0","0.3","1.4","0.0","4.5","3.4","42.8","0.3","0.0","","","","","","","","","","","","7.9","9.6","6.2"
"Romeo Doubs","GB","WR","PHI","0.0","0.0","0.0","0.0","0.0","0.1","0.5","0.0","5.4","3.5","42.1","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","7.8","9.6","6.1"
"Rome Odunze","CHI","WR","TEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.7","3.6","43.3","0.3","0.0","","","","","","","","","","","","7.8","9.6","6.0"
"Ezekiel Elliott","DAL","RB","CLE","0.0","0.0","0.0","0.0","0.0","9.4","32.5","0.3","2.3","1.7","8.9","0.1","0.1","","","","","","","","","","","","7.0","7.8","6.1"
"Dallas Goedert","PHI","TE","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.7","4.3","39.5","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","7.9","10.1","5.8"
"Jakobi Meyers","LV","WR","LAC","0.0","0.0","0.0","0.0","0.0","0.3","1.6","0.0","5.7","3.6","41.7","0.3","0.0","","","","","","","","","","","","7.7","9.5","5.9"
"Ladd McConkey","LAC","WR","LV","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.9","3.6","41.0","0.3","0.0","","","","","","","","","","","","7.7","9.5","5.9"
"Jameson Williams","DET","WR","LA","0.0","0.0","0.0","0.0","0.0","0.3","1.7","0.0","4.5","3.0","40.3","0.3","0.0","","","","","","","","","","","","7.6","9.2","6.1"
"Rico Dowdle","DAL","RB","CLE","0.0","0.0","0.0","0.0","0.0","8.0","35.4","0.2","2.5","1.7","9.7","0.0","0.1","","","","","","","","","","","","6.7","7.6","5.8"
"Brandin Cooks","DAL","WR","CLE","0.0","0.0","0.0","0.0","0.0","0.3","2.1","0.0","5.6","3.4","39.4","0.3","0.0","","","","","","","","","","","","7.4","9.2","5.7"
"Jerry Jeudy","CLE","WR","DAL","0.0","0.0","0.0","0.0","0.0","0.1","0.5","0.0","5.5","3.5","39.9","0.3","0.0","","","","","","","","","","","","7.4","9.1","5.6"
"Gabe Davis","JAC","WR","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.1","3.0","39.8","0.3","0.0","","","","","","","","","","","","7.3","8.8","5.8"
"Jaleel McLaughlin","DEN","RB","SEA","0.0","0.0","0.0","0.0","0.0","5.9","25.3","0.1","3.2","2.3","15.4","0.1","0.1","","","","","","","","","","","","6.4","7.6","5.3"
"Adam Thielen","CAR","WR","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","6.0","3.7","38.7","0.2","0.0","","","","","","","","","","","","7.2","9.0","5.3"
"Rashid Shaheed","NO","WR","CAR","0.0","0.0","0.0","0.0","0.0","0.4","2.1","0.0","4.5","2.8","37.9","0.3","0.0","","","","","","","","","","","","7.1","8.5","5.7"
"Darnell Mooney","ATL","WR","PIT","0.0","0.0","0.0","0.0","0.0","0.1","0.6","0.0","5.3","3.1","37.6","0.3","0.0","","","","","","","","","","","","7.0","8.5","5.4"
"Zach Charbonnet","SEA","RB","DEN","0.0","0.0","0.0","0.0","0.0","6.3","26.4","0.2","2.1","1.6","9.6","0.1","0.1","","","","","","","","","","","","6.2","7.0","5.3"
"Dalton Schultz","HOU","TE","IND","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.6","3.4","34.4","0.3","0.0","","","","","","","","","","","","7.1","8.8","5.5"
"DeMario Douglas","NE","WR","CIN","0.0","0.0","0.0","0.0","0.0","0.2","1.0","0.0","5.8","3.6","37.7","0.2","0.0","","","","","","","","","","","","6.9","8.7","5.1"
"Seattle Seahawks","SEA","DST","DEN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","2.5","0.60","0.8","0.2","19.5","317.2","7.5","7.5","7.5"
"Tyler Allgeier","ATL","RB","PIT","0.0","0.0","0.0","0.0","0.0","7.8","29.1","0.2","1.2","0.9","7.0","0.1","0.1","","","","","","","","","","","","5.8","6.2","5.3"
"Cincinnati Bengals","CIN","DST","NE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","","","","2.6","0.50","0.8","0.2","18.3","297.1","7.4","7.4","7.4"
"Curtis Samuel","BUF","WR","ARI","0.0","0.0","0.0","0.0","0.0","0.7","3.6","0.0","4.2","3.1","30.6","0.2","0.0","","","","","","","","","","","","6.5","8.1","5.0"
"Brock Bowers","LV","TE","LAC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","5.3","3.6","35.9","0.2","0.0","","","","","","","","","","","","6.7","8.5","4.9"
"Ty Chandler","MIN","RB","NYG","0.0","0.0","0.0","0.0","0.0","7.0","29.5","0.2","1.5","1.1","7.3","0.0","0.1","","","","","","","","","","","","5.7","6.3","5.1"
"Adonai Mitchell","IND","WR","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.7","2.8","36.7","0.2","0.0","","","","","","","","","","","","6.4","7.8","5.0"
"Antonio Gibson","NE","RB","CIN","0.0","0.0","0.0","0.0","0.0","5.0","20.0","0.1","3.1","2.1","13.2","0.1","0.1","","","","","","","","","","","","5.6","6.7","4.6"
"Kyler Murray","ARI","QB","BUF","22.1","33.7","227.8","1.3","0.8","5.7","32.1","0.3","0.0","0.0","0.0","0.0","0.3","","","","","","","","","","","","18.2","18.2","18.2"
"Jordan Love","GB","QB","PHI","22.4","34.8","253.9","1.8","0.7","2.5","8.5","0.1","0.0","0.0","0.0","0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","18.2","18.2","18.2"
"Trevor Lawrence","JAC","QB","MIA","22.6","34.9","249.1","1.6","0.8","4.2","17.3","0.2","0.0","0.0","0.0","0.0","0.2","","","","","","","","","","","","18.2","18.2","18.2"
"Keon Coleman","BUF","WR","ARI","0.0","0.0","0.0","0.0","0.0","0.2","1.4","0.0","3.9","2.6","32.3","0.3","0.0","","","","","","","","","","","","6.4","7.7","5.1"
"Joe Burrow","CIN","QB","NE","23.3","34.4","249.1","1.7","0.6","3.4","9.8","0.2","0.0","0.0","0.0","0.0","0.2","","","","","","","","","","","","18.1","18.1","18.1"
"Caleb Williams","CHI","QB","TEN","21.7","34.7","237.9","1.6","0.7","4.3","19.2","0.2","0.0","0.0","0.0","0.0","0.2","","","","","","","","","","","","18.1","18.1","18.1"
"Jayden Daniels","WAS","QB","TB","20.0","32.4","213.1","1.1","0.8","7.6","41.7","0.4","0.0","0.0","0.0","0.0","0.2","","","","","","","","","","","","18.1","18.1","18.1"
"Jared Goff","DET","QB","LA","23.1","33.0","264.4","1.8","0.5","1.4","1.8","0.1","0.0","0.0","0.0","0.0","0.2","","","","","","","","","","","","18.1","18.1","18.1"
