"Player","Tm","Pos","Opp","PaCom","PaAtt","PaYds","PaTDs","INT","RuAtt","RuYds","RuTDs","Tar","Rec","ReYds","ReTDs","Fum","FGM","39M","49M","50M","XPM","Sks","FR","DINT","DTD","PPG","Yds","0.5","PPR","Non"
"Christian McCaffrey","SF","RB","NYJ","0.0","0.0","0.0","0.0","0.0","16.5","76.6","0.5","5.7","4.6","36.6","0.2","0.2","","","","","","","","","","","","17.5","19.8","15.2"
"Tyreek Hill","MIA","WR","JAC","0.0","0.0","0.0","0.0","0.0","0.3","1.5","0.0","9.7","7.1","100.1","0.6","0.1","","","","","","","","","","","","17.0","20.6","13.5"
"Amon-Ra St. Brown","DET","WR","LA","0.0","0.0","0.0","0.0","0.0","0.3","1.7","0.0","9.3","7.3","85.3","0.5","0.1","","","","","","","","","","","","15.4","19.0","11.8"
"Bijan Robinson","ATL","RB","PIT","0.0","0.0","0.0","0.0","0.0","15.2","64.9","0.4","4.7","3.7","28.3","0.2","0.1","","","","","","","","","","","","14.3","16.1","12.4"
"Breece Hall","NYJ","RB","SF","0.0","0.0","0.0","0.0","0.0","15.6","65.0","0.4","5.3","3.9","27.6","0.1","0.1","","","","","","","","","","","","14.1","16.1","12.1"
"CeeDee Lamb","DAL","WR","CLE","0.0","0.0","0.0","0.0","0.0","0.5","2.8","0.0","10.5","6.9","83.0","0.4","0.1","","","","","","","","","","","","14.7","18.1","11.2"
"Justin Jefferson","MIN","WR","NYG","0.0","0.0","0.0","0.0","0.0","0.1","0.4","0.0","10.4","6.5","83.8","0.5","0.1","","","","","","","","","","","","14.4","17.6","11.1"
"Jonathan Taylor","IND","RB","HOU","0.0","0.0","0.0","0.0","0.0","17.7","74.7","0.5","2.7","2.2","14.1","0.1","0.1","","","","","","","","","","","","13.2","14.3","12.1"
"Saquon Barkley","PHI","RB","GB","0.0","0.0","0.0","0.0","0.0","15.3","67.6","0.4","3.4","2.8","18.7","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","0.0","0.0","13.2","14.6","11.8"
"Puka Nacua","LA","WR","DET","0.0","0.0","0.0","0.0","0.0","0.4","2.2","0.0","9.1","6.1","76.1","0.4","0.1","","","","","","","","","","","","13.6","16.6","10.5"
