rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
36,611,Joe Flacco,IND,QB,1,HOU,0.5,2.0,25.0,10.8,5.4,0.1,0.0,50.0,0.2,0.3,1.5,0.0,0.9
37,23185,Sam Howell,SEA,QB,1,DEN,0.5,1.4,35.7,7.0,5.0,0.1,0.0,56.2,0.1,0.7,7.0,0.0,0.8
38,21046,Jake Browning,CIN,QB,1,NE,0.6,1.3,46.2,6.4,4.9,0.1,0.0,91.7,0.2,0.8,4.0,0.0,0.7
39,22496,Mac Jones,JAC,QB,1,MIA,0.6,1.6,37.5,6.8,4.2,0.1,0.0,58.3,0.1,0.3,3.0,0.0,0.7
40,24225,Nathan Rourke,ATL,QB,1,PIT,0.6,0.9,,7.3,,0.1,0.0,95.8,0.1,0.6,,0.0,0.6
41,24350,Aidan O'Connell,LV,QB,1,LAC,0.8,1.4,57.1,8.2,5.9,0.1,0.1,100.0,0.1,0.0,0.0,0.0,0.5
42,18811,Mitchell Trubisky,BUF,QB,1,ARI,0.6,1.4,42.9,6.6,4.7,0.1,0.1,95.8,0.2,0.3,1.5,0.0,0.5
43,21820,Jacob Eason,GB,QB,1,PHI,0.7,1.2,,8.1,,0.1,0.1,100.0,0.1,0.4,,0.0,0.5
44,23118,Malik Willis,GB,QB,1,PHI,0.0,0.0,,6.1,,0.0,0.0,0.0,0.2,1.1,5.5,0.0,0.3
45,19330,Nick Mullens,MIN,QB,1,NYG,0.6,1.2,50.0,6.3,5.2,0.0,0.0,91.7,0.1,0.4,4.0,0.0,0.3
46,12831,Tyrod Taylor,NYJ,QB,1,SF,0.6,1.1,54.5,4.6,4.2,0.0,0.0,87.5,0.2,1.0,5.0,0.0,0.3
47,19029,Nathan Peterman,NO,QB,1,CAR,0.5,0.8,,6.0,,0.0,0.0,91.7,0.1,0.2,,0.0,0.3
48,24168,Tyson Bagent,CHI,QB,1,TEN,0.5,1.3,38.5,5.2,4.0,0.0,0.0,47.9,0.2,0.6,3.0,0.0,0.3
49,22505,Davis Mills,HOU,QB,1,IND,0.6,1.1,54.5,5.5,5.0,0.0,0.0,91.7,0.1,0.4,4.0,0.0,0.3
50,22501,Kenny Pickett,PHI,QB,1,GB,0.5,1.1,45.5,5.3,4.8,0.0,0.0,47.9,0.2,0.3,1.5,0.0,0.2
51,20954,Jarrett Stidham,DEN,QB,1,SEA,0.0,0.0,,3.9,,0.0,0.0,0.0,0.1,0.5,5.0,0.0,0.2
52,12841,Andy Dalton,CAR,QB,1,NO,0.0,0.0,,3.9,,0.0,0.0,0.0,0.1,0.3,3.0,0.0,0.2
53,19025,Joshua Dobbs,SF,QB,1,NYJ,0.0,0.0,,3.1,,0.0,0.0,0.0,0.2,0.5,2.5,0.0,0.2
54,23230,Dorian Thompson-Robinson,CLE,QB,1,DAL,0.0,0.0,,2.8,,0.0,0.0,0.0,0.1,0.4,4.0,0.0,0.1
55,24170,Clayton Tune,ARI,QB,1,BUF,0.0,0.0,,2.1,,0.0,0.0,0.0,0.2,0.6,3.0,0.0,0.1
56,23249,Jake Haener,NO,QB,1,CAR,0.0,0.0,,2.7,,0.0,0.0,0.0,0.1,0.2,2.0,0.0,0.1
57,20859,Drew Lock,NYG,QB,1,MIN,0.0,0.0,,2.1,,0.0,0.0,0.0,0.1,0.4,4.0,0.0,0.1
58,23242,Michael Penix Jr.,ATL,QB,1,PIT,0.0,0.0,,2.2,,0.0,0.0,0.0,0.1,0.3,3.0,0.0,0.1
59,19461,Cooper Rush,DAL,QB,1,CLE,0.0,0.0,,2.9,,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1
60,17179,Taylor Heinicke,ATL,QB,1,PIT,0.0,0.0,,2.3,,0.0,0.0,0.0,0.1,0.2,4.0,0.0,0.1
61,23477,Skylar Thompson,MIA,QB,1,JAC,0.0,0.0,,2.4,,0.0,0.0,0.0,0.2,0.1,0.5,0.0,0.1
62,24958,Drake Maye,NE,QB,1,CIN,0.0,0.0,,1.8,,0.0,0.0,0.0,0.1,0.2,4.0,0.0,0.1
63,6489,Josh Johnson,BAL,QB,1,KC,0.0,0.0,,1.6,,0.0,0.0,0.0,0.1,0.2,2.0,0.0,0.1
64,17920,Carson Wentz,KC,QB,1,BAL,0.0,0.0,,1.4,,0.0,0.0,0.0,0.1,0.2,4.0,0.0,0.1
65,22493,Trey Lance,DAL,QB,1,CLE,0.0,0.0,,1.3,,0.0,0.0,0.0,0.1,0.2,2.0,0.0,0.1
66,18123,Jeff Driskel,WAS,QB,1,TB,0.0,0.0,,1.0,,0.0,0.0,0.0,0.1,0.2,2.0,0.0,0.1
67,20953,Easton Stick,LAC,QB,1,LV,0.0,0.0,,1.1,,0.0,0.0,0.0,0.0,0.1,5.0,0.0,0.1
68,19850,Mason Rudolph,TEN,QB,1,CHI,0.0,0.0,,1.1,,0.0,0.0,0.0,0.0,0.1,5.0,0.0,0.1
69,23118,Malik Willis,TEN,QB,1,CHI,0.0,0.0,,0.6,,0.0,0.0,0.0,0.1,0.2,4.0,0.0,0.0
70,22494,Kyle Trask,TB,QB,1,WAS,0.0,0.0,,1.1,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
71,24175,Max Duggan,LAC,QB,1,LV,0.0,0.0,,0.2,,0.0,0.0,0.0,0.0,0.1,,0.0,0.0
72,23647,Anthony Brown,LV,QB,1,LAC,0.0,0.0,,0.2,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
73,25111,Devin Leary,BAL,QB,1,KC,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
74,25494,Rocky Lombardi,CIN,QB,1,NE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
75,25025,Joe Milton III,NE,QB,1,CIN,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
76,20055,Logan Woodside,CIN,QB,1,NE,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
77,20283,Tim Boyle,HOU,QB,1,IND,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
78,15694,Case Keenum,HOU,QB,1,IND,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
79,21815,Sam Ehlinger,IND,QB,1,HOU,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
80,23182,Kedon Slovis,HOU,QB,1,IND,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
81,25043,Jason Bean,IND,QB,1,HOU,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
82,21810,Tyler Huntley,CLE,QB,1,DAL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
83,16762,Jameis Winston,CLE,QB,1,DAL,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
84,16041,Jimmy Garoppolo,LA,QB,1,DET,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
85,24351,Stetson Bennett,LA,QB,1,DET,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
