rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_ppr
1,23063,Bernhard Seikovits,ARI,TE,1,BUF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
2,24449,Elijah Higgins,ARI,TE,1,BUF,1.2,0.9,75.0,9.6,0.1,8.0,10.7,0.0,0.0,,0.0,0.0,0.0,2.5
3,23251,Trey McBride,ARI,TE,1,BUF,7.2,5.3,73.6,53.8,0.3,7.5,10.2,0.0,0.0,,0.0,0.1,0.1,12.3
4,25141,Tip Reiman,ARI,TE,1,BUF,1.1,0.6,54.5,5.9,0.0,5.4,9.8,0.0,0.0,,0.0,0.0,0.0,1.2
5,24444,Travis Vokolek,ARI,TE,1,BUF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
6,24354,Blake Whiteheart,ARI,TE,1,BUF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
7,22607,Sage Surratt,ARI,TE,1,BUF,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
8,22119,Charlie Woerner,ATL,TE,1,PIT,0.5,0.4,80.0,5.1,0.0,10.2,12.7,0.0,0.0,,0.0,0.0,0.0,0.9
9,25609,Austin Stogner,ATL,TE,1,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
10,20020,Jordan Thomas,ATL,TE,1,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
11,20361,Ross Dwelley,ATL,TE,1,PIT,0.2,0.0,0.0,2.4,0.0,12.0,,0.0,0.0,,0.0,0.0,0.0,0.2
12,23614,John FitzPatrick,ATL,TE,1,PIT,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
13,22508,Kyle Pitts,ATL,TE,1,PIT,6.5,4.5,69.2,54.0,0.3,8.3,12.0,0.0,0.0,,0.0,0.0,0.0,11.7
14,23256,Isaiah Likely,BAL,TE,1,KC,2.8,1.9,67.9,23.2,0.2,8.3,12.2,0.0,0.0,,0.0,0.0,0.0,5.4
15,19803,Mark Andrews,BAL,TE,1,KC,6.0,4.4,73.3,51.5,0.4,8.6,11.7,0.0,0.0,,0.0,0.1,0.1,11.8
16,25598,Mike Rigerman,BAL,TE,1,KC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
17,23135,Charlie Kolar,BAL,TE,1,KC,0.4,0.2,50.0,3.6,0.0,9.0,18.0,0.0,0.0,,0.0,0.0,0.0,0.6
18,22238,Scotty Washington,BAL,TE,1,KC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
19,25601,Riley Sharp,BAL,TE,1,KC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
20,25711,Qadir Ismail,BAL,TE,1,KC,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
21,22511,Quintin Morris,BUF,TE,1,ARI,0.7,0.2,28.6,2.2,0.0,3.1,11.0,0.0,0.0,,0.0,0.0,0.0,0.4
22,20850,Dawson Knox,BUF,TE,1,ARI,2.6,1.9,73.1,18.5,0.2,7.1,9.7,0.0,0.0,,0.0,0.0,0.0,5.0
23,22667,Zach Davidson,BUF,TE,1,ARI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
24,22512,Tre' McKitty,BUF,TE,1,ARI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
25,24102,Dalton Kincaid,BUF,TE,1,ARI,6.4,5.3,82.8,52.5,0.4,8.2,9.9,0.0,0.0,,0.0,0.0,0.0,12.9
26,19910,Ian Thomas,CAR,TE,1,NO,0.8,0.5,62.5,5.7,0.0,7.1,11.4,0.0,0.0,,0.0,0.0,0.0,1.1
27,19281,Jacob Hollister,CAR,TE,1,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
28,21865,Stephen Sullivan,CAR,TE,1,NO,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
29,20812,Jesper Horsted,CAR,TE,1,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
30,24947,Ja'Tavion Sanders,CAR,TE,1,NO,2.9,1.5,51.7,16.7,0.1,5.8,11.1,0.0,0.0,,0.0,0.0,0.0,3.8
31,23488,Curtis Hodges,CAR,TE,1,NO,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,,0.0
32,15974,Jordan Matthews,CAR,TE,1,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
33,22498,Feleipe Franks,CAR,TE,1,NO,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
34,22662,Tommy Tremble,CAR,TE,1,NO,1.5,1.4,93.3,13.5,0.1,9.0,9.6,0.0,0.0,,0.0,0.0,0.0,3.4
35,21772,Cole Kmet,CHI,TE,1,TEN,4.6,2.9,63.0,29.2,0.2,6.3,10.1,0.0,0.0,,0.0,0.0,0.0,7.0
36,18935,Gerald Everett,CHI,TE,1,TEN,2.5,1.8,72.0,16.6,0.1,6.6,9.2,0.0,0.0,,0.0,0.0,0.0,4.1
37,21278,Stephen Carlson,CHI,TE,1,TEN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
38,20957,Tommy Sweeney,CHI,TE,1,TEN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
39,25486,Brenden Bates,CHI,TE,1,TEN,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
40,3061,Marcedes Lewis,CHI,TE,1,TEN,0.2,0.0,0.0,1.4,0.1,7.0,,0.0,0.0,,0.0,0.0,0.0,0.7
41,25014,Tanner McLachlan,CIN,TE,1,NE,1.1,0.7,63.6,6.6,0.1,6.0,9.4,0.0,0.0,,0.0,0.0,0.0,2.0
42,25513,Cam Grandy,CIN,TE,1,NE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
43,20506,Tanner Hudson,CIN,TE,1,NE,2.0,1.5,75.0,14.5,0.1,7.2,9.7,0.0,0.0,,0.0,0.0,0.0,3.5
44,25208,Erick All Jr.,CIN,TE,1,NE,0.4,0.3,75.0,3.1,0.0,7.8,10.3,0.0,0.0,,0.0,0.0,0.0,0.6
45,20931,Drew Sample,CIN,TE,1,NE,1.1,0.6,54.5,5.6,0.1,5.1,9.3,0.0,0.0,,0.0,0.0,0.0,1.8
46,19853,Mike Gesicki,CIN,TE,1,NE,2.2,2.2,100.0,19.8,0.2,9.0,9.0,0.0,0.0,,0.0,0.0,0.0,5.4
47,25621,Treyton Welch,CLE,TE,1,DAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
48,21732,Giovanni Ricci,CLE,TE,1,DAL,0.1,0.0,0.0,0.7,0.0,7.0,,0.1,0.3,3.0,0.0,0.0,0.0,0.1
49,23720,Zaire Mitchell-Paden,CLE,TE,1,DAL,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
50,18876,David Njoku,CLE,TE,1,DAL,5.9,4.0,67.8,42.9,0.3,7.3,10.7,0.0,0.0,,0.0,0.1,0.1,9.9
51,19903,Jordan Akins,CLE,TE,1,DAL,0.7,0.4,57.1,5.5,0.0,7.9,13.8,0.0,0.0,,0.0,0.0,0.0,0.9
52,25518,Alec Holler,DAL,TE,1,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
53,24288,Luke Schoonmaker,DAL,TE,1,CLE,0.7,0.7,100.0,7.2,0.1,10.3,10.3,0.0,0.0,,0.0,0.0,0.0,2.0
54,24776,John Stephens Jr.,DAL,TE,1,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
55,23138,Jake Ferguson,DAL,TE,1,CLE,6.2,4.1,66.1,42.2,0.3,6.8,10.3,0.0,0.0,,0.0,0.0,0.0,10.1
56,24617,Princeton Fant,DAL,TE,1,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
57,22517,Peyton Hendershot,DAL,TE,1,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
58,25134,Brevyn Spann-Ford,DAL,TE,1,CLE,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
59,25395,Thomas Yassmin,DEN,TE,1,SEA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
60,22663,Hunter Kampmoyer,DEN,TE,1,SEA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
61,21786,Adam Trautman,DEN,TE,1,SEA,2.0,1.2,60.0,11.5,0.1,5.8,9.6,0.0,0.0,,0.0,0.0,0.0,3.0
62,23310,Greg Dulcich,DEN,TE,1,SEA,3.6,2.0,55.6,21.3,0.1,5.9,10.7,0.0,0.0,,0.0,0.0,0.0,4.7
63,24686,Nate Adkins,DEN,TE,1,SEA,0.0,0.0,,0.7,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.1
64,23650,Lucas Krull,DEN,TE,1,SEA,1.3,0.8,61.5,6.8,0.0,5.2,8.5,0.0,0.0,,0.0,0.0,0.0,1.5
65,22524,James Mitchell,DET,TE,1,LA,0.2,0.0,0.0,3.2,0.0,16.0,,0.0,0.0,,0.0,0.0,0.0,0.3
66,23141,Sam LaPorta,DET,TE,1,LA,7.2,5.6,77.8,58.7,0.5,8.2,10.5,0.0,0.0,,0.0,0.0,0.0,14.5
67,23101,Parker Hesse,DET,TE,1,LA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
68,23084,Shane Zylstra,DET,TE,1,LA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
69,21781,Sean McKeon,DET,TE,1,LA,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
70,23010,Brock Wright,DET,TE,1,LA,0.9,0.5,55.6,6.2,0.1,6.9,12.4,0.0,0.0,,0.0,0.0,0.0,1.7
71,24533,Ben Sims,GB,TE,1,PHI,0.1,0.0,0.0,1.6,0.0,16.0,,0.0,0.0,,0.0,0.0,0.0,0.2
72,24118,Tucker Kraft,GB,TE,1,PHI,2.9,2.0,69.0,20.1,0.1,6.9,10.1,0.0,0.0,,0.0,0.0,0.0,4.6
73,25567,Messiah Swinson,GB,TE,1,PHI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
74,24150,Luke Musgrave,GB,TE,1,PHI,3.5,2.7,77.1,29.5,0.2,8.4,10.9,0.0,0.0,,0.0,0.0,0.0,6.8
75,22138,Tyler Davis,GB,TE,1,PHI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
76,24539,Joel Wilson,GB,TE,1,PHI,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
77,21808,Dalton Keene,HOU,TE,1,IND,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
78,23355,Teagan Quitoriano,HOU,TE,1,IND,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
79,22506,Brevin Jordan,HOU,TE,1,IND,1.8,0.7,38.9,9.5,0.1,5.3,13.6,0.0,0.0,,0.0,0.0,0.0,2.2
80,19920,Dalton Schultz,HOU,TE,1,IND,4.9,3.3,67.3,36.9,0.3,7.5,11.2,0.0,0.0,,0.0,0.0,0.0,8.8
81,24986,Cade Stover,HOU,TE,1,IND,2.1,0.9,42.9,10.1,0.1,4.8,11.2,0.0,0.0,,0.0,0.0,0.0,2.5
82,23143,Will Mallory,IND,TE,1,HOU,1.4,0.9,64.3,8.7,0.0,6.2,9.7,0.0,0.0,,0.0,0.0,0.0,1.8
83,24886,Jordan Murray,IND,TE,1,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
84,22823,Kylen Granson,IND,TE,1,HOU,3.0,1.9,63.3,21.3,0.1,7.1,11.2,0.0,0.0,,0.0,0.0,0.0,4.6
85,17223,Eric Tomlinson,IND,TE,1,HOU,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
