rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
146,18652,C.J. Ham,MIN,RB,1,NYG,0.1,0.6,6.0,0.0,0.1,0.0,1.1,0.0,0.0,0.0,0.2
147,21797,La'Mical Perine,PIT,RB,1,ATL,0.2,0.8,4.0,0.0,0.1,0.0,0.9,0.0,0.0,0.0,0.2
148,24939,Carson Steele,KC,RB,1,BAL,0.3,1.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
149,24930,Sione Vaki,DET,RB,1,LA,0.4,1.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
150,21970,James Robinson,NO,RB,1,CAR,0.3,1.2,4.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.2
151,21100,Jakob Johnson,NYG,RB,1,MIN,0.1,0.4,4.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.1
152,21837,J.J. Taylor,HOU,RB,1,IND,0.1,0.3,3.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1
153,21310,Khari Blasingame,CHI,RB,1,TEN,0.1,0.3,3.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.1
154,23586,Julius Chestnut,TEN,RB,1,CHI,0.1,0.3,3.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1
155,23192,Chris Brooks,MIA,RB,1,JAC,0.1,0.3,3.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1
156,23255,Snoop Conner,DAL,RB,1,CLE,0.1,0.3,3.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1
157,22678,Jake Funk,DET,RB,1,LA,0.1,0.3,3.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1
158,23847,Zonovan Knight,DET,RB,1,LA,0.1,0.3,3.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1
159,19065,Jeremy McNichols,WAS,RB,1,TB,0.2,0.3,1.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1
160,22555,Jermar Jefferson,DET,RB,1,LA,0.1,0.3,3.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.1
161,21825,Spencer Brown,ATL,RB,1,PIT,0.1,0.3,4.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1
162,20159,Mike Boone,CAR,RB,1,NO,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
163,22672,Gary Brightwell,JAC,RB,1,MIA,0.1,0.2,4.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
164,25314,Louis Rees-Zammit,KC,RB,1,BAL,0.1,0.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,19957,John Kelly,BAL,RB,1,KC,0.0,0.1,5.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
166,23213,Kendall Milton,PHI,RB,1,GB,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,24877,Ellis Merriweather,GB,RB,1,PHI,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,23199,Sincere McCormick,LV,RB,1,LAC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,21774,Tony Jones,ARI,RB,1,BUF,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,24946,Jaden Shirden,CAR,RB,1,NO,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,23196,George Holani,SEA,RB,1,DEN,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,22206,Reggie Gilliam,BUF,RB,1,ARI,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,25683,Kobe Lewis,SEA,RB,1,DEN,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,24944,Jonathon Brooks,CAR,RB,1,NO,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,21776,Joshua Kelley,NYG,RB,1,MIN,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,23206,Noah Cain,CIN,RB,1,NE,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,24464,Xazavian Valladay,NYJ,RB,1,SF,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,25053,Deshaun Fenwick,NE,RB,1,CIN,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,25094,Ramon Jefferson,TB,RB,1,WAS,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
