rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
37,23185,Sam Howell,SEA,QB,1,DEN,1.6,1.7,94.1,9.6,5.6,0.1,0.0,87.5,0.1,0.4,4.0,0.0,0.8
38,611,Joe Flacco,IND,QB,1,HOU,0.8,1.4,57.1,9.3,6.6,0.1,0.0,104.2,0.1,0.1,1.0,0.0,0.8
39,24225,Nathan Rourke,ATL,QB,1,PIT,0.6,0.9,,7.3,,0.1,0.0,95.8,0.1,0.6,,0.0,0.6
40,21820,Jacob Eason,GB,QB,1,PHI,0.7,1.2,,8.1,,0.1,0.1,100.0,0.1,0.4,,0.0,0.5
41,20859,Drew Lock,NYG,QB,1,MIN,1.3,1.6,81.2,10.4,6.5,0.0,0.0,64.6,0.1,0.4,4.0,0.0,0.5
42,20953,Easton Stick,LAC,QB,1,LV,1.0,1.3,76.9,8.0,6.2,0.0,0.0,100.0,0.1,0.3,3.0,0.0,0.3
43,21046,Jake Browning,CIN,QB,1,NE,0.8,1.1,72.7,7.3,6.6,0.0,0.0,95.8,0.1,0.5,5.0,0.0,0.3
44,22496,Mac Jones,JAC,QB,1,MIA,1.1,1.6,68.8,7.7,4.8,0.0,0.0,60.4,0.1,0.2,2.0,0.0,0.3
45,23249,Jake Haener,NO,QB,1,CAR,0.0,0.0,,8.2,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.3
46,23242,Michael Penix Jr.,ATL,QB,1,PIT,0.0,0.0,,7.1,,0.0,0.0,0.0,0.1,0.4,4.0,0.0,0.3
47,12831,Tyrod Taylor,NYJ,QB,1,SF,0.8,1.1,72.7,6.0,5.5,0.0,0.0,91.7,0.1,0.8,8.0,0.0,0.3
48,24140,Hendon Hooker,DET,QB,1,LA,0.0,0.0,,7.6,,0.0,0.0,0.0,0.0,0.0,,0.0,0.3
49,22505,Davis Mills,HOU,QB,1,IND,1.3,1.6,81.2,6.7,4.2,0.0,0.0,58.3,0.1,0.2,2.0,0.0,0.3
50,22495,Zach Wilson,DEN,QB,1,SEA,1.1,1.7,64.7,5.7,3.4,0.0,0.0,56.2,0.1,0.6,6.0,0.0,0.3
51,24351,Stetson Bennett,LA,QB,1,DET,0.0,0.0,,7.2,,0.0,0.0,0.0,0.0,0.0,,0.0,0.3
52,19029,Nathan Peterman,NO,QB,1,CAR,0.5,0.8,,6.0,,0.0,0.0,91.7,0.1,0.2,,0.0,0.3
53,22501,Kenny Pickett,PHI,QB,1,GB,1.1,1.1,100.0,6.5,5.9,0.0,0.0,91.7,0.1,0.1,1.0,0.0,0.3
54,16762,Jameis Winston,CLE,QB,1,DAL,1.1,2.1,52.4,6.3,3.0,0.0,0.0,56.2,0.0,0.0,,0.0,0.2
55,24168,Tyson Bagent,CHI,QB,1,TEN,0.0,0.0,,5.1,,0.0,0.0,0.0,0.1,0.3,4.3,0.0,0.2
56,19025,Joshua Dobbs,SF,QB,1,NYJ,1.1,1.4,78.6,4.8,3.4,0.0,0.0,87.5,0.1,0.3,3.0,0.0,0.2
57,19330,Nick Mullens,MIN,QB,1,NYG,0.0,0.0,,4.8,,0.0,0.0,0.0,0.1,0.2,2.0,0.0,0.2
58,12841,Andy Dalton,CAR,QB,1,NO,0.0,0.0,,4.9,,0.0,0.0,0.0,0.0,0.1,5.0,0.0,0.2
59,19461,Cooper Rush,DAL,QB,1,CLE,1.1,1.2,91.7,4.6,3.8,0.0,0.0,87.5,0.1,0.0,0.0,0.0,0.2
60,17920,Carson Wentz,KC,QB,1,BAL,0.0,0.0,,3.7,,0.0,0.0,0.0,0.0,0.0,,0.0,0.1
61,20954,Jarrett Stidham,DEN,QB,1,SEA,0.0,0.0,,2.4,,0.0,0.0,0.0,0.1,0.5,5.0,0.0,0.1
62,19850,Mason Rudolph,TEN,QB,1,CHI,0.0,0.0,,3.2,,0.0,0.0,0.0,0.0,0.0,,0.0,0.1
63,6489,Josh Johnson,BAL,QB,1,KC,0.0,0.0,,3.3,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1
64,16763,Marcus Mariota,WAS,QB,1,TB,0.0,0.0,,2.9,,0.0,0.0,0.0,0.0,0.0,,0.0,0.1
65,22494,Kyle Trask,TB,QB,1,WAS,0.0,0.0,,3.1,,0.0,0.0,0.0,0.0,0.0,,0.0,0.1
