rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
1,19781,Lamar Jackson,BAL,QB,3,DAL,20.1,31.0,64.8,228.0,7.4,1.5,0.7,94.6,10.0,59.6,6.0,0.4,21.5
2,19801,Josh Allen,BUF,QB,3,JAC,20.7,31.1,66.6,235.6,7.6,1.6,0.8,98.3,7.2,33.9,4.7,0.6,19.8
3,21693,Joe Burrow,CIN,QB,3,WAS,23.7,35.4,66.9,266.6,7.5,2.0,0.7,98.2,4.8,14.5,3.0,0.2,19.5
4,21831,Jalen Hurts,PHI,QB,3,NO,21.1,32.3,65.3,229.7,7.1,1.4,0.8,84.1,9.4,41.9,4.5,0.5,19.4
5,18890,Patrick Mahomes,KC,QB,3,ATL,24.0,35.3,68.0,266.0,7.5,1.9,0.9,98.0,3.9,20.1,5.2,0.1,18.9
6,23235,Jayden Daniels,WAS,QB,3,CIN,20.0,31.7,63.1,225.5,7.1,1.2,0.8,81.0,9.6,49.5,5.2,0.4,18.8
7,20889,Kyler Murray,ARI,QB,3,DET,21.5,32.8,65.5,240.0,7.3,1.5,0.7,95.5,6.5,31.1,4.8,0.3,18.3
8,18055,Dak Prescott,DAL,QB,3,BAL,23.6,36.0,65.6,260.4,7.2,1.8,0.8,94.7,2.7,12.8,4.7,0.1,17.7
9,23239,C.J. Stroud,HOU,QB,3,MIN,22.8,34.5,66.1,261.0,7.6,1.7,0.7,97.8,2.7,11.2,4.1,0.2,17.6
10,14895,Geno Smith,SEA,QB,3,MIA,22.2,33.6,66.1,243.9,7.3,1.6,0.7,93.3,3.6,13.9,3.9,0.2,16.8
11,17922,Jared Goff,DET,QB,3,ARI,23.7,36.5,64.9,266.8,7.3,1.7,0.8,95.5,1.7,3.1,1.8,0.1,16.6
12,19790,Baker Mayfield,TB,QB,3,DEN,20.2,30.9,65.4,233.6,7.6,1.7,0.7,95.4,3.6,12.6,3.5,0.1,16.4
13,24117,Anthony Richardson,IND,QB,3,CHI,18.1,29.6,61.1,208.4,7.0,1.2,1.0,78.2,6.7,37.9,5.7,0.4,16.3
14,24927,Caleb Williams,CHI,QB,3,IND,20.8,32.6,63.8,223.8,6.9,1.3,0.8,80.9,5.0,22.6,4.5,0.3,16.2
15,22492,Justin Fields,PIT,QB,3,LAC,15.9,25.0,63.6,177.5,7.1,1.1,0.6,81.8,9.4,46.7,5.0,0.3,16.2
16,23241,Brock Purdy,SF,QB,3,LA,20.4,30.6,66.7,247.1,8.1,1.6,0.8,97.1,2.5,9.0,3.6,0.1,16.0
17,16311,Derek Carr,NO,QB,3,PHI,21.4,31.7,67.5,241.6,7.6,1.7,0.7,96.1,1.7,4.2,2.5,0.1,15.9
18,18857,Deshaun Watson,CLE,QB,3,NYG,21.0,34.3,61.2,221.2,6.4,1.3,0.9,78.2,5.4,27.2,5.0,0.2,15.6
19,22490,Trevor Lawrence,JAC,QB,3,BUF,21.1,33.5,63.0,236.1,7.0,1.3,0.8,80.0,2.9,15.8,5.4,0.2,15.4
20,20880,Gardner Minshew II,LV,QB,3,CAR,21.1,32.2,65.5,231.1,7.2,1.5,0.7,94.7,2.1,7.0,3.3,0.2,15.3
21,2593,Aaron Rodgers,NYJ,QB,3,NE,21.4,33.4,64.1,235.4,7.0,1.5,0.6,92.4,1.5,4.3,2.9,0.1,15.1
22,14252,Kirk Cousins,ATL,QB,3,KC,20.7,31.6,65.5,233.1,7.4,1.5,0.8,94.9,1.8,4.8,2.7,0.1,14.8
23,19812,Sam Darnold,MIN,QB,3,HOU,21.1,32.9,64.1,242.0,7.4,1.4,0.9,83.1,3.7,10.8,2.9,0.1,14.8
24,23270,Will Levis,TEN,QB,3,GB,19.6,31.4,62.4,215.4,6.9,1.2,0.8,82.1,4.1,15.9,3.9,0.2,14.2
25,20841,Daniel Jones,NYG,QB,3,CLE,19.6,31.3,62.6,201.9,6.5,1.0,0.8,80.3,6.2,25.8,4.2,0.2,13.9
26,25069,Bo Nix,DEN,QB,3,TB,19.5,30.9,63.1,205.5,6.7,1.0,0.9,80.8,4.7,20.5,4.4,0.3,13.7
