"Player","Tm","Pos","Opp","PaCom","PaAtt","PaYds","PaTDs","INT","RuAtt","RuYds","RuTDs","Tar","Rec","ReYds","ReTDs","Fum","FGM","39M","49M","50M","XPM","Sks","FR","DINT","DTD","PPG","Yds","0.5","PPR","Non"
"Alvin Kamara","NO","RB","PHI","0.0","0.0","0.0","0.0","0.0","15.7","68.0","0.4","6.2","4.9","37.0","0.2","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","16.8","19.2","14.3"
"Jordan Mason","SF","RB","LA","0.0","0.0","0.0","0.0","0.0","22.6","99.4","0.6","2.7","2.0","14.1","0.1","0.2","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","16.0","17.0","15.0"
"Bijan Robinson","ATL","RB","KC","0.0","0.0","0.0","0.0","0.0","16.8","73.1","0.4","5.4","4.2","32.9","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","16.0","18.1","13.9"
"Breece Hall","NYJ","RB","NE","0.0","0.0","0.0","0.0","0.0","15.8","65.7","0.4","6.1","4.6","33.0","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","15.8","18.1","13.5"
"Saquon Barkley","PHI","RB","NO","0.0","0.0","0.0","0.0","0.0","17.6","77.1","0.5","4.0","3.2","25.4","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","15.5","17.1","13.8"
"CeeDee Lamb","DAL","WR","BAL","0.0","0.0","0.0","0.0","0.0","0.7","3.9","0.0","10.3","6.8","86.2","0.5","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","15.4","18.8","12.0"
"Jahmyr Gibbs","DET","RB","ARI","0.0","0.0","0.0","0.0","0.0","12.6","58.4","0.4","4.5","3.9","28.2","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","13.9","15.8","11.9"
"Jonathan Taylor","IND","RB","CHI","0.0","0.0","0.0","0.0","0.0","19.0","81.9","0.5","2.0","1.6","12.5","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","13.8","14.5","13.0"
"Kyren Williams","LA","RB","SF","0.0","0.0","0.0","0.0","0.0","15.9","64.0","0.4","4.3","3.4","24.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","13.4","15.1","11.7"
"Zach Charbonnet","SEA","RB","MIA","0.0","0.0","0.0","0.0","0.0","17.3","66.7","0.4","3.5","2.7","19.1","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","13.2","14.5","11.9"
"Tony Pollard","TEN","RB","GB","0.0","0.0","0.0","0.0","0.0","15.5","66.8","0.4","3.8","2.8","19.5","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","12.9","14.3","11.5"
"Ja'Marr Chase","CIN","WR","WAS","0.0","0.0","0.0","0.0","0.0","0.2","0.9","0.0","8.2","5.8","69.3","0.6","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","13.7","16.6","10.8"
"James Cook","BUF","RB","JAC","0.0","0.0","0.0","0.0","0.0","15.2","67.0","0.4","2.7","2.2","19.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","12.7","13.8","11.6"
"Josh Jacobs","GB","RB","TEN","0.0","0.0","0.0","0.0","0.0","19.5","83.7","0.4","1.6","1.3","9.7","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","12.6","13.2","12.0"
"Justin Jefferson","MIN","WR","HOU","0.0","0.0","0.0","0.0","0.0","0.1","0.4","0.0","8.9","5.6","79.5","0.5","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","13.5","16.3","10.7"
"Rhamondre Stevenson","NE","RB","NYJ","0.0","0.0","0.0","0.0","0.0","16.7","68.5","0.4","4.1","2.8","16.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","12.5","13.9","11.1"
"James Conner","ARI","RB","DET","0.0","0.0","0.0","0.0","0.0","15.5","65.1","0.5","2.7","2.1","15.5","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","12.5","13.5","11.4"
"Aaron Jones","MIN","RB","HOU","0.0","0.0","0.0","0.0","0.0","11.7","52.0","0.4","4.5","3.4","24.8","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","12.4","14.1","10.7"
"Zack Moss","CIN","RB","WAS","0.0","0.0","0.0","0.0","0.0","13.3","54.2","0.6","3.0","2.4","17.7","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","12.3","13.5","11.2"
"Amon-Ra St. Brown","DET","WR","ARI","0.0","0.0","0.0","0.0","0.0","0.2","1.1","0.0","8.1","6.4","70.5","0.5","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","13.2","16.4","10.0"
"Derrick Henry","BAL","RB","DAL","0.0","0.0","0.0","0.0","0.0","17.5","71.5","0.6","1.5","1.1","9.3","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","12.3","12.8","11.7"
"De'Von Achane","MIA","RB","SEA","0.0","0.0","0.0","0.0","0.0","12.7","55.5","0.3","3.4","2.9","23.4","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","12.0","13.5","10.6"
"Rashee Rice","KC","WR","ATL","0.0","0.0","0.0","0.0","0.0","0.2","1.0","0.0","8.6","6.4","70.9","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","12.9","16.1","9.7"
"Rachaad White","TB","RB","DEN","0.0","0.0","0.0","0.0","0.0","12.2","46.7","0.3","4.2","3.4","26.3","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","11.9","13.6","10.2"
"Nico Collins","HOU","WR","MIN","0.0","0.0","0.0","0.0","0.0","0.1","0.5","0.0","7.9","5.3","75.1","0.4","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","12.8","15.4","10.1"
"DeVonta Smith","PHI","WR","NO","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.1","5.8","73.0","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","12.8","15.7","9.9"
"Joe Mixon","HOU","RB","MIN","0.0","0.0","0.0","0.0","0.0","15.6","64.2","0.4","2.5","2.1","15.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","11.8","12.9","10.8"
"Travis Etienne Jr.","JAC","RB","BUF","0.0","0.0","0.0","0.0","0.0","13.5","52.4","0.4","3.9","3.1","21.7","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","11.8","13.3","10.3"
"Davante Adams","LV","WR","CAR","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.8","5.9","71.1","0.4","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","12.4","15.3","9.4"
"David Montgomery","DET","RB","ARI","0.0","0.0","0.0","0.0","0.0","13.5","61.0","0.5","1.8","1.6","12.0","0.1","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.00","0.0","0.0","","","11.5","12.3","10.7"
