rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
1,22526,Breece Hall,NYJ,RB,3,NE,16.1,70.9,4.4,0.5,5.2,4.8,42.7,0.3,0.1,0.1,20.8
2,18878,Alvin Kamara,NO,RB,3,PHI,14.0,63.1,4.5,0.7,4.7,4.3,33.0,0.2,0.1,0.1,19.1
3,23189,Bijan Robinson,ATL,RB,3,KC,16.7,76.9,4.6,0.4,4.9,4.2,34.8,0.2,0.1,0.1,18.8
4,23364,Jordan Mason,SF,RB,3,LA,22.1,102.0,4.6,0.9,1.9,1.5,9.4,0.1,0.1,0.1,18.4
5,24179,De'Von Achane,MIA,RB,3,SEA,12.9,63.0,4.9,0.6,5.0,4.1,31.4,0.2,0.1,0.1,18.1
6,19766,Saquon Barkley,PHI,RB,3,NO,17.6,78.6,4.5,0.6,3.5,3.4,24.6,0.1,0.1,0.1,17.7
7,23200,Jahmyr Gibbs,DET,RB,3,ARI,11.9,58.6,4.9,0.5,4.6,4.4,30.8,0.1,0.1,0.1,16.7
8,23247,James Cook,BUF,RB,3,JAC,15.8,74.0,4.7,0.5,3.0,2.4,24.5,0.2,0.1,0.1,16.2
9,21682,Jonathan Taylor,IND,RB,3,CHI,18.6,81.3,4.4,0.6,2.6,2.1,18.0,0.1,0.1,0.1,16.0
10,23212,Kyren Williams,LA,RB,3,SF,15.7,65.5,4.2,0.5,3.4,3.4,20.9,0.1,0.1,0.1,15.4
11,21696,Travis Etienne Jr.,JAC,RB,3,BUF,15.0,60.3,4.0,0.5,3.9,3.5,22.7,0.1,0.1,0.1,15.2
12,22546,Rhamondre Stevenson,NE,RB,3,NYJ,17.4,73.1,4.2,0.5,4.0,2.7,16.5,0.1,0.2,0.2,14.9
13,20912,Tony Pollard,TEN,RB,3,GB,14.9,62.4,4.2,0.4,3.6,3.3,22.9,0.1,0.1,0.1,14.6
14,20824,Josh Jacobs,GB,RB,3,TEN,20.1,83.2,4.1,0.4,3.0,2.0,15.7,0.1,0.2,0.2,14.5
15,18983,James Conner,ARI,RB,3,DET,15.4,65.7,4.3,0.6,2.8,2.2,15.9,0.1,0.1,0.1,14.4
16,23173,Zach Charbonnet,SEA,RB,3,MIA,13.7,51.2,3.7,0.5,2.8,2.8,22.1,0.1,0.1,0.1,13.5
17,19045,Aaron Jones,MIN,RB,3,HOU,12.2,54.3,4.5,0.4,4.1,3.1,21.3,0.1,0.1,0.1,13.5
18,17959,Derrick Henry,BAL,RB,3,DAL,16.5,70.0,4.2,0.8,1.5,1.0,7.8,0.0,0.1,0.1,13.4
19,23190,Brian Robinson Jr.,WAS,RB,3,CIN,13.3,59.7,4.5,0.4,2.5,2.3,21.5,0.1,0.1,0.1,13.2
20,21684,D'Andre Swift,CHI,RB,3,IND,14.5,62.2,4.3,0.4,3.1,2.4,17.4,0.1,0.1,0.1,13.2
21,20882,David Montgomery,DET,RB,3,ARI,13.3,59.4,4.5,0.7,1.7,1.7,14.0,0.0,0.1,0.1,13.0
22,23217,Rachaad White,TB,RB,3,DEN,12.9,49.7,3.9,0.3,3.7,3.2,26.3,0.1,0.1,0.1,13.0
23,21784,Zack Moss,CIN,RB,3,WAS,13.3,56.1,4.2,0.6,2.4,2.0,13.5,0.1,0.1,0.1,13.0
24,21674,J.K. Dobbins,LAC,RB,3,PIT,12.6,67.2,5.3,0.4,2.2,2.1,13.3,0.1,0.1,0.1,12.9
25,23205,Jerome Ford,CLE,RB,3,NYG,12.6,54.6,4.3,0.4,3.0,2.9,17.4,0.1,0.1,0.1,12.9
26,22539,Zamir White,LV,RB,3,CAR,15.0,61.5,4.1,0.5,1.8,1.7,10.5,0.1,0.1,0.1,12.3
