rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
213,22206,Reggie Gilliam,BUF,RB,2,MIA,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,24706,Owen Wright,BAL,RB,2,LV,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,22556,Jaret Patterson,LAC,RB,2,CAR,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,25094,Ramon Jefferson,TB,RB,2,DET,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,22902,Ben Mason,LAC,RB,2,CAR,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,25055,Dillon Johnson,CAR,RB,2,LAC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,21854,Anthony McFarland Jr.,MIA,RB,2,BUF,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,24946,Jaden Shirden,CAR,RB,2,LAC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,24304,Carlos Washington Jr.,ATL,RB,2,PHI,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,24944,Jonathon Brooks,CAR,RB,2,LAC,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,23213,Kendall Milton,PHI,RB,2,ATL,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,24503,Robert Burns,ATL,RB,2,PHI,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0
225,24212,DeWayne McBride,MIN,RB,2,SF,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,21788,Ke'Shawn Vaughn,SF,RB,2,MIN,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,23172,Tyrion Davis-Price,PHI,RB,2,ATL,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
