"Player","Tm","Pos","Opp","PaCom","PaAtt","PaYds","PaTDs","INT","RuAtt","RuYds","RuTDs","Tar","Rec","ReYds","ReTDs","Fum","FGM","39M","49M","50M","XPM","Sks","FR","DINT","DTD","PPG","Yds","0.5","PPR","Non"
"Parker Washington","JAC","WR","CLE","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","7.9","0.1","0.0","","","","","","","","","","","","1.5","1.8","1.1"
"Lil'Jordan Humphrey","DEN","WR","PIT","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","7.9","0.1","0.0","","","","","","","","","","","","1.4","1.8","1.1"
"Ashton Dulin","IND","WR","GB","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.9","0.6","8.9","0.0","0.0","","","","","","","","","","","","1.4","1.7","1.1"
"Marquez Valdes-Scantling","BUF","WR","MIA","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","0.4","6.0","0.1","0.0","","","","","","","","","","","","1.4","1.6","1.2"
"Tyler Scott","CHI","WR","HOU","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","5.0","0.1","0.0","","","","","","","","","","","","1.4","1.6","1.2"
"Xavier Hutchinson","HOU","WR","CHI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.4","0.3","4.0","0.1","0.0","","","","","","","","","","","","1.3","1.5","1.2"
"Julian Hill","MIA","TE","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.7","6.0","0.1","0.0","","","","","","","","","","","","1.6","1.9","1.2"
"Robbie Chosen","MIA","WR","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.3","5.0","0.1","0.0","","","","","","","","","","","","1.2","1.3","1.0"
"A.T. Perry","NO","WR","DAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.5","6.9","0.0","0.0","","","","","","","","","","","","1.2","1.4","0.9"
"Davis Allen","LA","TE","ARI","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.9","0.7","5.9","0.1","0.0","","","","","","","","","","","","1.4","1.7","1.0"
