rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_ppr
1,23141,Sam LaPorta,DET,TE,2,TB,7.0,5.1,72.9,55.3,0.5,7.9,10.8,0.0,0.0,,0.0,0.0,0.0,13.6
2,15048,Travis Kelce,KC,TE,2,CIN,7.4,5.3,71.6,58.3,0.4,7.9,11.0,0.0,0.1,5.0,0.0,0.0,0.0,13.5
3,23251,Trey McBride,ARI,TE,2,LA,7.0,5.4,77.1,55.3,0.3,7.9,10.2,0.0,0.0,,0.0,0.0,0.0,12.7
4,19063,George Kittle,SF,TE,2,MIN,5.5,4.2,76.4,53.8,0.4,9.8,12.8,0.0,0.0,,0.0,0.0,0.0,12.0
5,18912,Evan Engram,JAC,TE,2,CLE,6.4,5.0,78.1,42.3,0.3,6.6,8.5,0.0,0.0,,0.0,0.0,0.0,11.0
6,23256,Isaiah Likely,BAL,TE,2,LV,4.7,3.9,83.0,45.2,0.4,9.6,11.6,0.0,0.0,,0.0,0.0,0.0,10.8
7,24102,Dalton Kincaid,BUF,TE,2,MIA,6.4,4.3,67.2,43.8,0.3,6.8,10.2,0.0,0.0,,0.0,0.0,0.0,10.5
8,22508,Kyle Pitts,ATL,TE,2,PHI,6.5,4.0,61.5,45.4,0.3,7.0,11.3,0.0,0.0,,0.0,0.0,0.0,10.3
9,19803,Mark Andrews,BAL,TE,2,LV,5.7,3.5,61.4,43.0,0.4,7.5,12.3,0.0,0.0,,0.0,0.0,0.0,10.2
10,24943,Brock Bowers,LV,TE,2,BAL,5.9,4.0,67.8,42.7,0.3,7.2,10.7,0.0,0.1,5.0,0.0,0.0,0.0,10.1
11,19863,Dallas Goedert,PHI,TE,2,ATL,5.3,3.9,73.6,40.8,0.2,7.7,10.5,0.0,0.0,,0.0,0.0,0.0,9.2
12,21807,Colby Parkinson,LA,TE,2,ARI,4.4,3.2,72.7,38.0,0.2,8.6,11.9,0.0,0.0,,0.0,0.0,0.0,8.2
13,19920,Dalton Schultz,HOU,TE,2,CHI,4.5,2.9,64.4,31.3,0.3,7.0,10.8,0.0,0.0,,0.0,0.0,0.0,7.8
