rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_ppr
137,24349,A.T. Perry,NO,WR,2,DAL,2.1,0.5,23.8,8.0,0.0,3.8,16.0,0.0,0.0,,0.0,0.0,0.0,1.3
138,16263,Allen Robinson II,NYG,WR,2,WAS,1.6,0.6,37.5,6.4,0.0,4.0,10.7,0.0,0.1,5.0,0.0,0.0,0.0,1.2
139,24143,Parker Washington,JAC,WR,2,CLE,1.4,0.6,42.9,6.4,0.0,4.6,10.7,0.0,0.0,,0.0,0.0,0.0,1.2
140,20081,Trent Sherfield Sr.,MIN,WR,2,SF,1.3,0.5,38.5,6.9,0.0,5.3,13.8,0.0,0.0,,0.0,0.0,0.0,1.2
141,24347,Xavier Hutchinson,HOU,WR,2,CHI,1.0,0.5,50.0,6.5,0.0,6.5,13.0,0.0,0.0,,0.0,0.0,0.0,1.1
142,22685,Terrace Marshall Jr.,CAR,WR,2,LAC,1.0,0.5,50.0,6.3,0.0,6.3,12.6,0.0,0.1,5.0,0.0,0.0,0.0,1.1
143,24397,Jalen Brooks,DAL,WR,2,NO,1.6,0.5,31.2,5.9,0.0,3.7,11.8,0.0,0.0,,0.0,0.0,0.0,1.1
144,25124,Ryan Flournoy,DAL,WR,2,NO,0.8,0.5,62.5,5.2,0.0,6.5,10.4,0.0,0.0,,0.0,0.0,0.0,1.0
145,19120,David Moore,CAR,WR,2,LAC,0.9,0.5,55.6,5.2,0.0,5.8,10.4,0.0,0.0,,0.0,0.0,0.0,1.0
146,23746,Deven Thompkins,CAR,WR,2,LAC,,0.4,,4.2,0.0,,,0.1,1.0,,0.0,,,1.0
147,24973,Troy Franklin,DEN,WR,2,PIT,0.4,0.4,100.0,5.0,0.0,12.5,12.5,0.0,0.1,5.0,0.0,0.0,0.0,0.9
148,21721,Devin Duvernay,JAC,WR,2,CLE,0.5,0.4,80.0,3.8,0.0,7.6,9.5,0.2,1.3,6.5,0.0,0.0,0.0,0.9
149,22595,Ihmir Smith-Marsette,CAR,WR,2,LAC,1.3,0.4,30.8,2.9,0.0,2.2,7.2,0.1,2.2,22.0,0.0,0.0,0.0,0.9
150,23168,Skyy Moore,KC,WR,2,CIN,0.9,0.4,44.4,4.7,0.0,5.2,11.8,0.0,0.0,,0.0,0.0,0.0,0.9
151,24220,Tyler Scott,CHI,WR,2,HOU,2.0,0.4,20.0,4.5,0.0,2.2,11.2,0.1,0.2,2.0,0.0,0.0,0.0,0.9
152,23146,Cornelius Johnson,LAC,WR,2,CAR,0.7,0.3,42.9,5.1,0.0,7.3,17.0,0.0,0.0,,0.0,0.0,0.0,0.8
153,17141,Damiere Byrd,BUF,WR,2,MIA,0.4,0.3,70.7,4.3,0.0,10.5,14.8,0.0,0.2,8.0,0.0,0.0,0.0,0.8
154,21697,Laviska Shenault Jr.,SEA,WR,2,NE,0.8,0.3,37.5,2.5,0.0,3.1,8.3,0.6,2.4,4.0,0.0,0.0,0.0,0.8
155,24984,Jamari Thrash,CLE,WR,2,JAC,0.4,0.4,100.0,3.5,0.0,8.8,8.8,0.0,0.0,,0.0,0.0,0.0,0.8
156,21138,Scotty Miller,PIT,WR,2,DEN,0.5,0.3,60.0,4.2,0.0,8.4,14.0,0.0,0.0,,0.0,0.0,0.0,0.7
157,25133,Bub Means,NO,WR,2,DAL,1.2,0.3,25.0,4.2,0.0,3.5,14.0,0.0,0.0,,0.0,0.0,0.0,0.7
158,22590,Ben Skowronek,HOU,WR,2,CHI,0.8,0.3,37.5,3.8,0.0,4.7,12.7,0.0,0.1,5.0,0.0,0.0,0.0,0.7
159,24325,Johnny Wilson,PHI,WR,2,ATL,0.9,0.3,33.3,3.6,0.0,4.0,12.0,0.0,0.0,,0.0,0.0,0.0,0.7
160,14871,Robert Woods,HOU,WR,2,CHI,0.8,0.3,37.5,3.5,0.0,4.4,11.7,0.0,0.0,,0.0,0.0,0.0,0.7
161,21734,Nick Westbrook-Ikhine,TEN,WR,2,NYJ,1.3,0.2,15.4,4.4,0.0,3.4,22.0,0.0,0.0,,0.0,0.0,0.0,0.6
162,25132,Jha'Quan Jackson,TEN,WR,2,NYJ,0.6,0.3,50.0,3.2,0.0,5.3,10.7,0.0,0.0,,0.0,0.0,0.0,0.6
163,22569,Dee Eskridge,SEA,WR,2,NE,0.5,0.2,40.0,3.3,0.0,6.6,16.5,0.2,0.7,3.5,0.0,0.0,0.0,0.6
164,21690,Tee Higgins,CIN,WR,2,KC,0.5,0.0,0.0,5.8,0.0,11.6,,0.0,0.0,,0.0,0.0,0.0,0.6
165,19207,Tim Patrick,DET,WR,2,TB,1.6,0.3,18.7,2.7,0.0,1.7,9.0,0.0,0.0,,0.0,0.0,0.0,0.6
166,23573,Danny Gray,SF,WR,2,MIN,0.6,0.2,33.3,3.3,0.0,5.5,16.5,0.0,0.1,5.0,0.0,0.0,0.0,0.5
