Rk,Player,Tm,Pos,G,ATT,COM,COM%,YDS,YPA,TD,INT,TOW,TOW%,EZ,EZTD,EZINT,ACOM%,YCOM,YD/G,TD%,INT%,SUC%,ACC%,HL,HL%,DR,DR%,YAC,YAC/ATT,PBU,BAT,CHK,CHK%,FRD%,SRD%,PACT%,EPA,EPA/DB,DYAR,DVOA
,Brock Purdy,SF,QB,4,122,84,68.852,"1,130",9.262,5,2,4,3.279,12,3,1,77.39,13.452,282.5,4.098,1.639,54.098,74.38,2,1.639,5,4.098,286,2.344,15,1,15,11.364,53.788,12.121,15.152,36.939,0.28,402.975,35.772
,Dak Prescott,DAL,QB,4,149,96,64.43,"1,072",7.195,6,2,6,4.027,9,2,0,70,11.167,268,4.027,1.342,45.638,70.748,5,3.356,2,1.342,508,3.409,26,3,23,14.465,58.491,7.547,15.723,15.159,0.095,223.484,11.896
,C.J. Stroud,HOU,QB,4,139,94,67.626,"1,054",7.583,6,2,6,4.317,6,3,0,78.23,11.213,263.5,4.317,1.439,48.201,76.119,8,5.755,3,2.158,485,3.489,16,4,23,15.132,47.368,7.895,15.789,36.943,0.243,203.914,11.586
,Baker Mayfield,TB,QB,4,129,91,70.543,984,7.628,8,2,3,2.326,10,5,0,78.05,10.813,246,6.202,1.55,57.364,75.781,2,1.55,5,3.876,581,4.504,17,3,15,10.417,54.167,4.167,19.444,27.35,0.19,313.016,21.264
,Joe Burrow,CIN,QB,4,134,95,70.896,978,7.299,7,1,2,1.493,17,3,0,80,10.295,244.5,5.224,0.746,53.731,82.308,7,5.224,5,3.731,454,3.388,14,2,23,16.197,56.338,4.225,16.197,28.344,0.2,349.713,23.351
,Matthew Stafford,LA,QB,4,130,89,68.462,978,7.523,2,2,5,3.846,8,0,1,82.3,10.989,244.5,1.538,1.538,49.231,76.613,5,3.846,4,3.077,444,3.415,13,0,19,13.287,46.853,13.287,24.476,8.197,0.057,169.398,6.462
,Sam Darnold,MIN,QB,4,106,73,68.868,932,8.792,11,3,4,3.774,11,8,0,79.17,12.767,233,10.377,2.83,55.66,76.238,3,2.83,3,2.83,411,3.877,12,0,15,12.931,46.552,12.931,24.138,39.746,0.343,297.704,28.884
,Jalen Hurts,PHI,QB,4,132,90,68.182,930,7.045,4,4,8,6.061,9,3,2,79.49,10.333,232.5,3.03,3.03,47.727,77.419,4,3.03,3,2.273,489,3.705,17,3,22,15.172,45.517,8.276,22.759,3.174,0.022,28.746,'-8.032
,Patrick Mahomes,KC,QB,4,121,83,68.595,904,7.471,6,5,7,5.785,8,2,1,80.73,10.892,226,4.959,4.132,49.587,77.119,5,4.132,5,4.132,548,4.529,15,3,13,10.156,49.219,6.25,20.313,15.965,0.125,137.431,4.543
,Jayden Daniels,WAS,QB,4,106,87,82.075,897,8.462,3,1,2,1.887,7,3,0,84.47,10.31,224.25,2.83,0.943,59.434,86.667,4,3.774,0,0,519,4.896,7,1,14,12.174,44.348,8.696,20,39.918,0.347,397.469,42.333
