Rk,Player,Tm,Pos,G,ATT,YDS,YPC,TD,AVT,AVT%,YACO,YBCO,SUC%,JUK%,WIN,WIN%,PS%,STF%,SLYPA,OFYPC,IZ%,OZ%,MAN%,PWR%,STK%,STKYPC,10+,10+%,10+ Yds,10+ TD,ALY,EPA,EPA/ATT,DYAR,DVOA
,J.K. Dobbins,LAC,RB,2,27,266,9.852,2,7,25.926,4.926,4.926,55.556,0,133,4.926,100,18.519,1.556,7.481,40.741,22.222,18.519,7.407,14.815,13.5,7,25.926,202,2,5.24,0,0,80.27,49.61
,Jordan Mason,SF,RB,2,48,247,5.146,2,10,20.833,3.396,1.75,50,0,163,3.396,100,12.5,1.979,2.125,35.417,22.917,20.833,6.25,14.583,2.857,7,14.583,102,1,5.002,0,0,42.149,12.44
,Josh Jacobs,GB,RB,2,48,235,4.896,0,13,27.083,3.521,1.375,33.333,4.167,197,4.104,75,20.833,0.792,2.667,35.417,22.917,12.5,18.75,12.5,3,6,12.5,128,0,3.539,0,0,"'-3.06","'-10.17"
,Saquon Barkley,PHI,RB,2,46,204,4.435,2,11,23.913,2.848,1.587,39.13,2.174,135,2.935,100,17.391,1.761,1.674,32.609,10.87,26.087,23.913,2.174,3,5,10.87,77,1,3.794,0,0,45.845,16.35
,Rhamondre Stevenson,NE,RB,2,46,201,4.37,2,16,34.783,3.13,1.239,39.13,6.522,161,3.5,66.67,13.043,1.174,1.935,39.13,10.87,26.087,15.217,28.261,5.154,6,13.043,89,0,4.266,0,0,"'-3.065","'-10.17"
,Alvin Kamara,NO,RB,2,35,198,5.657,4,9,25.714,2.2,3.457,57.143,0,77,2.2,100,8.571,1.8,2.657,34.286,48.571,8.571,8.571,22.857,3.625,7,20,93,1,5.676,0,0,102.223,55.75
,Joe Mixon,HST,RB,2,39,184,4.718,1,10,25.641,2.692,2.026,41.026,5.128,112,2.872,50,15.385,2.051,1.615,35.897,41.026,7.692,12.821,15.385,2.333,5,12.821,63,0,5.002,0,0,39.616,15.9
,Brian Robinson,WAS,RB,2,29,173,5.966,1,7,24.138,4.517,1.448,37.931,0,131,4.517,60,20.69,1.655,3.828,24.138,13.793,24.138,24.138,6.897,1.5,5,17.241,111,0,4.049,0,0,34.099,15.89
,James Conner,ARZ,RB,2,37,172,4.649,2,13,35.135,3.324,1.324,43.243,0,123,3.324,100,10.811,1,2.189,21.622,10.811,18.919,37.838,8.108,2.333,5,13.514,81,0,4.299,0,0,29.443,9.86
,Bijan Robinson,ATL,RB,2,32,165,5.156,0,12,37.5,2.75,2.406,46.875,3.125,92,2.875,33.33,15.625,1.25,2.656,25,59.375,12.5,0,21.875,6.714,6,18.75,85,0,4.648,0,0,25.793,8.27
,Jonathan Taylor,IND,RB,2,28,151,5.393,1,7,25,3.321,2.071,46.429,3.571,111,3.964,50,17.857,0.5,3.25,46.429,7.143,21.429,25,14.286,7.25,5,17.857,91,0,3.888,0,0,31.579,16.66
,James Cook,BUF,RB,2,30,149,4.967,2,5,16.667,2,2.967,50,3.333,75,2.5,50,20,1.6,2.133,56.667,13.333,10,20,20,3.833,2,6.667,64,1,4.151,0,0,31.563,12.83
,Lamar Jackson,BLT,QB,2,21,147,7,0,4,19.048,0.81,6.19,52.381,4.762,25,1.19,100,4.762,3.143,3,9.524,4.762,9.524,9.524,0,0,5,23.81,63,0,0,0,0,42.17,30.46
