rank,id,player,team,pos,game.week,opp,rec_tgt,rec,catch_rate,rec_yds,rec_td,rec_yds_per_tgt,rec_yds_per_rec,rush_att,rush_yds,rush_yds_per_att,rush_td,fum,fum_lost,fpts_ppr
1,24943,Brock Bowers,LV,TE,4,CLE,7.1,5.0,70.4,54.9,0.4,7.7,11.0,0.0,0.0,,0.0,0.1,0.1,12.7
2,19863,Dallas Goedert,PHI,TE,4,TB,6.3,4.8,76.2,52.6,0.3,8.3,11.0,0.0,0.0,,0.0,0.1,0.1,11.7
3,19063,George Kittle,SF,TE,4,NE,5.6,4.1,73.2,50.9,0.4,9.1,12.4,0.1,0.2,4.0,0.0,0.1,0.1,11.4
4,15048,Travis Kelce,KC,TE,4,LAC,6.1,4.3,70.5,46.8,0.4,7.7,10.9,0.0,0.1,5.0,0.0,0.1,0.1,11.2
5,23138,Jake Ferguson,DAL,TE,4,NYG,6.2,4.4,71.0,45.9,0.3,7.4,10.4,0.0,0.0,,0.0,0.1,0.1,10.6
6,23141,Sam LaPorta,DET,TE,4,SEA,5.8,3.9,67.2,41.0,0.4,7.1,10.5,0.0,0.0,,0.0,0.1,0.1,10.2
7,24102,Dalton Kincaid,BUF,TE,4,BAL,5.7,4.0,70.2,42.1,0.3,7.4,10.5,0.0,0.0,,0.0,0.1,0.1,9.8
8,21772,Cole Kmet,CHI,TE,4,LA,4.9,3.6,73.5,35.4,0.3,7.2,9.8,0.0,0.0,,0.0,0.1,0.1,8.7
9,22508,Kyle Pitts,ATL,TE,4,NO,5.2,3.1,59.6,39.9,0.3,7.7,12.9,0.0,0.0,,0.0,0.1,0.1,8.7
10,19803,Mark Andrews,BAL,TE,4,BUF,4.5,3.1,68.9,38.4,0.3,8.5,12.4,0.0,0.0,,0.0,0.1,0.1,8.5
11,19920,Dalton Schultz,HOU,TE,4,JAC,4.7,3.2,68.1,33.9,0.3,7.2,10.6,0.0,0.0,,0.0,0.1,0.1,8.2
12,17975,Hunter Henry,NE,TE,4,SF,4.9,3.2,65.3,31.4,0.2,6.4,9.8,0.0,0.0,,0.0,0.0,0.0,7.5
13,19853,Mike Gesicki,CIN,TE,4,CAR,4.2,3.1,73.8,32.4,0.2,7.7,10.5,0.0,0.0,,0.0,0.0,0.0,7.5
