rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
1,22526,Breece Hall,NYJ,RB,4,DEN,16.3,76.0,4.7,0.6,4.7,4.2,32.6,0.2,0.1,0.1,19.7
2,23189,Bijan Robinson,ATL,RB,4,NO,16.8,76.1,4.5,0.5,4.9,3.7,29.7,0.2,0.1,0.1,18.3
3,19766,Saquon Barkley,PHI,RB,4,TB,19.4,88.1,4.5,0.6,3.6,3.3,22.8,0.1,0.2,0.2,18.2
4,18878,Alvin Kamara,NO,RB,4,ATL,16.7,70.7,4.2,0.5,4.3,3.6,30.9,0.1,0.1,0.1,17.2
5,23200,Jahmyr Gibbs,DET,RB,4,SEA,13.0,62.7,4.8,0.5,4.2,3.5,27.1,0.2,0.1,0.1,16.5
6,24179,De'Von Achane,MIA,RB,4,TEN,12.6,61.9,4.9,0.5,4.9,3.8,29.3,0.1,0.1,0.1,16.3
7,23364,Jordan Mason,SF,RB,4,NE,20.3,88.9,4.4,0.7,1.8,1.5,10.0,0.1,0.0,0.0,16.2
8,23212,Kyren Williams,LA,RB,4,CHI,19.1,75.9,4.0,0.6,3.2,2.5,16.8,0.1,0.1,0.1,15.8
9,21682,Jonathan Taylor,IND,RB,4,PIT,20.1,84.5,4.2,0.6,2.5,1.8,14.9,0.1,0.1,0.1,15.7
10,19045,Aaron Jones,MIN,RB,4,GB,14.6,61.7,4.2,0.4,4.2,3.4,25.7,0.2,0.1,0.1,15.5
11,17959,Derrick Henry,BAL,RB,4,BUF,17.8,80.8,4.5,0.8,1.4,1.1,9.9,0.1,0.1,0.1,15.4
12,18983,James Conner,ARI,RB,4,WAS,15.1,70.4,4.7,0.7,2.3,2.0,14.7,0.1,0.1,0.1,15.1
13,21696,Travis Etienne Jr.,JAC,RB,4,HOU,15.4,62.1,4.0,0.5,4.1,3.0,20.9,0.1,0.1,0.1,14.7
14,23247,James Cook,BUF,RB,4,BAL,14.3,64.4,4.5,0.4,3.2,2.4,22.7,0.2,0.1,0.1,14.5
15,23190,Brian Robinson Jr.,WAS,RB,4,ARI,15.5,64.9,4.2,0.5,3.0,2.5,21.1,0.1,0.1,0.1,14.5
16,20824,Josh Jacobs,GB,RB,4,MIN,17.4,70.4,4.0,0.5,3.3,2.3,17.2,0.1,0.1,0.1,14.5
17,21768,Najee Harris,PIT,RB,4,IND,17.9,72.9,4.1,0.5,2.3,2.1,14.2,0.1,0.1,0.1,14.2
18,20941,Devin Singletary,NYG,RB,4,DAL,16.1,65.7,4.1,0.5,3.2,2.5,17.1,0.1,0.1,0.1,14.2
19,20882,David Montgomery,DET,RB,4,SEA,15.7,67.8,4.3,0.6,1.8,1.7,12.8,0.1,0.1,0.1,13.8
20,21691,Chuba Hubbard,CAR,RB,4,CIN,14.4,59.4,4.1,0.5,3.2,2.5,18.2,0.1,0.1,0.1,13.7
21,21784,Zack Moss,CIN,RB,4,CAR,13.0,54.6,4.2,0.5,3.1,2.5,16.6,0.1,0.0,0.0,13.2
22,22546,Rhamondre Stevenson,NE,RB,4,SF,15.4,60.2,3.9,0.5,3.5,2.2,15.0,0.1,0.1,0.1,13.1
23,20912,Tony Pollard,TEN,RB,4,MIA,14.4,58.9,4.1,0.4,3.3,2.6,18.0,0.1,0.1,0.1,13.1
24,21674,J.K. Dobbins,LAC,RB,4,KC,14.6,63.3,4.3,0.4,2.8,2.1,13.0,0.1,0.1,0.1,12.5
25,23205,Jerome Ford,CLE,RB,4,LV,13.6,57.2,4.2,0.3,3.2,2.7,18.2,0.1,0.1,0.1,12.4
26,23217,Rachaad White,TB,RB,4,PHI,11.0,40.3,3.7,0.3,4.1,3.3,25.3,0.1,0.1,0.1,12.1
27,23214,Kenneth Walker III,SEA,RB,4,DET,12.0,50.3,4.2,0.4,2.5,1.6,12.7,0.1,0.1,0.1,10.7
28,18858,Joe Mixon,HOU,RB,4,JAC,9.0,47.2,5.2,0.3,3.1,1.9,13.8,0.1,0.1,0.1,10.2
29,24939,Carson Steele,KC,RB,4,LAC,14.8,56.1,3.8,0.4,1.5,1.2,7.5,0.0,0.0,0.0,10.0
30,21952,Rico Dowdle,DAL,RB,4,NYG,10.3,39.0,3.8,0.2,2.8,2.3,16.5,0.1,0.0,0.0,9.7
31,22558,Javonte Williams,DEN,RB,4,NYJ,9.2,32.1,3.5,0.2,3.3,2.4,15.5,0.1,0.0,0.0,9.0
32,24934,Braelon Allen,NYJ,RB,4,DEN,8.4,34.8,4.1,0.3,1.9,1.6,12.3,0.1,0.0,0.0,8.7
33,24123,Tyjae Spears,TEN,RB,4,MIA,6.6,28.5,4.3,0.2,3.2,2.3,18.4,0.1,0.1,0.1,8.6
34,18993,Samaje Perine,KC,RB,4,LAC,4.4,20.4,4.6,0.2,3.0,2.7,17.9,0.1,0.0,0.0,8.3
35,21684,D'Andre Swift,CHI,RB,4,LA,8.9,38.1,4.3,0.2,2.3,1.7,11.7,0.1,0.1,0.1,8.3
36,22539,Zamir White,LV,RB,4,CLE,12.8,45.4,3.5,0.3,1.5,1.2,6.8,0.0,0.1,0.1,8.0
37,24374,Chase Brown,CIN,RB,4,CAR,7.0,29.8,4.3,0.2,2.2,1.9,13.3,0.1,0.0,0.0,8.0
38,17923,Ezekiel Elliott,DAL,RB,4,NYG,6.9,25.3,3.7,0.3,2.0,1.7,11.4,0.1,0.0,0.0,7.8
39,23173,Zach Charbonnet,SEA,RB,4,DET,8.1,29.4,3.6,0.2,2.4,1.8,12.4,0.1,0.1,0.1,7.6
40,24372,Roschon Johnson,CHI,RB,4,LA,8.4,27.5,3.3,0.2,2.0,1.8,12.5,0.1,0.1,0.1,7.4
41,20868,Alexander Mattison,LV,RB,4,CLE,6.0,20.1,3.4,0.2,2.8,2.0,16.6,0.1,0.1,0.1,7.3
42,20802,Justice Hill,BAL,RB,4,BUF,3.2,14.3,4.5,0.1,3.2,2.6,19.9,0.1,0.0,0.0,7.2
43,21852,Ty Chandler,MIN,RB,4,GB,7.6,31.2,4.1,0.2,2.1,1.4,11.0,0.1,0.1,0.1,7.2
44,24967,Bucky Irving,TB,RB,4,PHI,9.4,40.4,4.3,0.2,1.7,1.2,9.4,0.0,0.1,0.1,7.2
45,21688,Cam Akers,HOU,RB,4,JAC,10.2,33.3,3.3,0.3,1.3,1.1,7.7,0.0,0.0,0.0,7.0
46,24311,Jaleel McLaughlin,DEN,RB,4,NYJ,5.1,23.1,4.5,0.2,2.6,1.7,11.2,0.1,0.1,0.1,6.7
47,17217,Raheem Mostert,MIA,RB,4,TEN,6.7,32.0,4.8,0.2,1.9,1.0,7.6,0.1,0.1,0.1,6.6
48,24309,Emanuel Wilson,GB,RB,4,MIN,6.0,28.1,4.7,0.1,1.7,1.3,9.6,0.1,0.0,0.0,6.3
49,20933,Miles Sanders,CAR,RB,4,CIN,7.4,26.7,3.6,0.2,1.9,1.4,9.2,0.0,0.1,0.1,6.0
50,18957,D'Onta Foreman,CLE,RB,4,LV,7.4,27.5,3.7,0.3,1.1,0.8,5.4,0.0,0.0,0.0,5.9
51,15150,Cordarrelle Patterson,PIT,RB,4,IND,5.2,21.5,4.1,0.1,2.0,1.5,9.7,0.1,0.0,0.0,5.8
52,23250,Tyler Allgeier,ATL,RB,4,NO,8.3,33.3,4.0,0.2,0.8,0.6,5.1,0.0,0.1,0.1,5.4
53,21861,Antonio Gibson,NE,RB,4,SF,6.8,26.4,3.9,0.1,2.1,1.3,9.3,0.0,0.1,0.1,5.3
54,20239,Gus Edwards,LAC,RB,4,KC,8.1,28.5,3.5,0.2,1.0,0.6,3.8,0.0,0.0,0.0,5.0
55,18995,Jamaal Williams,NO,RB,4,ATL,6.2,20.8,3.4,0.2,1.1,0.8,5.4,0.0,0.0,0.0,4.6
56,25092,Tyrone Tracy Jr.,NYG,RB,4,DAL,3.2,12.2,3.8,0.1,1.6,1.1,8.2,0.1,0.0,0.0,4.3
57,18944,Kareem Hunt,KC,RB,4,LAC,3.8,16.0,4.2,0.2,1.3,0.8,5.9,0.0,0.0,0.0,4.2
58,23193,Tank Bigsby,JAC,RB,4,HOU,4.6,19.6,4.3,0.2,1.0,0.6,4.0,0.0,0.0,0.0,4.2
59,19626,Dare Ogunbowale,HOU,RB,4,JAC,1.6,6.0,3.8,0.0,2.2,1.6,13.3,0.1,0.0,0.0,4.1
60,24980,Ray Davis,BUF,RB,4,BAL,5.5,20.1,3.7,0.1,0.9,0.8,5.5,0.0,0.0,0.0,4.0
61,24292,Trey Benson,ARI,RB,4,WAS,6.0,19.3,3.2,0.1,0.8,0.7,5.8,0.0,0.0,0.0,3.8
62,20837,Ty Johnson,BUF,RB,4,BAL,1.6,6.4,4.0,0.0,1.7,1.2,9.0,0.1,0.0,0.0,3.3
63,14901,Kyle Juszczyk,SF,RB,4,NE,0.3,0.7,2.3,0.0,1.5,1.1,15.4,0.1,0.0,0.0,3.3
64,23231,Tyler Badie,DEN,RB,4,NYJ,4.7,20.1,4.3,0.1,0.5,0.4,2.9,0.0,0.0,0.0,3.3
65,19065,Jeremy McNichols,WAS,RB,4,ARI,3.4,11.5,3.4,0.0,1.5,1.2,8.4,0.0,0.0,0.0,3.2
66,24188,Deuce Vaughn,DAL,RB,4,NYG,2.7,11.6,4.3,0.1,0.7,0.7,4.8,0.0,0.0,0.0,2.9
67,24609,Emari Demercado,ARI,RB,4,WAS,2.2,9.6,4.4,0.1,1.1,0.8,6.8,0.0,0.1,0.1,2.8
68,25063,Isaac Guerendo,SF,RB,4,NE,4.6,17.1,3.7,0.1,0.5,0.3,2.0,0.0,0.0,0.0,2.8
69,18993,Samaje Perine,DEN,RB,4,NYJ,1.5,7.1,4.8,0.0,1.7,1.1,9.0,0.0,0.0,0.0,2.7
70,22563,Khalil Herbert,CHI,RB,4,LA,3.3,13.3,4.0,0.1,0.8,0.4,2.8,0.0,0.0,0.0,2.6
71,24923,Jaylen Wright,MIA,RB,4,TEN,4.0,11.5,2.9,0.1,0.6,0.5,3.3,0.0,0.0,0.0,2.6
72,20360,Jeff Wilson Jr.,MIA,RB,4,TEN,3.4,11.1,3.3,0.1,0.7,0.4,4.1,0.0,0.0,0.0,2.5
73,22547,Ronnie Rivers,LA,RB,4,CHI,2.4,8.2,3.4,0.1,0.5,0.4,3.3,0.0,0.0,0.0,2.1
