rank,id,player,team,pos,game.week,opp,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_yds_per_att,pass_td,pass_int,pass_rating,rush_att,rush_yds,rush_yds_per_att,rush_td,fpts_ppr
1,19801,Josh Allen,BUF,QB,4,BAL,20.8,31.2,66.7,236.8,7.6,1.6,0.8,98.5,6.5,32.3,5.0,0.5,19.9
2,20889,Kyler Murray,ARI,QB,4,WAS,21.0,32.1,65.4,242.6,7.6,1.6,0.7,96.2,7.6,36.6,4.8,0.3,19.8
3,23235,Jayden Daniels,WAS,QB,4,ARI,20.1,31.2,64.4,214.3,6.9,1.2,0.8,81.9,9.8,52.9,5.4,0.5,19.5
4,19781,Lamar Jackson,BAL,QB,4,BUF,19.1,29.9,63.9,212.1,7.1,1.4,0.7,81.5,11.6,55.5,4.8,0.3,19.4
5,21831,Jalen Hurts,PHI,QB,4,TB,20.5,31.7,64.7,215.9,6.8,1.3,0.7,79.7,9.2,39.7,4.3,0.6,19.4
6,18890,Patrick Mahomes,KC,QB,4,LAC,21.9,32.6,67.2,256.2,7.9,1.9,0.7,97.5,4.5,22.1,4.9,0.1,18.9
7,23239,C.J. Stroud,HOU,QB,4,JAC,23.2,35.2,65.9,265.3,7.5,1.9,0.7,95.5,3.1,12.1,3.9,0.2,18.8
8,21693,Joe Burrow,CIN,QB,4,CAR,24.1,35.5,67.9,265.7,7.5,1.9,0.8,95.4,3.8,11.8,3.1,0.1,17.8
9,18055,Dak Prescott,DAL,QB,4,NYG,24.1,36.7,65.7,257.2,7.0,1.8,0.8,91.8,2.3,12.4,5.4,0.1,17.3
10,23241,Brock Purdy,SF,QB,4,NE,20.4,30.5,66.9,246.7,8.1,1.7,0.7,100.3,2.6,10.1,3.9,0.1,16.5
11,24117,Anthony Richardson,IND,QB,4,PIT,15.5,26.3,58.9,184.4,7.0,1.1,0.8,79.7,7.2,42.3,5.9,0.4,16.4
12,17922,Jared Goff,DET,QB,4,SEA,22.1,34.2,64.6,258.0,7.5,1.7,0.7,95.0,1.8,4.2,2.3,0.1,16.3
13,22492,Justin Fields,PIT,QB,4,IND,17.1,27.1,63.1,186.9,6.9,1.1,0.7,80.3,8.3,37.0,4.5,0.4,16.0
14,21841,Jordan Love,GB,QB,4,MIN,18.8,29.3,64.2,221.6,7.6,1.6,0.7,97.2,1.9,11.0,5.8,0.2,15.8
15,24927,Caleb Williams,CHI,QB,4,LA,21.8,34.1,63.9,225.0,6.6,1.4,0.9,81.1,4.2,18.1,4.3,0.2,15.4
16,2593,Aaron Rodgers,NYJ,QB,4,DEN,21.2,32.2,65.8,230.9,7.2,1.6,0.5,107.7,1.2,4.7,3.9,0.1,15.3
17,14895,Geno Smith,SEA,QB,4,DET,22.6,34.0,66.5,238.0,7.0,1.5,0.8,95.0,3.3,10.3,3.1,0.1,15.2
18,22490,Trevor Lawrence,JAC,QB,4,HOU,19.3,31.4,61.5,215.7,6.9,1.3,0.8,79.5,3.6,18.9,5.2,0.2,14.9
19,20841,Daniel Jones,NYG,QB,4,DAL,20.0,31.8,62.9,202.2,6.4,1.2,0.7,77.9,6.0,25.6,4.3,0.2,14.8
